# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu-clock:u'
# Event count (approx.): 5024072081
#
# Overhead  Symbol                                                                                                                  IPC   [IPC Coverage]
# ........  ......................................................................................................................  ....................
#
    33.62%  [.] _RNvMNtCs6qwzy0hsVK4_9ferromark6inlineNtB2_12InlineParser30parse_with_options_in_document                           -      -            
    15.55%  [.] _RNvMsb_Cs6qwzy0hsVK4_9ferromarkINtB5_13RenderContextNtB5_26DisabledFencedCodeRendererE18render_block_eventB5_      -      -            
     6.77%  [.] _RNvMNtNtCs6qwzy0hsVK4_9ferromark5block6parserNtB2_11BlockParser20parse_paragraph_line                              -      -            
     6.01%  [.] _RNvCs6qwzy0hsVK4_9ferromark21render_inline_content                                                                 -      -            
     5.67%  [.] _RNvMNtNtNtNtCs9NcsyDXujss_6memchr4arch6x86_644avx26memchrNtB2_3One13find_raw_avx2                                  -      -            
     5.21%  [.] _RNvMNtCs6qwzy0hsVK4_9ferromark6renderNtB2_10HtmlWriter24write_text_with_entities                                   -      -            
     5.15%  [.] _RNvMNtNtCs6qwzy0hsVK4_9ferromark5block6parserNtB2_11BlockParser10parse_line                                        -      -            
     4.55%  [.] _RNvMNtNtCs6qwzy0hsVK4_9ferromark5block6parserNtB2_11BlockParser20emit_paragraph_items                              -      -            
     2.36%  [.] _RINvCs6qwzy0hsVK4_9ferromark27render_to_writer_with_stateNtB2_26DisabledFencedCodeRendererEB2_                     -      -            
     2.08%  [.] _RNvMs3_Cs6qwzy0hsVK4_9ferromarkNtB5_14ParagraphState8add_text                                                      -      -            
     1.38%  [.] _RNvMNtNtCs6qwzy0hsVK4_9ferromark5block6parserNtB2_11BlockParser15close_paragraph                                   -      -            
     1.28%  [.] _RNvMs3_Cs6qwzy0hsVK4_9ferromarkNtB5_14ParagraphState14add_soft_break                                               -      -            
     1.16%  [.] _RNvNvNtNtNtCs9NcsyDXujss_6memchr4arch6x86_646memchr10memchr_raw9find_avx2                                          -      -            
     1.02%  [.] _RNvMs3_Cs6qwzy0hsVK4_9ferromarkNtB5_14ParagraphState6finish                                                        -      -            
     0.86%  [.] _RNvNtNtCsgxBkk5gSRhY_4core3str8converts9from_utf8                                                                  -      -            
     0.82%  [.] _RNvMNtNtCs6qwzy0hsVK4_9ferromark5block6parserNtB2_11BlockParser21extract_link_ref_defs                             -      -            
     0.82%  [.] _RNvMNtNtCs6qwzy0hsVK4_9ferromark5block6parserNtB2_11BlockParser36remember_definition_term_after_blank              -      -            
     0.74%  [.] _RNvMNtCs6qwzy0hsVK4_9ferromark6renderNtB2_10HtmlWriter13paragraph_end                                              -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
