Process group 1 complete
Process group 2 complete
Process group 3 complete
ox-large-cm: Ferro=357226 Ox grow=731305 equal=True
ox-large-tables: Ferro=357226 Ox grow=731305 equal=True
ox-huge-tables: Ferro=7481162 Ox grow=15318645 equal=True
short: Ferro=3312 Ox grow=1841 equal=True
plain: Ferro=15731 Ox grow=37413 equal=True
multiline: Ferro=26363 Ox grow=39813 equal=True
inline: Ferro=31354 Ox grow=270341 equal=True
lists: Ferro=57874 Ox grow=275341 equal=True
code: Ferro=23228 Ox grow=37213 equal=True
tables: Ferro=80222 Ox grow=153085 equal=True
headings: Ferro=69264 Ox grow=160869 equal=True
unique-headings: Ferro=70972 Ox grow=161621 equal=True
long-prose: Ferro=344096 Ox grow=184573 equal=True
late-marker: Ferro=393813 Ox grow=184581 equal=True
long-code: Ferro=160630 Ox grow=199021 equal=True
escape-dense: Ferro=20412 Ox grow=23325 equal=True
commonmark/tiny: Ferro=3312 Ox grow=1845 equal=True
commonmark/short-100b: Ferro=4116 Ox grow=1979 equal=True
gfm_overlap/tiny: Ferro=3312 Ox grow=1845 equal=True
gfm_overlap/short-100b: Ferro=4116 Ox grow=1979 equal=True
tables/tables-plain: Ferro=49448 Ox grow=79885 equal=True
tables/tables-commonmark-inline: Ferro=64688 Ox grow=146365 equal=True
tables/tables-links: Ferro=69252 Ox grow=148525 equal=True
commonmark/publication-5k: Ferro=29352 Ox grow=68869 equal=True
guard/plain: Ferro=49448 Ox grow=79885 equal=True
guard/mixed: Ferro=64688 Ox grow=146365 equal=True
guard/links: Ferro=69252 Ox grow=148525 equal=True
guard/mixed-document: Ferro=34268 Ox grow=70389 equal=True
guard/one-table: Ferro=33656 Ox grow=73869 equal=True
guard/long-cells: Ferro=121160 Ox grow=241709 equal=True
guard/wide9: Ferro=71000 Ox grow=149569 equal=True
guard/wide16: Ferro=123414 Ox grow=230973 equal=True
guard/escapes-code: Ferro=33208 Ox grow=267861 equal=True
guard/prose: Ferro=24460 Ox grow=38913 equal=True
guard/links-prose: Ferro=22836 Ox grow=134685 equal=True
guard/edge-cases: Ferro=658079 Ox grow=4795733 equal=False
guard/references: Ferro=7883 Ox grow=68685 equal=True
guard/empty: Ferro=2560 Ox grow=765 equal=True
guard/gfm-document: Ferro=29352 Ox grow=68869 equal=True
guard/long-delimiters: Ferro=38516 Ox grow=49489 equal=True
guard/deep-emphasis: Ferro=173698 Ox grow=532641 equal=True
large/mixed-1mib: Ferro=7323174 Ox grow=14963545 equal=True
large/plain-1mib: Ferro=5505056 Ox grow=2937085 equal=True
large/mixed-8mib: Ferro=58547708 Ox grow=119640439 equal=True
large/plain-8mib: Ferro=44040224 Ox grow=23490813 equal=True
