group,mode,profile,documents_per_iteration,comparable_output,main_ns_per_document,v2_ns_per_document,main_over_v2_median,main_over_v2_min,main_over_v2_max,pairs,round_medians
tiny,fresh,commonmark,1,True,520.4271550288632,525.2724394890183,0.9897822199810886,0.9701827604496368,1.023451302277327,9,"[1.02290273647087, 0.9880250626380965, 0.9848631888418972]"
tiny,owned,commonmark,1,True,224.49520520065127,221.96716367553745,1.0113605903525116,0.9959039755546594,1.014338804166514,9,"[1.0026260930509192, 1.0142112993268153, 1.0132426629365114]"
tiny,reuse,commonmark,1,True,186.5774931340551,145.36584633155545,1.2821471869844236,1.2710537153660357,1.2918276555191255,9,"[1.2809892664663804, 1.2764909410312162, 1.2853720245796794]"
short-authored-prose,fresh,commonmark,1,True,1560.2813539587492,1076.6357085438676,1.453437095625557,1.4233956563316024,1.458247615933702,9,"[1.45727532487575, 1.4395301937512834, 1.453681718801428]"
short-authored-prose,owned,commonmark,1,True,931.1400541104051,728.4666621348664,1.2811611684427404,1.2671095644069967,1.3022351454501195,9,"[1.2811611684427404, 1.2769883694340691, 1.2896162142821948]"
short-authored-prose,reuse,commonmark,1,True,819.7156359265734,695.1781212930011,1.1833481826126417,1.1564912324606094,1.191285212366744,9,"[1.1703784713535326, 1.1770163053103715, 1.1901321942554035]"
plain-text-10k,fresh,commonmark,1,True,9093.023255813954,5936.883544303798,1.5297168270388788,1.4791326322439242,1.5465202954330861,9,"[1.5356702637677975, 1.5280528239501556, 1.536969240892897]"
plain-text-10k,owned,commonmark,1,True,8817.062147556391,5559.485411729858,1.584351673485249,1.5467785541263814,1.5991554666776537,9,"[1.5938964233626258, 1.584351673485249, 1.5832620779114186]"
plain-text-10k,reuse,commonmark,1,True,8436.525854316547,5476.161858974359,1.5430717790121828,1.5332281070775415,1.5524620662436677,9,"[1.536125005702924, 1.543709790713007, 1.545719620083164]"
link-heavy,fresh,commonmark,1,True,46067.095588235294,43238.542045454546,1.0638237461332003,1.0588058785513983,1.0725593284967079,9,"[1.0636180869923835, 1.0660676591992457, 1.0638237461332003]"
link-heavy,owned,commonmark,1,True,45441.55649038462,42435.337611607145,1.063673971205416,1.0515092438601057,1.0720335866688289,9,"[1.0557880031087208, 1.0714784526038716, 1.0606326350138349]"
link-heavy,reuse,commonmark,1,True,44763.31544811321,42548.87444196428,1.0488191482536868,1.0252873238743068,1.0657998108407127,9,"[1.0488191482536868, 1.0404700118816712, 1.0640303108278324]"
nested-lists,fresh,commonmark,1,True,83217.9859913793,131105.97569444444,0.6328613059751756,0.6275997783648926,0.6393584077575772,9,"[0.6328297138817088, 0.6328613059751756, 0.6347383141812477]"
nested-lists,owned,commonmark,1,True,81607.66810344828,130568.21527777778,0.6286329158761667,0.6204620029994267,0.6362146490443865,9,"[0.6328425923599729, 0.6222132569865197, 0.6264548302406252]"
nested-lists,reuse,commonmark,1,True,81087.41918103448,131108.57986111112,0.6181202280052531,0.6104610604538865,0.6257868790056298,9,"[0.618786415058447, 0.6175370964446361, 0.6181202280052531]"
fenced-code,fresh,commonmark,1,True,30068.309294871793,19482.685433884297,1.5449665254656921,1.52357457906003,1.5675164700252024,9,"[1.5429346965695012, 1.5460908857714117, 1.5449665254656921]"
fenced-code,owned,commonmark,1,True,29362.3046875,19113.874237804877,1.539221449173734,1.4991747099999304,1.5428458999522399,9,"[1.5398027513404324, 1.5373660336086812, 1.540011057577089]"
fenced-code,reuse,commonmark,1,True,28777.471036585364,19098.693851626016,1.5073406006314094,1.492712606733279,1.5150071413127888,9,"[1.5073406006314094, 1.5031723923437539, 1.5118075777566382]"
escape-heavy,fresh,commonmark,1,True,60534.989583333336,26551.176264044945,2.283967634447515,2.2450438053735677,2.3105417725015167,9,"[2.2859099766949296, 2.284653881160611, 2.2549801849405546]"
escape-heavy,owned,commonmark,1,True,59770.76796875,25959.421016483517,2.2915370047847268,2.2733786668269107,2.323041811570743,9,"[2.3175477208710995, 2.302469224209477, 2.2800486211067046]"
escape-heavy,reuse,commonmark,1,True,59603.8734375,26120.558333333334,2.286452747443029,2.058571102267162,2.3099328324527377,9,"[2.3041900200222347, 2.2890311079686576, 2.2778244674453423]"
gfm-task-autolink,fresh,gfm,1,True,1275.7037540805222,1192.7832061068702,1.0640670344222767,1.0528022664143764,1.0870955165598586,9,"[1.0640670344222767, 1.061337392725242, 1.0812271261567667]"
gfm-task-autolink,owned,gfm,1,True,885.4461772761617,831.5670450514367,1.0623921300559276,1.0468159354534798,1.0714860725047781,9,"[1.0623921300559276, 1.0708643577360075, 1.0611426731844367]"
gfm-task-autolink,reuse,gfm,1,True,735.8679378531074,746.0912635264162,0.9866267967992453,0.9822644440424936,0.9912674128621702,9,"[0.98798775841286, 0.9873884699604341, 0.9855977192850849]"
reference-heavy,fresh,commonmark,1,True,86799.10714285714,98168.18489583333,0.8847909191814427,0.8774734228374417,0.8886380210172549,9,"[0.8885768237125719, 0.8812840060303718, 0.8834441546479754]"
reference-heavy,owned,commonmark,1,True,85622.62834821429,97070.0525,0.8778921325933039,0.8738846328233019,0.8909553264367579,9,"[0.8759583767305016, 0.8820704856239188, 0.8772596691555313]"
reference-heavy,reuse,commonmark,1,True,84952.80022321429,97677.78776041667,0.8654404716191952,0.8527172198592864,0.887062878874711,9,"[0.8624773357770272, 0.8642036884714722, 0.8717691161467209]"
commonmark-5k,fresh,commonmark,1,True,18648.024057539682,16408.808566433567,1.1398989893797629,1.1207085315496554,1.1674318135116126,9,"[1.1529010176147831, 1.1474857455446519, 1.121269676596814]"
commonmark-5k,owned,commonmark,1,True,16866.868929856115,15836.597339527027,1.06486793402039,1.055187811207471,1.085538631420018,9,"[1.0627860626719232, 1.0661945130290629, 1.06486793402039]"
commonmark-5k,reuse,commonmark,1,True,16208.611637931035,15801.742449664429,1.0250238977365547,1.0117573004933738,1.0306645760912891,9,"[1.024685278308627, 1.0227473080969918, 1.0251721344076694]"
commonmark-20k,fresh,commonmark,1,True,67153.75714285714,63597.2339527027,1.0538273020407927,1.0334885797001334,1.0655653375925584,9,"[1.049884197977469, 1.0553541112004923, 1.0538587276835931]"
commonmark-20k,owned,commonmark,1,True,64283.18581081081,62956.27713815789,1.0271203860064801,1.0143405730626818,1.0476253678063037,9,"[1.0400033509814852, 1.0271203860064801, 1.0164367486324062]"
commonmark-20k,reuse,commonmark,1,True,62925.78125,62992.42763157895,1.000476760278623,0.9910818460739274,1.0207424008537027,9,"[1.0105115791780703, 1.000476760278623, 1.0003298573213228]"
commonmark-50k,fresh,commonmark,1,True,163270.225,153887.2890625,1.0657891378060877,1.0198937284648029,1.072420263184059,9,"[1.062281564318543, 1.0583463996638909, 1.0681463968854734]"
commonmark-50k,owned,commonmark,1,True,160456.85833333334,153156.818359375,1.0439599079831858,1.0338414166548344,1.0687365959494524,9,"[1.0422509491728584, 1.0523374788730198, 1.0439599079831858]"
commonmark-50k,reuse,commonmark,1,True,156437.32708333334,153146.484375,1.023097378344025,1.01727797287064,1.0305492969015193,9,"[1.0205492472075552, 1.023097378344025, 1.030158230049381]"
tables-plain,fresh,gfm,1,True,25629.047554347828,34875.440257352944,0.7345646607850113,0.7281515260523952,0.7426992405754392,9,"[0.7345646607850113, 0.7417000582802649, 0.7343291834952395]"
tables-plain,owned,gfm,1,True,24751.98717105263,34728.36259191176,0.714723864145892,0.7047042137641526,0.7220702348056103,9,"[0.7151389806840516, 0.7120877603175356, 0.71257056292491]"
tables-plain,reuse,gfm,1,True,24476.969401041668,34602.61580882353,0.7056920082083626,0.6988098097616067,0.7268111851717173,9,"[0.7106491780649604, 0.7056920082083626, 0.7054703179678582]"
tables-commonmark-inline,fresh,gfm,1,True,32801.305555555555,41326.84539473684,0.793863846647229,0.7893062949554616,0.7985950614323054,9,"[0.7938805181209436, 0.7937608732609788, 0.793863846647229]"
tables-commonmark-inline,owned,gfm,1,True,31040.021792763157,40445.60452586207,0.76718320817608,0.7616243229218509,0.7752880648663399,9,"[0.76718320817608, 0.7671781487522366, 0.7680686699392507]"
tables-commonmark-inline,reuse,gfm,1,True,30835.582386363636,40331.65625,0.7591593512697415,0.7511015329833235,0.7657594641139245,9,"[0.7536345907350492, 0.7591504931846473, 0.7605539198403405]"
tables-links,fresh,gfm,1,True,41450.68092105263,47309.140625,0.8750814394484255,0.8607600976861496,0.884359212833133,9,"[0.8704265694139934, 0.8750814394484255, 0.8775294749284609]"
tables-links,owned,gfm,1,True,39548.502604166664,47002.083125,0.8391531786605486,0.8336631378215504,0.8534372487481822,9,"[0.836302896355207, 0.841474668120151, 0.836276726117941]"
tables-links,reuse,gfm,1,True,38475.28176229508,45746.870192307695,0.8418419959200378,0.8349372413694447,0.846791790117728,9,"[0.840666829124719, 0.8418419959200378, 0.8457924148061967]"
real-readme,fresh,gfm,1,False,104668.81793478261,89899.0636574074,1.161242039054252,1.1286046858391834,1.2059218067909545,9,"[1.153028846094743, 1.161242039054252, 1.1740652413568071]"
real-readme,owned,gfm,1,False,102265.22961956522,90297.97716346153,1.133645278230137,1.104464135841692,1.2502194482999962,9,"[1.1662978500588699, 1.1454051369362461, 1.1310504773633263]"
real-readme,reuse,gfm,1,False,96082.03125,89983.26504629629,1.067776671590722,1.0148913802748718,1.095818947152677,9,"[1.0884838465401274, 1.0456716074421313, 1.067776671590722]"
rotating-commonmark,fresh,commonmark,11,True,52595.4784090909,51773.224431818184,1.017042024769712,1.0115837789406579,1.0312016867704574,9,"[1.027170843861307, 1.0161395865335556, 1.015225424239018]"
rotating-commonmark,owned,commonmark,11,True,51053.2909090909,50864.32272727273,1.008006125187731,0.9921901030784714,1.020776741529225,9,"[1.0103474724320956, 1.008006125187731, 1.0038712417451463]"
rotating-commonmark,reuse,commonmark,11,True,50160.061931818185,50767.826704545456,0.9893153854212957,0.9799139599411111,0.9981988825963753,9,"[0.9892131879663735, 0.9927876637569824, 0.9938729853314017]"
rotating-gfm,fresh,gfm,4,True,25711.9140625,31553.796875,0.8125389604806303,0.8088152160663503,0.8257883487724417,9,"[0.8198739028498127, 0.8118000553240816, 0.8125389604806303]"
rotating-gfm,owned,gfm,4,True,24434.1904296875,30977.676398026317,0.7883830215717854,0.7807629231308402,0.7940492125391823,9,"[0.7924690836651139, 0.7876583744401513, 0.7860527049991123]"
rotating-gfm,reuse,gfm,4,True,23765.46875,30589.632421875,0.7743389636187236,0.7655762151385725,0.7862922789157383,9,"[0.779158673410293, 0.7743389636187236, 0.7716013530318958]"
