case,category,size_bin,bytes,profile,output,mode,main_us,v2_us,main_over_v2,ratio_min,ratio_max,leader
comment-ack,comments,<512 B,37,gfm,exact,fresh,0.2742514187924175,0.4018822605881344,0.6852464731083459,0.6815137224889066,0.689007592649729,main
comment-ack,comments,<512 B,37,gfm,exact,owned,0.14697513638928952,0.10161748455451983,1.4469970151350857,1.426772010372267,1.4739844534257844,v2
comment-ack,comments,<512 B,37,gfm,exact,reuse,0.11004621766128275,0.07507394598814862,1.458088779021094,1.4494549679266944,1.4738667326222772,v2
comment-question,comments,<512 B,160,gfm,exact,fresh,0.2988915495090538,0.4194712274069435,0.710382752767999,0.7000068938891639,0.7167981091524014,main
comment-question,comments,<512 B,160,gfm,exact,owned,0.16475939740615775,0.12035909175525086,1.368898643246615,1.350399647020534,1.3857047266529694,v2
comment-question,comments,<512 B,160,gfm,exact,reuse,0.1308063260408528,0.09459477413528676,1.3842450399849966,1.3694818679039427,1.3918082449506306,v2
comment-review,comments,<512 B,282,gfm,exact,fresh,0.4081354475013059,0.4921544194835188,0.8298590297312823,0.8210743601221535,0.8353501611393537,main
comment-review,comments,<512 B,282,gfm,exact,owned,0.27444260771572415,0.19128531788133518,1.4198028378807361,1.4117625371220004,1.4545962380797959,v2
comment-review,comments,<512 B,282,gfm,exact,reuse,0.23758460466294984,0.16438706121124982,1.4475723008879129,1.439343875788043,1.45676233627128,v2
comment-links,comments,<512 B,278,gfm,exact,fresh,1.1245559802158274,0.7944499745848865,1.4175240014075507,1.4051534177017713,1.4212232500437232,v2
comment-links,comments,<512 B,278,gfm,exact,owned,0.6052394623031242,0.49246597295168065,1.2307823078047226,1.1994440667962616,1.2429996263503729,v2
comment-links,comments,<512 B,278,gfm,exact,reuse,0.5550473226971347,0.46449978324415375,1.19814668308859,1.1817771582196837,1.2147981333175015,v2
comment-checklist,comments,<512 B,287,gfm,serialization-equivalent,fresh,1.021874318875327,0.9142757897815913,1.1104198409177943,1.0988444504584478,1.1341187368886965,v2
comment-checklist,comments,<512 B,287,gfm,serialization-equivalent,owned,0.8536142457210487,0.6150664441747573,1.3934356820822122,1.3715687649973785,1.3981350253275462,v2
