case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,527.5828937373396,510.4451543109079,1.0351056948433337,1.011794925226741,1.0486419286858484,9,"[1.0401688277388892, 1.0351056948433337, 1.0178661824972834]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,192.0107289874662,172.13447000991408,1.118674390180622,1.1073328937161964,1.1284205978573263,9,"[1.1138758102625954, 1.118674390180622, 1.1228567679723866]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,141.01030198086815,121.22576797765883,1.1661629776627438,1.16045000523293,1.1690540778269238,9,"[1.1666446936185593, 1.1661629776627438, 1.1659593860658952]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,52.13194479197945,52.428001165990004,0.9943530867584819,0.9852424824631776,1.0018843996738511,9,"[0.9940677295202941, 0.9999783406138268, 0.9943530867584819]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,1322.7547324450084,1273.3664495114006,1.038588557440454,1.0237007940501075,1.0530804982025705,9,"[1.038588557440454, 1.0429459427208403, 1.029710763949631]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,993.8852511125239,923.6595929373523,1.0737258048975844,1.0631100891404,1.0864592116793923,9,"[1.0750047892364343, 1.0737258048975844, 1.0687958917184515]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,866.654534109817,794.566074605999,1.0903649030929965,1.0867946527551209,1.0988823578774518,9,"[1.089082933105673, 1.0945082841726024, 1.0903649030929965]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,122.092543756837,123.96194714399049,0.982616038708298,0.974530389414785,0.9885647826658538,9,"[0.9857616641688963, 0.9859310437757375, 0.9788682018028478]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,2411.051040061633,2185.3347027972027,1.102324192802781,1.095546271027708,1.1072919728225656,9,"[1.1039001136272553, 1.102324192802781, 1.1002936228001101]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,2001.9706306017927,1755.660393258427,1.1385907666965231,1.1315927728345356,1.143825049000227,9,"[1.135819744505801, 1.1371556268222465, 1.1411557167356219]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,1457.8487056902984,1218.6201042478565,1.2003781653969912,1.1863555334486886,1.250348874800383,9,"[1.1876326081766548, 1.2140208811141524, 1.2003781653969912]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,535.1152290239726,534.8496641854894,0.999930014463211,0.9942718063445363,1.0052290949580087,9,"[0.9986311257689581, 0.999930014463211, 1.0004965223992197]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,11467.153284671533,10670.75892857143,1.0753233022731274,1.070679251003585,1.0811438908450288,9,"[1.0753233022731274, 1.0782602211581285, 1.0731482072589105]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-feature-final-confirm.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,10987.498251748251,10215.396854575163,1.0773036584473255,1.074136511106478,1.0845943738278676,9,"[1.076721823660586, 1.0788381749923792, 1.0773036584473255]"
