case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
feature--parser.definition_lists-plain-300,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,parse,312.6685112539451,127.99031638270297,2.441227040421917,2.397820994201781,2.4606338051283685,6,"[2.4395792454118252, 2.455020219221754]"
feature--parser.definition_lists-plain-300,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,reuse,361.7324713117637,178.67070057108214,2.026072753726882,1.9904183522029957,2.0431295640214704,6,"[2.0157466581257015, 2.0363988493280627]"
feature--parser.definition_lists-active-300,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,parse,4107.627768774724,3766.6543325247094,1.095736018780631,1.0715600634457008,1.118504350265926,6,"[1.0952929593011813, 1.0971211113808352]"
feature--parser.definition_lists-active-300,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,reuse,4549.265984223491,4116.266652960527,1.1026942590847768,1.084801556222532,1.1170406845337704,6,"[1.090939297285944, 1.1037218439900836]"
feature--parser.definition_lists-plain-4096,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,parse,3788.752729668675,1299.577515681477,2.915223140984944,2.822108149020416,2.9381715874894336,6,"[2.9298151757327333, 2.869900523897361]"
feature--parser.definition_lists-plain-4096,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,reuse,4342.157785560345,1846.4237799323269,2.357840247060526,2.330379888056837,2.39293216729049,6,"[2.3577633766666777, 2.357917117454375]"
feature--parser.definition_lists-active-4096,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,parse,52078.95132211538,47327.845982142855,1.1038192968334775,1.0877204060048304,1.124634179717271,6,"[1.1044138350445287, 1.1032247586224264]"
feature--parser.definition_lists-active-4096,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,reuse,56766.65494791667,51746.59495192308,1.0951559480095288,1.088207915062772,1.1145884396404244,6,"[1.0948694311208509, 1.0954424648982064]"
feature--parser.definition_lists-plain-65536,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,parse,60408.44034090909,20470.577116935485,2.953323136389181,2.9085234529630655,2.994241972013137,6,"[2.921338847652294, 2.9573014570387977]"
feature--parser.definition_lists-plain-65536,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,reuse,68486.71875,28820.37144886364,2.3873482614745747,2.3625091521284665,2.4729378394309527,6,"[2.3835500859874434, 2.391146436961706]"
feature--parser.definition_lists-active-65536,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,parse,833842.453125,760938.15625,1.0976697949071288,1.083330335728362,1.1046973866602996,6,"[1.0992151676516866, 1.0961244221625708]"
feature--parser.definition_lists-active-65536,/private/tmp/ferromark-v2-feature-D2-screen.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,reuse,908873.703125,831697.921875,1.0914220490618805,1.070953817812593,1.1002424190159903,6,"[1.0834853596711866, 1.099844268127477]"
