case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,139.8189363081594,121.23670078018135,1.1515612262920478,1.131496436878694,1.174804534877361,6,"[1.150564151217435, 1.152558301366661]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,190.98457486795655,172.55478975161935,1.1077127714115689,1.0917183603618326,1.1264394148940544,6,"[1.1019098271061716, 1.111707898209504]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,867.5855539084141,793.9775338565098,1.0935994583590816,1.0813730623248288,1.101567520472302,6,"[1.0904957362408738, 1.096703180477289]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,992.0700721081282,929.8309341523377,1.0781513753958754,1.0443668739890102,1.0854004718874073,6,"[1.0851521430846869, 1.0557163202241018]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,1459.7613636363635,1235.9878496226102,1.1786894315092895,1.1730303554176604,1.1893311109137252,6,"[1.1763331668728396, 1.1810456961457392]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,1990.0953631429898,1764.232599516591,1.1281440113720977,1.121067203743392,1.1441476956952719,6,"[1.125125315734253, 1.1311627070099428]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,9818.247314453125,9033.463616071429,1.084973198023039,1.076235942677445,1.1193671324829524,6,"[1.0823569816277823, 1.0936755548784345]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,11103.743969298244,10318.220543032787,1.0759486952489228,1.0505549004257453,1.1060454899617735,6,"[1.074587566685611, 1.0773098238122347]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,22837.100446428572,19210.878314393936,1.1912882587227216,1.1732626696881956,1.2091408116770488,6,"[1.1955860264482954, 1.1892431753519026]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,31317.551748511905,27764.266304347824,1.1289996154693318,1.1164024600425184,1.1471128609118006,6,"[1.1309877812245697, 1.1178174070055047]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,155677.865625,143942.96875,1.0789075263438965,1.0708100523722526,1.0900170439635664,6,"[1.0735704284516545, 1.080434806215861]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,179078.77734375,168388.18359375,1.0637968310040173,1.0556543842067763,1.0694052302859052,6,"[1.0612706947785482, 1.0663229672294865]"
mixed--deflists--comment-ack,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-32091b4ab7e57b3d2d7c6a1c30555da0833951bc37fd6b40279af705ee9e38c4.json,mixed-docs-definition-lists,parse,110.75929148834385,107.09844015243854,1.0339996148516488,1.0201491904695734,1.0391640356439678,6,"[1.038671314221578, 1.0301330304580223]"
mixed--deflists--comment-ack,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-32091b4ab7e57b3d2d7c6a1c30555da0833951bc37fd6b40279af705ee9e38c4.json,mixed-docs-definition-lists,reuse,139.85929482502098,136.3321375984509,1.028062195290751,1.0087830420515287,1.0331150725793832,6,"[1.026910589617932, 1.0294711215002084]"
mixed--control--comment-ack,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-92d3aa20c19f6e36ddf6454cd4eea55f84dfaec2d4e7ab1ef73254252b27b2c8.json,mixed-docs-control,parse,52.82500570970822,53.492007383197844,0.9864327654785727,0.9640286823823472,1.0074170484302802,6,"[0.9950159653616508, 0.9722778235714773]"
mixed--control--comment-ack,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-92d3aa20c19f6e36ddf6454cd4eea55f84dfaec2d4e7ab1ef73254252b27b2c8.json,mixed-docs-control,reuse,81.7045462380445,82.57570628541693,0.9902512255174267,0.9749180406604939,1.0012236031105533,6,"[0.9963762004152051, 0.9754854366604013]"
mixed--deflists--comment-review,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-32091b4ab7e57b3d2d7c6a1c30555da0833951bc37fd6b40279af705ee9e38c4.json,mixed-docs-definition-lists,parse,337.68211480444336,314.99976564498763,1.0697260154581918,1.0490448677141806,1.0751635331540386,6,"[1.0715901432593462, 1.0678618876570374]"
mixed--deflists--comment-review,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-32091b4ab7e57b3d2d7c6a1c30555da0833951bc37fd6b40279af705ee9e38c4.json,mixed-docs-definition-lists,reuse,378.22421383903867,360.8614192153841,1.0489419510752185,1.038103160941925,1.0550629375091705,6,"[1.0514281370241212, 1.0464557651263158]"
mixed--control--comment-review,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-92d3aa20c19f6e36ddf6454cd4eea55f84dfaec2d4e7ab1ef73254252b27b2c8.json,mixed-docs-control,parse,107.14029962820422,107.74101469385698,0.9962283323073293,0.9874334119671684,1.007882381689076,6,"[0.992541032138023, 0.9993413261395979]"
mixed--control--comment-review,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-92d3aa20c19f6e36ddf6454cd4eea55f84dfaec2d4e7ab1ef73254252b27b2c8.json,mixed-docs-control,reuse,155.65779902998025,156.1588077939685,0.9962107591563052,0.9887962947290873,1.000648769047873,6,"[0.9994595009693085, 0.9888017190675215]"
mixed--deflists--comment-table,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-32091b4ab7e57b3d2d7c6a1c30555da0833951bc37fd6b40279af705ee9e38c4.json,mixed-docs-definition-lists,parse,1122.656474416517,1111.0505939165187,1.014608965027696,0.998872486590933,1.0202460054994622,6,"[1.0192391672295158, 1.0099787628258763]"
mixed--deflists--comment-table,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-32091b4ab7e57b3d2d7c6a1c30555da0833951bc37fd6b40279af705ee9e38c4.json,mixed-docs-definition-lists,reuse,1352.1948266240765,1348.5181738283518,1.0039310254721925,0.9864234120442722,1.023668547090985,6,"[1.0049730469792817, 0.988887368586213]"
mixed--control--comment-table,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-92d3aa20c19f6e36ddf6454cd4eea55f84dfaec2d4e7ab1ef73254252b27b2c8.json,mixed-docs-control,parse,199.6706839004658,191.96356904189176,1.0393774094154626,1.029605540540586,1.0560383946549061,6,"[1.0433993515682607, 1.0356186558498484]"
mixed--control--comment-table,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-92d3aa20c19f6e36ddf6454cd4eea55f84dfaec2d4e7ab1ef73254252b27b2c8.json,mixed-docs-control,reuse,264.0486063531904,256.9970063376221,1.0307581652070428,1.014312440310321,1.0411510499520318,6,"[1.0405312444027575, 1.0146364901585208]"
mixed--deflists--comment-incident,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-32091b4ab7e57b3d2d7c6a1c30555da0833951bc37fd6b40279af705ee9e38c4.json,mixed-docs-definition-lists,parse,1768.4461952683616,1754.5710304838226,1.0116391646905325,0.9798253824282047,1.0297791223963388,6,"[1.0088480275634228, 1.0144753118643863]"
mixed--deflists--comment-incident,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-32091b4ab7e57b3d2d7c6a1c30555da0833951bc37fd6b40279af705ee9e38c4.json,mixed-docs-definition-lists,reuse,2170.773623084291,2152.2065086513794,1.0069150529628594,0.9994052206029147,1.018521403007263,6,"[1.0045363216546446, 1.0092937842710743]"
mixed--control--comment-incident,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-92d3aa20c19f6e36ddf6454cd4eea55f84dfaec2d4e7ab1ef73254252b27b2c8.json,mixed-docs-control,parse,983.7996727279469,978.1208677351242,1.0056833778398948,0.9422002732396274,1.071665723426995,6,"[1.003661561018958, 1.0088934820859776]"
mixed--control--comment-incident,/private/tmp/ferromark-v2-feature-L2-screen.feature-scan-replay/configs/runtime-92d3aa20c19f6e36ddf6454cd4eea55f84dfaec2d4e7ab1ef73254252b27b2c8.json,mixed-docs-control,reuse,1229.2265941022079,1233.357783113187,0.9957603667264256,0.9760069887531613,1.0076660365842691,6,"[0.9985630643660524, 0.9832487237531176]"
