case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,119.8256176907592,112.28606114704033,1.067579235131219,1.055515006025984,1.0796283421857034,9,"[1.067683617034613, 1.067579235131219, 1.0566202139270375]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,172.55677543484262,163.90458240461518,1.0507238718685192,1.0453483869724582,1.0642029740609287,9,"[1.0507238718685192, 1.0494576646936196, 1.0544956474360796]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,501.2822398757017,498.21891191709847,1.0121854522699822,0.9873434085105833,1.0218237643122936,9,"[1.0191455907219988, 1.0124277313224344, 0.9977321895307774]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,52.06771310604798,52.265005017351676,0.996225162300507,0.9870770612566386,1.0068503739857093,9,"[0.9902237606096457, 0.9996283451587689, 1.0000240347270073]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,789.370758364899,785.3451829459799,1.002964183891932,0.992974035936099,1.013641431995626,9,"[1.002964183891932, 1.0121157378777772, 1.002362115639509]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,917.3659666177549,909.6183636363636,1.008448212567725,0.9807926734878706,1.0156335585527598,9,"[1.0003021560135386, 1.0135324248167075, 1.008448212567725]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,1247.3192298105682,1236.4227868447083,1.0051869411703844,0.9989311330965357,1.017708170617564,9,"[1.006303880780498, 1.015341041806515, 1.0024445688941679]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,122.85537162162163,123.06058955995275,1.0025113945315327,0.9919908639340878,1.2176633929743363,9,"[0.9973039437507132, 1.0042924535837647, 1.0022022283158833]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,1219.9936585365854,1161.1814937325905,1.0506485550462439,1.0404029793177965,1.05922989187297,9,"[1.0585456749394286, 1.0430658786367817, 1.0506485550462439]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,1764.9766837094498,1707.1804655525239,1.0344764360521146,1.0268095810706641,1.0513242008221777,9,"[1.0348739682622403, 1.0344764360521146, 1.0338547794583746]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,2160.320433937824,2117.866116751269,1.0214272329846605,1.010949828390264,1.0325072812586202,9,"[1.0200457983867641, 1.0283980627383968, 1.0202975021234302]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,535.1484508775685,531.8343125265844,0.9985046376535905,0.9961224484070902,1.0224817504428132,9,"[1.0022581813546205, 1.005500261348912, 0.9982809758099542]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,8930.106026785714,8903.285682624113,1.0022865042766713,0.9972111607572063,1.014074337601612,9,"[1.0030124097010549, 1.006070456579846, 0.999437823841576]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-line-fusion-C2-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,10276.425973360656,10203.188516260163,1.002214303023189,0.9920977632147291,1.0150980898900246,9,"[1.0020417288824583, 1.002214303023189, 1.005967498071558]"
