case,bytes,category,profile,mode,engine,strict_all_six,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,157.9387605481935,157.07212484395143,159.3812343746444,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,155.63973783174484,155.42574050526122,158.31340299914794,1.0147714378633432
comment-ack,37,comments,gfm,fresh,v1,yes,159.35331302812082,157.7707261287864,160.14760839054307,0.9911231686806681
comment-ack,37,comments,gfm,fresh,md4c,yes,777.2477148572627,774.6076711586121,792.4083290034097,0.20320260520443997
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,187.18383154558822,184.72930127380292,188.64222240436496,0.8437628359462652
comment-ack,37,comments,gfm,fresh,bun,yes,292.8041970333378,291.19922779889,295.2064298199176,0.5394006033670722
comment-question,160,comments,gfm,fresh,v2,yes,169.12975002177433,168.10064401350218,169.80658463337915,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,168.34337132952572,168.34043007348203,168.48490178348965,1.0046712780315497
comment-question,160,comments,gfm,fresh,v1,yes,180.40153748397475,179.2584520522522,180.463461046095,0.9375183403677937
comment-question,160,comments,gfm,fresh,md4c,yes,885.5324008498583,881.4105291505562,888.914413592778,0.19099216455485768
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,295.951715030989,293.8171819186763,296.07404126309154,0.5714775128235523
comment-question,160,comments,gfm,fresh,bun,yes,780.4477801186017,774.5428120249483,782.0692183187956,0.2167086054060815
comment-review,282,comments,gfm,fresh,v2,yes,217.84995894557213,216.8388719710248,224.1086375583108,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,219.72233598252666,218.93882027973692,224.39816311833192,0.9914784401477352
comment-review,282,comments,gfm,fresh,v1,yes,265.6220071166543,263.91112070789416,269.90872081495706,0.8201502628127423
comment-review,282,comments,gfm,fresh,md4c,yes,1071.44622827506,1066.0248553158306,1101.3507923711215,0.20332327763782654
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,496.29766795333825,494.60216628657133,513.5170991778754,0.4389501966510435
comment-review,282,comments,gfm,fresh,bun,yes,1326.9719926361245,1321.9903376057082,1354.2823716567586,0.16417072866232665
comment-links,278,comments,gfm,fresh,v2,yes,458.2388180752327,457.5526640483222,459.8346779064137,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,478.0553033668993,477.70811043179214,478.3806287566541,0.9585477137224482
comment-links,278,comments,gfm,fresh,v1,yes,645.0062070576394,644.1790261120502,648.4934779187449,0.7104409431431772
comment-links,278,comments,gfm,fresh,md4c,yes,1436.41190170267,1427.120859789868,1447.2631264693428,0.31901630551240434
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,759.6082073967193,757.3552410874788,762.5685859628175,0.6032568021423563
comment-links,278,comments,gfm,fresh,bun,yes,1623.2575724150201,1616.3666188238117,1626.1429210013005,0.2822958142086364
comment-checklist,287,comments,gfm,fresh,v2,no,615.3749535526654,611.8873617257366,619.9741374173198,1.0
comment-checklist,287,comments,gfm,fresh,ox-content,no,621.1702907991469,618.4366320400347,629.9784836487042,0.9906702922977438
comment-checklist,287,comments,gfm,fresh,v1,no,750.515145590859,743.0241006792621,753.1658841438631,0.8199367556642689
comment-checklist,287,comments,gfm,fresh,md4c,no,1583.3406427956543,1562.657191407721,1586.011763307985,0.388656071169952
comment-checklist,287,comments,gfm,fresh,pulldown-cmark,no,916.6939544983425,915.2268564387941,925.0961882085094,0.6712981475801563
comment-checklist,287,comments,gfm,fresh,bun,no,1823.9911278873024,1811.82259459091,1839.8162307133557,0.33737826031283585
comment-quote,290,comments,gfm,fresh,v2,yes,285.4633975493193,282.5332554374061,285.59899106451667,1.0
