case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,yes,173.57827835085834,171.3907216879656,173.77169792568782,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,yes,157.1061401900555,154.558782045184,157.24940615917728,1.1048471952838765
comment-ack,37,comments,gfm,fresh,v1,yes,yes,161.24057603666853,158.96198832415848,162.38173389816922,1.0765173544864044
comment-ack,37,comments,gfm,fresh,md4c,yes,yes,1002.3469943549615,984.3684432212588,1003.7779514585004,0.17317184500818586
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,yes,196.91463711181285,194.86074253835616,197.98974798109077,0.8814899740149659
comment-ack,37,comments,gfm,fresh,bun,yes,yes,294.10960220101714,288.81380911653673,294.57756545505123,0.5901822893637508
comment-question,160,comments,gfm,fresh,v2,yes,yes,184.27563484842764,181.72087129437,184.77983914746338,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,167.46590956848746,164.89724919493653,167.5900431388318,1.100376998060406
comment-question,160,comments,gfm,fresh,v1,yes,yes,184.2946248360368,181.72997966378813,185.58737915844412,0.9998969585378518
comment-question,160,comments,gfm,fresh,md4c,yes,yes,1097.394202290598,1085.931918703505,1108.909795583069,0.16792109386379836
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,343.1213905334894,338.49637046497855,345.4722185720151,0.5370566800335986
comment-question,160,comments,gfm,fresh,bun,yes,yes,776.6662515470089,775.571561045757,785.8178063242513,0.23726489271469792
comment-review,282,comments,gfm,fresh,v2,yes,yes,242.76529957329728,242.07229973944078,244.1824182858237,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,yes,216.1545162507545,216.0939538566556,217.421844414401,1.1231100038255615
comment-review,282,comments,gfm,fresh,v1,yes,yes,300.0663804012818,299.882950089445,302.91215295409916,0.8090386508766654
comment-review,282,comments,gfm,fresh,md4c,yes,yes,1278.4564500993251,1277.9015399957962,1291.2005487853307,0.18988937758062582
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,yes,577.5382213249333,574.6847609904,582.3120415114113,0.42034499295365807
comment-review,282,comments,gfm,fresh,bun,yes,yes,1313.9755549498977,1313.120446286266,1318.1779638083126,0.18475632872984002
comment-links,278,comments,gfm,fresh,v2,yes,yes,520.1594111476721,516.0993951685907,526.3373244871343,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,475.2637702284683,471.67380621651137,476.8248603550944,1.0944646819967399
comment-links,278,comments,gfm,fresh,v1,yes,yes,704.001735132469,693.4191017375526,706.6975730507038,0.7388609788721557
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1657.4537872516557,1635.648161764706,1668.530872162884,0.3138304157548707
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,830.7894270143945,823.7275508495336,840.3416426877691,0.6261025889760868
comment-links,278,comments,gfm,fresh,bun,yes,yes,1598.729626005832,1579.094093793985,1622.0513132295719,0.3253579608999969
comment-checklist,287,comments,gfm,fresh,v2,no,no,647.0451791817042,646.6024195753582,652.7098833645914,1.0
comment-checklist,287,comments,gfm,fresh,ox-content,no,no,620.6403230847079,620.5266307211025,624.8763402015413,1.0425445384627263
comment-checklist,287,comments,gfm,fresh,v1,no,no,849.5388791401655,847.3513129416033,854.1128650102459,0.7616428100813831
comment-checklist,287,comments,gfm,fresh,md4c,no,no,1797.3230738146551,1774.8686032322896,1807.648234284682,0.36000493656847654
comment-checklist,287,comments,gfm,fresh,pulldown-cmark,no,no,1000.9740442157024,994.2731396350548,1002.5605290897217,0.6464155418622132
comment-checklist,287,comments,gfm,fresh,bun,no,no,1828.8428177199667,1816.681943413103,1832.4036354681905,0.35380032275730544
comment-quote,290,comments,gfm,fresh,v2,yes,yes,313.60305822875625,312.6351456138015,314.5065251727402,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,281.5570336552785,279.2257779777467,282.35298739211726,1.1138171693224792
comment-quote,290,comments,gfm,fresh,v1,yes,yes,355.72620454964147,355.62876499850347,357.04085680399646,0.8815854840544733
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1361.100023803047,1359.6559064305075,1380.8890812785153,0.23040412368263616
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,652.2252370439824,650.8817022384175,654.0855225539613,0.4808201836072293
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1424.8558454414642,1420.0786372977223,1445.4087026008224,0.2200945865731367
comment-unicode,327,comments,gfm,fresh,v2,yes,yes,483.25183622718805,483.09404501555747,486.09418609248814,1.0
comment-unicode,327,comments,gfm,fresh,ox-content,yes,yes,441.49636278680634,439.8911596184884,442.1116328145463,1.0945771629392673
comment-unicode,327,comments,gfm,fresh,v1,yes,yes,727.6411133510223,725.8347253117627,729.8670353058137,0.6641348700070798
comment-unicode,327,comments,gfm,fresh,md4c,yes,yes,1581.9605404538493,1574.0689734434309,1583.9085640822784,0.3054765424733968
comment-unicode,327,comments,gfm,fresh,pulldown-cmark,yes,yes,908.5340362650363,907.7775985337184,910.5930851910321,0.5319028423126841
comment-unicode,327,comments,gfm,fresh,bun,yes,yes,1685.1876973831786,1676.89745308311,1697.2505936227951,0.286764398397638
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,319.2130821620253,315.43872890430276,320.7924664826074,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,293.8801944885843,288.18575025259395,297.1710675330059,1.086201411828809
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,614.9300508634327,602.8169579548295,615.3714938952214,0.519104704207923
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1458.967400813133,1436.2011205053263,1475.9213741108647,0.21879384144163658
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,785.4190560322459,769.6220596439443,791.1731867359321,0.40642390798946926
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1409.2261689470085,1382.4190861747054,1411.2724066170576,0.22651657285114518
comment-reproduction,298,comments,gfm,fresh,v2,yes,yes,346.5978306071528,343.5554271957004,347.94761515446703,1.0
comment-reproduction,298,comments,gfm,fresh,ox-content,yes,yes,328.5923679212183,327.3600974497201,328.8306647816938,1.0547957422134997
comment-reproduction,298,comments,gfm,fresh,v1,yes,yes,476.1703834838635,476.1399072078692,477.28230424408343,0.7278861572013294
comment-reproduction,298,comments,gfm,fresh,md4c,yes,yes,1582.227093818512,1571.2465143462514,1586.2384088170224,0.2190569431918153
comment-reproduction,298,comments,gfm,fresh,pulldown-cmark,yes,yes,660.623187344097,657.7916621959572,663.5229442882828,0.5246528387848144
comment-reproduction,298,comments,gfm,fresh,bun,yes,yes,1391.864890381016,1382.8039730571309,1403.185234609737,0.24901686435403467
comment-table,310,comments,gfm,fresh,v2,yes,yes,1090.2900487360216,1079.904298207714,1091.7406262360269,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,1024.888037616137,1015.5873544225863,1025.6620641075465,1.0638138106012127
comment-table,310,comments,gfm,fresh,v1,yes,yes,997.7048467754778,996.8658249227648,1002.0070988627309,1.09279818802101
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2409.231734416685,2404.2652336829137,2422.5138610873705,0.4525467737955058
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1329.1883966524974,1327.157284115995,1333.8517957089553,0.8202675042017138
comment-table,310,comments,gfm,fresh,bun,yes,yes,2187.497619021694,2180.0454365241967,2234.957894925127,0.4984188504962249
comment-review-long,957,comments,gfm,fresh,v2,yes,yes,814.7617288030835,805.1817703513298,815.0950997056289,1.0
comment-review-long,957,comments,gfm,fresh,ox-content,yes,yes,771.985381063674,762.5951662427187,776.2034198158645,1.0554108261486383
comment-review-long,957,comments,gfm,fresh,v1,yes,yes,1037.7723029045644,1022.5431827473426,1046.298801328794,0.7851064501554833
comment-review-long,957,comments,gfm,fresh,md4c,yes,yes,2425.356044089147,2394.133597567453,2441.6142590617574,0.3359348953275315
comment-review-long,957,comments,gfm,fresh,pulldown-cmark,yes,yes,1936.61815499226,1922.444195375177,1951.7284516380655,0.4207136686717366
comment-review-long,957,comments,gfm,fresh,bun,yes,yes,4405.310134242958,4375.562336101399,4436.98282358156,0.18494991362125707
comment-incident,1124,comments,gfm,fresh,v2,no,yes,1338.6857539540956,1327.9231853768579,1340.396641093846,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1348.441737774541,1333.9994409242854,1350.6086917985947,0.9927649941802108
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1519.9940006075335,1506.9800292721793,1524.3565272357105,0.8807177879774724
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,3061.6572257218436,3051.424352134146,3094.409134923909,0.4372422042243724
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,2522.9374054939517,2493.8656934760957,2526.5690656565657,0.5306060114844593
comment-incident,1124,comments,gfm,fresh,bun,no,yes,5383.536145386266,5354.613963334243,5413.833534214528,0.24866290813359915
guard-angle-link,41,syntax-guard,commonmark,fresh,v2,no,no,307.7640215993267,305.6586645815597,307.87566917519104,1.0
guard-angle-link,41,syntax-guard,commonmark,fresh,ox-content,no,no,284.07940494326084,280.98903170916867,284.57598329518515,1.0833732267947984
guard-angle-link,41,syntax-guard,commonmark,fresh,v1,no,no,479.6131627810082,479.58481416424604,480.34572483979287,0.6416921917129536
guard-angle-link,41,syntax-guard,commonmark,fresh,md4c,no,no,1211.408762839968,1191.9555082221164,1212.940855867419,0.2540546436842835
guard-angle-link,41,syntax-guard,commonmark,fresh,pulldown-cmark,no,no,363.6327170593368,361.87080193046785,367.63922965673044,0.8463595467651676
guard-angle-link,41,syntax-guard,commonmark,fresh,bun,no,no,460.79340463130904,459.50389756362915,465.61905654804,0.6679002314401081
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,10782.257345085469,10730.07919337607,10790.942753232757,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,11156.788935336994,11002.719671290999,11170.559896244864,0.9664301626191684
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,16623.576661184212,16552.550546287595,16631.59601151316,0.6486123633226217
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,23634.706449816564,23584.91290509259,23693.94899764151,0.4562044114226413
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,24755.52726715686,24618.655330882353,24817.886948529413,0.43554949279510125
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,46724.97106481482,46379.12202380953,46763.50347222222,0.2307600646799502
legacy-node-ferromark-readme,9075,readme,gfm,fresh,v2,no,yes,10633.264830508473,10608.177701271186,10701.81446698899,1.0
legacy-node-ferromark-readme,9075,readme,gfm,fresh,ox-content,no,yes,11061.249865364462,11032.553558259588,11114.813744469026,0.9613077147641229
legacy-node-ferromark-readme,9075,readme,gfm,fresh,v1,no,yes,17538.06814236111,17493.055555555555,17611.694982394365,0.6062962433601846
legacy-node-ferromark-readme,9075,readme,gfm,fresh,md4c,no,yes,25510.77519132653,25507.955625000002,25593.167034438775,0.4168146499179571
legacy-node-ferromark-readme,9075,readme,gfm,fresh,pulldown-cmark,no,yes,24654.590379901958,24606.65594362745,24984.566482843136,0.4312894542825804
legacy-node-ferromark-readme,9075,readme,gfm,fresh,bun,no,yes,46434.48611111111,46011.69587053571,46444.4587880291,0.22899499318382863
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,2004.032502003205,1998.0559808612438,2009.3311502510296,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,2456.862782536885,2456.784106501853,2462.3410250718816,0.8156875981221464
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,4217.154476031429,4192.784594481605,4240.768485169492,0.4752096498701438
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,md4c,no,yes,5846.116895443925,5800.329137731482,5892.731000586855,0.3427971998926355
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,pulldown-cmark,no,yes,5231.620852129097,5213.87265625,5235.612682781992,0.38306149444825116
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,bun,no,yes,8807.292399721759,8790.182583041958,8839.478563423983,0.22754240588929656
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,v2,no,yes,2780.9457270468,2760.347530170863,2797.645362997863,1.0
