case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
autolink-broad--comment-ack,autolink,comments,reuse,111.80738204382827,110.8577980888613,1.0070129362697868,0.9986276032450341,1.0145060823564307,9,"[0.9999677019176987, 1.0070129362697868, 1.0081347379920098]"
autolink-broad--comment-ack,autolink,comments,render,73.45015497385275,73.16917327616483,1.0001735334134945,0.7342114760093452,1.0163213874248795,9,"[1.004214848174692, 0.9121906109796087, 1.0001294740512434]"
autolink-broad--comment-question,autolink,comments,reuse,124.9682376537039,123.45717592592592,1.0151744940277878,1.006725683025958,1.0242799306294454,9,"[1.0151744940277878, 1.0072502310976925, 1.0174807550623761]"
autolink-broad--comment-question,autolink,comments,render,78.26007559631879,78.070435454659,1.0050086757171912,0.9942037144557151,1.0101294886868855,9,"[1.0050243767979101, 1.0042952286619913, 1.0050086757171912]"
autolink-broad--comment-review,autolink,comments,reuse,188.09520294161902,185.92196795062463,1.0135361146926065,1.0038640758842052,1.019401660077514,9,"[1.0121179249124, 1.0143620661299524, 1.0135361146926065]"
autolink-broad--comment-review,autolink,comments,render,106.3294567667574,104.73305546246648,1.010923760554351,1.0062578732084648,1.0221633109639754,9,"[1.009761211727595, 1.0173559948830562, 1.0109379103242382]"
autolink-broad--comment-links,autolink,comments,reuse,468.03826984275554,446.4839174107143,1.0496189814682828,1.0429363220900258,1.057768458185259,9,"[1.0487982408466794, 1.0513786328317039, 1.0475797933358995]"
autolink-broad--comment-links,autolink,comments,render,176.4461670783345,173.78296173362992,1.0186215448472344,1.0074994149387104,1.0307305270336318,9,"[1.0076389447000256, 1.0237220887912022, 1.0186215448472344]"
autolink-broad--comment-checklist,autolink,comments,reuse,821.8636998685075,808.9053808214748,1.0204968324371577,1.0028097509034588,1.0275481400888538,9,"[1.012406848600218, 1.0205709576637718, 1.0158650320091025]"
autolink-broad--comment-checklist,autolink,comments,render,265.3204849320883,263.4973123946037,1.0041736229581073,1.0002572737905278,1.0347874413182936,9,"[1.0039968091687355, 1.0041736229581073, 1.007136396140828]"
autolink-broad--comment-quote,autolink,comments,reuse,249.89120902458524,248.99017874925315,1.005206348993169,0.9958246431218578,1.0156626224187895,9,"[1.005206348993169, 0.9990952733138243, 1.0106312935518509]"
autolink-broad--comment-quote,autolink,comments,render,119.86108447598043,117.92833726415094,1.020714667264103,0.9902262377281249,1.0360800722645358,9,"[1.032253119075841, 1.020714667264103, 1.0076792082531714]"
autolink-broad--comment-unicode,autolink,comments,reuse,434.2214961792289,430.2085985891259,1.0070625111740474,0.9860576982249332,1.0166982817225936,9,"[1.0070625111740474, 1.0137213490235162, 1.0009303039402613]"
autolink-broad--comment-unicode,autolink,comments,render,192.031490015361,188.92585858395043,1.0140147486850701,1.0115917498201037,1.0238996154577165,9,"[1.016154131040438, 1.0140147486850701, 1.0123489701560744]"
