case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
scan-empty,commonmark,link-scan-diagnostic,parse,15.423530966208213,15.439386157405883,0.999635743853878,0.9859019336560284,1.0189673297432014,9,"[0.999635743853878, 0.9972277168270991, 1.0184672518568534]"
scan-empty,commonmark,link-scan-diagnostic,reuse,32.43469122989102,32.388389155669174,0.9972289329627507,0.9857240699320347,1.0093605583942606,9,"[1.006385271127507, 1.0064449017585004, 0.9945254003535793]"
scan-short-link,commonmark,link-scan-diagnostic,parse,115.94338594484294,112.70369410385864,1.0320424849768095,1.018856045304332,1.0391133190572024,9,"[1.0300448001223401, 1.0345316328520457, 1.0320424849768095]"
scan-short-link,commonmark,link-scan-diagnostic,reuse,154.22951451719032,149.00038243006992,1.0335381128147667,1.023978783008278,1.0398444066674466,9,"[1.0330645272982155, 1.027387279305722, 1.0367904256087837]"
scan-short-title,commonmark,link-scan-diagnostic,parse,124.19311746588953,120.78341197500644,1.0221979538603196,1.006071826600727,1.0363984098167622,9,"[1.03525081011931, 1.013014538464579, 1.0218475876644557]"
scan-short-title,commonmark,link-scan-diagnostic,reuse,167.1925597360913,161.78053817946505,1.0282179209013194,1.016218029050773,1.0483500118621145,9,"[1.0402662682603963, 1.0282179209013194, 1.0262007295235696]"
scan-short-entity,commonmark,link-scan-diagnostic,parse,189.32822596930532,188.7305316525765,1.0043946145755325,0.9796845583864515,1.0091798413161959,9,"[0.9919976520631915, 1.006457920250879, 1.005785005324882]"
scan-short-entity,commonmark,link-scan-diagnostic,reuse,233.00723005715705,232.52780102926587,0.996304162228502,0.6465255464395031,1.0120953658967389,9,"[1.0113344117947511, 0.9949202545755441, 0.996304162228502]"
scan-short-reference,commonmark,link-scan-diagnostic,parse,436.9290394920783,427.9064211547239,1.013398418836175,1.003500569103615,1.0336436715489492,9,"[1.0121057815401353, 1.013398418836175, 1.0315507506955393]"
scan-short-reference,commonmark,link-scan-diagnostic,reuse,491.39245938155136,480.3620165215164,1.0254265015841957,1.011714199751738,1.0382785423179917,9,"[1.0125957682682598, 1.0268483908058437, 1.0236845634608205]"
scan-long-clean-links,gfm,link-scan-diagnostic,parse,24338.641826923078,18903.671875,1.2872931148375686,1.269668088767238,1.306396782978657,9,"[1.300120794179075, 1.2706674255207135, 1.2872931148375686]"
scan-long-clean-links,gfm,link-scan-diagnostic,reuse,26678.059895833332,21021.209722222222,1.2626391754236397,1.2423042807412328,1.272377483653461,9,"[1.2476518994481594, 1.2659574922198586, 1.2626391754236397]"
scan-many-short-links,gfm,link-scan-diagnostic,parse,6544.198567708333,6299.531669463087,1.041096265558233,1.030532669828239,1.052651485038586,9,"[1.041464208197552, 1.041096265558233, 1.0344584458723771]"
scan-many-short-links,gfm,link-scan-diagnostic,reuse,10030.474069148937,9791.463216145834,1.0198765086862398,1.01227986876487,1.043775582269211,9,"[1.016491886616978, 1.0198765086862398, 1.03205332965591]"
scan-escaped-links,gfm,link-scan-diagnostic,parse,14181.883395522387,13976.792279411764,1.0121129009880696,1.007601917059314,1.0260092481881211,9,"[1.0188926891540488, 1.0120911204143115, 1.0082275697972891]"
scan-escaped-links,gfm,link-scan-diagnostic,reuse,16439.16109913793,16140.16154661017,1.0171300832615593,1.004185244028725,1.0271152726278487,9,"[1.025964077895615, 1.0228229901301251, 1.0092601481099752]"
scan-unicode-links,commonmark,link-scan-diagnostic,parse,24084.46794871795,19264.801020408162,1.2491710583231723,1.2271403285431535,1.2694348623050915,9,"[1.2488233371068589, 1.238271941039628, 1.2648972785906127]"
scan-unicode-links,commonmark,link-scan-diagnostic,reuse,26075.521114864863,21207.378472222223,1.233954435440676,1.2185401035179348,1.2512793980852657,9,"[1.233954435440676, 1.2225181434654124, 1.234517557683098]"
scan-long-references,gfm,link-scan-diagnostic,parse,60171.794921875,51031.38651315789,1.1758432285954192,1.1619581047976633,1.1940305530775301,9,"[1.1881344417179613, 1.1710729695072126, 1.1758432285954192]"
scan-long-references,gfm,link-scan-diagnostic,reuse,62144.205078125,53045.86284722222,1.1742541229690258,1.151064143145643,1.1853726428844158,9,"[1.161257457185905, 1.1742541229690258, 1.1806554427247375]"
