case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
autolink-clean-64,autolink,autolink-diagnostic,reuse,216.3348708686624,192.08910667639827,1.1260441954023908,1.110016397867982,1.1420144082446297,9,"[1.1253686097322353, 1.1310940100848685, 1.1260441954023908]"
autolink-clean-64,autolink,autolink-diagnostic,render,176.77456872171945,153.30841458180035,1.1528247200774002,1.1473279190294725,1.1636325066305513,9,"[1.1528247200774002, 1.1518829658232075, 1.1600499128855615]"
autolink-balanced-64,autolink,autolink-diagnostic,reuse,156.10333416583416,140.58648574561403,1.1109439403637207,1.0896750923255314,1.1164347598164641,9,"[1.1101019807890453, 1.1133844638413475, 1.1161242876042554]"
autolink-balanced-64,autolink,autolink-diagnostic,render,116.60113037496502,101.42494929006085,1.1493446263954423,1.1432384413775076,1.1675683687133205,9,"[1.1492853044661269, 1.1493446263954423, 1.1544523376185845]"
autolink-mixed-64,autolink,autolink-diagnostic,reuse,156.02312546804794,139.25373175893952,1.1220118329070559,1.1123719165967847,1.1275030298519106,9,"[1.1266335946313235, 1.1162836017678994, 1.117430617285023]"
autolink-mixed-64,autolink,autolink-diagnostic,render,118.25480973890834,102.07176757573284,1.158278216864741,1.1352755331609414,1.1815740144202345,9,"[1.1489555665243167, 1.158278216864741, 1.1585457227550056]"
autolink-closers-64,autolink,autolink-diagnostic,reuse,1779.773826458037,406.2064246263808,4.396141894952249,4.3686859621879055,4.447158626685369,9,"[4.380625823758522, 4.423929728953312, 4.411391486429448]"
autolink-closers-64,autolink,autolink-diagnostic,render,1727.6181802486187,361.0519509818077,4.773250515270889,4.701105854447752,4.861241777015748,9,"[4.849152138333265, 4.773250515270889, 4.73391804275797]"
autolink-unicode-64,autolink,autolink-diagnostic,reuse,194.2730574980575,192.20203432503075,1.0113002400293278,0.9957836524485639,1.026855011803635,9,"[1.013281028862108, 1.0103067728014001, 1.0086804217441043]"
autolink-unicode-64,autolink,autolink-diagnostic,render,154.63060907347847,152.92820604966968,1.0097717617239086,0.9977102931342791,1.019587896849988,9,"[1.0058596794902268, 1.0103008432169938, 1.0097717617239086]"
autolink-long-clean-64,autolink,autolink-diagnostic,reuse,233.25049556902985,184.54638138470622,1.259948118066159,1.2519583427393457,1.277222559071682,9,"[1.2660096440213637, 1.2602693092466246, 1.2580074454408308]"
autolink-long-clean-64,autolink,autolink-diagnostic,render,184.4853803866588,141.26463795344105,1.314581021294923,1.2694999280224246,1.3347272354686388,9,"[1.3272463074824155, 1.273477109343753, 1.3246344320666397]"
autolink-clean-512,autolink,autolink-diagnostic,reuse,1137.4082973157415,946.2403082450832,1.2004897893123248,1.186899763225526,1.2159926780654935,9,"[1.2004897893123248, 1.2078682685841076, 1.194141590246471]"
autolink-clean-512,autolink,autolink-diagnostic,render,1061.7870596349746,867.52001648161,1.2205550857887142,1.2137565882430172,1.2434501030429106,9,"[1.2235673203811552, 1.2186757631479728, 1.2197358976461719]"
autolink-balanced-512,autolink,autolink-diagnostic,reuse,1017.0869410569105,798.3359075670498,1.2727777224768912,1.2448793682749502,1.282595669468872,9,"[1.2647111300568892, 1.2745953348189645, 1.27559875299269]"
autolink-balanced-512,autolink,autolink-diagnostic,render,944.7853804758308,730.8736119228521,1.2958442895014108,1.2659578311173194,1.3069089886324987,9,"[1.2958442895014108, 1.2801066229015858, 1.3031859490174915]"
autolink-mixed-512,autolink,autolink-diagnostic,reuse,973.637874805296,756.8138619854722,1.2852715465758582,1.2741246927990313,1.3020681026218903,9,"[1.2862403552089727, 1.2870798765389477, 1.2760888779136035]"
autolink-mixed-512,autolink,autolink-diagnostic,render,897.7168207106963,684.8615998083242,1.3094616869329576,1.2999317170483145,1.3192556265669333,9,"[1.311466033841676, 1.3094616869329576, 1.308419280038686]"
autolink-closers-512,autolink,autolink-diagnostic,reuse,56828.860054347824,1841.1247238586157,30.894579666124642,30.676975051873743,31.226982514538005,9,"[30.810966022613748, 30.90480907596531, 30.894579666124642]"
autolink-closers-512,autolink,autolink-diagnostic,render,56551.85733695652,1776.3375799005682,31.816992101897444,28.35125697889371,32.39573853160927,9,"[31.906887083453277, 29.375286664160296, 31.831234337034925]"
autolink-unicode-512,autolink,autolink-diagnostic,reuse,889.4220083570412,891.2236056664291,0.9982926812601335,0.9864135684969743,1.0033597420399487,9,"[0.9914538020010203, 1.0012692151743408, 0.9982926812601335]"
autolink-unicode-512,autolink,autolink-diagnostic,render,814.9063926010431,817.6929978744278,1.0001645513216053,0.989259415105694,1.0296214085676003,9,"[0.9901739668800512, 1.0031962302536612, 1.0001645513216053]"
autolink-long-clean-512,autolink,autolink-diagnostic,reuse,587.769731429243,287.86294755929083,2.0396963185318238,2.03065043302546,2.071794287684685,9,"[2.033799760433919, 2.0531998264545517, 2.0314526551957517]"
autolink-long-clean-512,autolink,autolink-diagnostic,render,513.7307158997535,215.32165539958663,2.3858757492198794,2.35383064051217,2.4210580116839187,9,"[2.3858757492198794, 2.4007003944356353, 2.3723847002732006]"
autolink-clean-2048,autolink,autolink-diagnostic,reuse,4215.461910774411,3484.861072423398,1.2078990770174265,1.198481729281311,1.2159590765288288,9,"[1.2106239127784995, 1.2016926856637797, 1.2015184696611425]"
autolink-clean-2048,autolink,autolink-diagnostic,render,4029.026828778135,3273.2670157068064,1.229302495084304,1.2093121903601416,1.2373336248754956,9,"[1.229302495084304, 1.2273664282445498, 1.2304479034005567]"
autolink-balanced-2048,autolink,autolink-diagnostic,reuse,3886.427600931677,3002.2388339328536,1.2934605721034997,1.2624178567644837,1.3072086922593698,9,"[1.3011758868826506, 1.2766469403385403, 1.2921459130145132]"
autolink-balanced-2048,autolink,autolink-diagnostic,render,3674.8724340175954,2802.9387612107626,1.3110783884661792,1.2982038847218986,1.3253938605032467,9,"[1.3061659204508778, 1.3130462154788958, 1.3092373583039416]"
autolink-mixed-2048,autolink,autolink-diagnostic,reuse,3686.3817095588233,2820.922508445946,1.30579301527593,1.2900183275332289,2.007318314536396,9,"[1.3073953756905743, 1.305164387210313, 1.7400289739577972]"
autolink-mixed-2048,autolink,autolink-diagnostic,render,3484.527332869081,2634.224210526316,1.3235775808263637,1.2960274381538432,1.3328054679276413,9,"[1.3235775808263637, 1.3279906262262902, 1.3234273227618336]"
autolink-closers-2048,autolink,autolink-diagnostic,reuse,847036.453125,6870.049278846154,123.25955925903948,121.9567781117898,124.20727104595011,9,"[122.82534218685247, 123.25955925903948, 123.9290567858337]"
autolink-closers-2048,autolink,autolink-diagnostic,render,848321.609375,6663.134474734043,127.08897899148526,126.16446686798723,128.2654029937337,9,"[127.08897899148526, 126.3087196523364, 127.81522525782523]"
autolink-unicode-2048,autolink,autolink-diagnostic,reuse,3224.293975515464,3255.98828125,0.9937099362470769,0.9799169203163804,0.9988098476698318,9,"[0.9833585842923399, 0.9937397893076447, 0.9937099362470769]"
autolink-unicode-2048,autolink,autolink-diagnostic,render,3052.829649390244,3053.6712652439023,0.9964919790431973,0.9813280629226228,1.0065769071313302,9,"[0.9926803154227098, 0.9978849979507919, 0.9964919790431973]"
autolink-long-clean-2048,autolink,autolink-diagnostic,reuse,1898.2023899848255,746.0253766408115,2.5176519442732803,2.483295583028134,2.563000236616506,9,"[2.516249257451226, 2.516576997712291, 2.5444206717632234]"
autolink-long-clean-2048,autolink,autolink-diagnostic,render,1690.4314611486486,556.6858442787177,3.0378908410180188,2.9932753451541045,3.066433746202067,9,"[3.0391279662431385, 3.0378908410180188, 3.0308852599584215]"
