case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,fresh,394.81877684436586,406.08335092905406,0.9721336408773477,0.9537773982494628,0.9914335882347066,15,"[0.9721336408773477, 0.9591584979504908, 0.9849599536752618]"
comment-ack,gfm,comments,reuse,76.39137133934683,75.86284608428616,1.008777687183017,0.9992649168325493,1.0189053155069774,15,"[1.0074328435421707, 1.0083239322787958, 1.0103295125276421]"
comment-ack,gfm,comments,render,29.349066826011008,29.547720944195458,0.9918003274996303,0.6313167581604567,1.0034462391789412,15,"[0.9896153025804513, 0.9936383073742008, 0.9918003274996303]"
comment-review,gfm,comments,fresh,489.8974711945446,492.7234796232067,0.9965420897918131,0.970386453387747,1.011233053566178,15,"[1.0053073700157742, 0.9965420897918131, 0.9753122695435175]"
comment-review,gfm,comments,reuse,164.5017140864347,163.70413829229963,1.0084425215774488,0.999677858032901,1.0139906834635837,15,"[1.0084334509981918, 1.0072398278540715, 1.0093967313247845]"
comment-review,gfm,comments,render,49.50940817094423,49.573789817253086,0.9994503912216128,0.9894600673867467,1.0045177479537313,15,"[1.003953651419466, 0.9947114827676392, 1.0003303713973248]"
comment-unicode,gfm,comments,fresh,720.3978647994468,740.7187574069685,0.9782258659157551,0.9687335390657859,0.9872598671199985,15,"[0.971173501298759, 0.9845508759089193, 0.9739949700480025]"
comment-unicode,gfm,comments,reuse,385.0617876724988,383.93318872850125,1.0020762458121864,0.9354142894824109,1.010371433888384,15,"[1.0034283725154816, 1.0020024457005798, 1.0020762458121864]"
comment-unicode,gfm,comments,render,107.08396155295891,107.1041409623689,0.9994550737460577,0.9929017978853995,1.011470534816485,15,"[0.9995250353042038, 0.9980100091673609, 1.0023995774516385]"
typescript-handbook-compiler-options,gfm,reference,fresh,82643.87993421052,83277.48108552632,0.9961166406888938,0.9870647950481551,1.002380019782783,15,"[0.9939419600822141, 0.9883837476962126, 0.9979384154994934]"
typescript-handbook-compiler-options,gfm,reference,reuse,81562.96714743589,82100.82772435897,0.9937661488016811,0.9863220333830661,1.002121496800678,15,"[0.9937661488016811, 0.9919271294478227, 0.994770147387856]"
typescript-handbook-compiler-options,gfm,reference,render,58168.88483796296,58831.35590277778,0.9884247147182011,0.9813216160682453,0.9954902482016929,15,"[0.9884247147182011, 0.9932196734893148, 0.9834152042201295]"
wiki-chess-article-body,commonmark,encyclopedia,fresh,191700.67463235295,174489.36631944444,1.0963634771423592,1.0730497289670908,1.1296864901608252,15,"[1.0951274724417548, 1.0963634771423592, 1.1013571904733659]"
wiki-chess-article-body,commonmark,encyclopedia,reuse,190611.75,174750.94097222222,1.0858557616769375,1.0469083047666266,1.1206163030066327,15,"[1.08056844134604, 1.0913068519712057, 1.0976149243139832]"
wiki-chess-article-body,commonmark,encyclopedia,render,38984.390817901236,41687.395833333336,0.9476733930026723,0.9009268474065656,1.0386757767584445,15,"[0.948651604391457, 0.9569251223199872, 0.9164071248447531]"
wiki-volcano-article-body,commonmark,encyclopedia,fresh,111292.78879310345,100429.5654296875,1.1072195521172836,1.0927564757079704,1.147496072564422,15,"[1.1075449314723997, 1.1098336501156296, 1.1027485132885686]"
wiki-volcano-article-body,commonmark,encyclopedia,reuse,111319.50431034483,99017.7822265625,1.125480118180466,1.0764140301882328,1.1571708207350146,15,"[1.1275397394736815, 1.1307505070593213, 1.1026727497717235]"
wiki-volcano-article-body,commonmark,encyclopedia,render,24399.39656007752,25003.28125,0.9706031159690188,0.9185418228928587,1.0458956859760846,15,"[0.9693640938386455, 0.9815918526061366, 0.9767298068335105]"
