case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,fresh,398.75118428607885,403.2684838709677,0.9792806096019118,0.9741933620109667,1.0042807318275009,9,"[0.9792806096019118, 1.004043876905903, 0.9756323632397514]"
comment-ack,gfm,comments,reuse,76.31128513345217,76.14127637477768,1.0037619129687996,0.9898618987464449,1.0077071625818785,9,"[1.0037619129687996, 0.9987546091670534, 1.0038999067923853]"
comment-ack,gfm,comments,render,29.1959915939497,29.184109104026,0.999873157857619,0.9906485685930916,1.0051184858156692,9,"[0.9940622191291194, 0.999873157857619, 1.000564820440149]"
comment-review,gfm,comments,fresh,492.3924442650071,490.5347080521111,1.0005638283273293,0.9778470951396632,1.0187518545577645,9,"[0.9898682402668553, 1.0101386174303395, 1.0020768117051138]"
comment-review,gfm,comments,reuse,164.55553782054656,164.70448212026983,0.9997975342505824,0.991765747800532,1.0052710713674433,9,"[0.9997975342505824, 0.9993213003287107, 1.0009500495632737]"
comment-review,gfm,comments,render,49.60157750424583,49.501566212577224,1.0020203662090028,0.9913360975421662,1.0100018426791963,9,"[0.9997620169595361, 1.0022262822579133, 1.0020203662090028]"
comment-unicode,gfm,comments,fresh,720.9471741637832,719.7312082565638,1.0010223636868956,0.9873957548769785,1.4826064477612482,9,"[1.01161284252977, 0.9976182652571344, 1.0021260372186251]"
comment-unicode,gfm,comments,reuse,383.3526933574583,382.559542936712,1.0013109682684826,0.9908934897255101,1.0085156864941773,9,"[1.003505408348761, 0.9963002454241331, 1.0013109682684826]"
comment-unicode,gfm,comments,render,107.11001015389361,107.46965381903844,0.9985941155213661,0.9917666079412101,1.0101429684520407,9,"[0.9993557256980808, 0.9954860963516982, 1.0035979437108462]"
typescript-handbook-compiler-options,gfm,reference,fresh,82670.40131578948,82909.4021381579,1.0008008622750046,0.9911918895392325,1.00727951161672,9,"[1.0031052320465095, 1.0008008622750046, 0.9937839949877795]"
typescript-handbook-compiler-options,gfm,reference,reuse,82515.69325657895,82916.22121710527,0.995169486083096,0.8931378083944748,1.0121044070016656,9,"[0.9882587510179695, 0.9996033352779295, 0.995169486083096]"
typescript-handbook-compiler-options,gfm,reference,render,58127.869791666664,58036.50636574074,1.0012642924090913,0.9954833552012333,1.0147061289731911,9,"[1.0012642924090913, 1.0056132009692824, 0.9992444515574347]"
wiki-chess-article-body,commonmark,encyclopedia,fresh,191554.61029411765,193896.44485294117,0.9923110509068767,0.9658617554879811,1.0187987293446195,9,"[0.9778768561448387, 1.0068788524596362, 0.9923110509068767]"
wiki-chess-article-body,commonmark,encyclopedia,reuse,190073.91360294117,190066.71323529413,1.0004904237765122,0.9802565757498022,1.014480744460429,9,"[0.9998402065278946, 1.0118959475993716, 1.0038384218340513]"
wiki-chess-article-body,commonmark,encyclopedia,render,39407.161328125,38616.7587652439,1.0079423137553842,0.9692392625783103,1.032075305121515,9,"[1.0013196106665019, 1.026705940445585, 0.9990634195956599]"
wiki-volcano-article-body,commonmark,encyclopedia,fresh,111885.92857142857,111121.63254310345,1.0135098281093018,0.9851925422471444,1.023427606013552,9,"[1.0135098281093018, 1.0130250198476278, 1.0148880439023986]"
wiki-volcano-article-body,commonmark,encyclopedia,reuse,111609.86853448275,112392.90401785714,0.9942032816979319,0.9648896515990887,1.261670942509841,9,"[0.9749641863637191, 1.0043615860324502, 0.9894606386592935]"
wiki-volcano-article-body,commonmark,encyclopedia,render,24256.72238372093,24206.47043269231,1.0148946195965542,0.9753725070161475,1.0268519098950264,9,"[0.9939609174973077, 1.0148946195965542, 1.0152194433689845]"
