case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,parse,49.05232695024329,48.82253017106702,1.0025948606255977,0.996249517363798,1.0193443280934296,3,[1.0025948606255977]
comment-ack,gfm,comments,reuse,77.63641550739038,76.27316580231849,1.0148104026311502,1.0111573838447216,1.0277065968602326,3,[1.0148104026311502]
comment-table,gfm,comments,parse,897.3801111908178,890.2211948790896,1.013110918092169,0.996338787352707,1.0148396330787515,3,[1.013110918092169]
comment-table,gfm,comments,reuse,1089.5806293554008,1085.770236545139,1.0035093914734543,1.0003555362516217,1.007845265184535,3,[1.0035093914734543]
typescript-handbook-typescript-5-0,gfm,technical-docs,parse,47696.892857142855,46593.00669642857,0.9981835007715701,0.9605144720256685,1.0423730545310452,3,[0.9981835007715701]
typescript-handbook-typescript-5-0,gfm,technical-docs,reuse,81537.7578125,84268.39453125,0.942245640081642,0.9242644919432859,1.0834859467037499,3,[0.942245640081642]
wiki-chess-article-body,commonmark,encyclopedia,parse,132731.775,133891.40625,0.9935017767430463,0.9680922244066443,1.0062266215040727,3,[0.9935017767430463]
wiki-chess-article-body,commonmark,encyclopedia,reuse,194682.6171875,194166.9921875,1.0139616499669397,0.974770388327541,1.0382359693955272,3,[1.0139616499669397]
scanner-opt-0-plain-4096,opt-0,scanner-diagnostic,parse,346.61689301552104,347.03883259300386,0.9998870667374994,0.9864536755491593,1.0193393441833427,3,[0.9998870667374994]
scanner-opt-0-plain-4096,opt-0,scanner-diagnostic,reuse,576.3260944700461,573.4195814220184,1.0079950092686287,0.9918747589248963,1.0114013318967388,3,[1.0079950092686287]
scanner-opt-0-sparse-4096,opt-0,scanner-diagnostic,parse,320.71868586454593,319.17059086268506,1.0048503685683463,0.9270586416574371,1.021013509687082,3,[1.0048503685683463]
scanner-opt-0-sparse-4096,opt-0,scanner-diagnostic,reuse,519.8884299667498,521.6760321100918,1.0001311778521813,0.9855760942302463,1.0028126140342386,3,[1.0001311778521813]
scanner-opt-0-disabled-4096,opt-0,scanner-diagnostic,parse,349.0150404801787,350.16122198879555,0.9969779437385774,0.9942239226779301,1.0036979181172225,3,[0.9969779437385774]
scanner-opt-0-disabled-4096,opt-0,scanner-diagnostic,reuse,575.1902311407543,575.8697341160221,0.9938417582573759,0.986632712078702,1.0068734548019131,3,[0.9938417582573759]
scanner-opt-1-plain-4096,opt-1,scanner-diagnostic,parse,462.16298281360736,425.86018392370573,1.0681781447162353,0.9958245224959613,1.163066442009779,3,[1.0681781447162353]
scanner-opt-1-plain-4096,opt-1,scanner-diagnostic,reuse,638.027487244898,656.3866408709339,0.9673837831855403,0.9648997717932535,1.014148457207107,3,[0.9673837831855403]
scanner-opt-1-sparse-4096,opt-1,scanner-diagnostic,parse,455.306195375091,584.4224591121496,0.779070325371802,0.7785680236010982,0.7806157411209661,3,[0.779070325371802]
scanner-opt-1-sparse-4096,opt-1,scanner-diagnostic,reuse,670.3747320471597,809.6900501943005,0.8255456533191069,0.8233397703594897,0.8505165161100828,3,[0.8255456533191069]
scanner-opt-1-disabled-4096,opt-1,scanner-diagnostic,parse,400.13722391165174,402.98682301740814,0.9891268534239354,0.9879052871770633,0.9971749103941093,3,[0.9891268534239354]
scanner-opt-1-disabled-4096,opt-1,scanner-diagnostic,reuse,632.1357747724975,625.8641453953954,0.9893808121792179,0.9712515899858996,1.0233015424445313,3,[0.9893808121792179]
scanner-opt-2-plain-4096,opt-2,scanner-diagnostic,parse,408.84906393067365,410.8423743429698,0.9895803607799513,0.9817528466451785,1.0244242667528494,3,[0.9895803607799513]
scanner-opt-2-plain-4096,opt-2,scanner-diagnostic,reuse,630.6480594758065,625.7637637637638,1.0078053348481946,0.9888285716163595,1.0196152495702593,3,[1.0078053348481946]
scanner-opt-2-sparse-4096,opt-2,scanner-diagnostic,parse,414.2540589794566,547.708461033275,0.7675831724240025,0.7530871618352539,0.7727921099631452,3,[0.7675831724240025]
scanner-opt-2-sparse-4096,opt-2,scanner-diagnostic,reuse,674.6196399676376,800.2860915492957,0.842973090612662,0.8368282318336436,0.844555241964766,3,[0.842973090612662]
scanner-opt-2-disabled-4096,opt-2,scanner-diagnostic,parse,408.47146472893536,409.0210922171354,1.0056043320588706,0.9876273383347921,1.010038672570489,3,[1.0056043320588706]
scanner-opt-2-disabled-4096,opt-2,scanner-diagnostic,reuse,620.9993483118172,621.6956076043738,1.0054299971272578,0.9858754986336252,1.016513516243904,3,[1.0054299971272578]
scanner-opt-3-plain-4096,opt-3,scanner-diagnostic,parse,465.44678425167535,452.9561141304348,1.0333315079177994,1.0275758947314788,1.2258856063994668,3,[1.0333315079177994]
scanner-opt-3-plain-4096,opt-3,scanner-diagnostic,reuse,676.8973214285714,682.2874182115594,0.9920999616303687,0.9793904277953344,1.0144192001121517,3,[0.9920999616303687]
scanner-opt-3-sparse-4096,opt-3,scanner-diagnostic,parse,546.7657342657343,812.7963263979194,0.6726971032076923,0.6712029228083838,0.6836885808095543,3,[0.6726971032076923]
scanner-opt-3-sparse-4096,opt-3,scanner-diagnostic,reuse,827.0120954425363,1086.5681966145833,0.7606133394167405,0.7460097693827404,0.7774082917210025,3,[0.7606133394167405]
scanner-opt-3-disabled-4096,opt-3,scanner-diagnostic,parse,452.09876626898046,446.4806473214286,1.0123638311141259,1.0087440562878711,1.0139536282817168,3,[1.0123638311141259]
scanner-opt-3-disabled-4096,opt-3,scanner-diagnostic,reuse,676.0374662162162,665.7570220979766,1.007982070342085,1.0039292888850162,1.022300985546693,3,[1.007982070342085]
scanner-opt-4-plain-4096,opt-4,scanner-diagnostic,parse,402.6917055698648,405.9828327922078,0.9923060998475199,0.9830051948761203,1.028820473420318,3,[0.9923060998475199]
scanner-opt-4-plain-4096,opt-4,scanner-diagnostic,reuse,625.921483983984,626.4077530060121,1.0043002332679474,0.9891665132306555,1.0099763432199886,3,[1.0043002332679474]
scanner-opt-4-sparse-4096,opt-4,scanner-diagnostic,parse,434.1335720486111,567.3018659255898,0.7633788463464112,0.7632039821694011,0.7830746533550155,3,[0.7633788463464112]
scanner-opt-4-sparse-4096,opt-4,scanner-diagnostic,reuse,673.1126210979548,804.0096802699229,0.8371946726710763,0.8089736138526263,0.8683044726888672,3,[0.8371946726710763]
scanner-opt-4-disabled-4096,opt-4,scanner-diagnostic,parse,402.4762355119124,402.0582194533762,0.9985311994154704,0.9971746041549407,1.0178824534440172,3,[0.9985311994154704]
scanner-opt-4-disabled-4096,opt-4,scanner-diagnostic,reuse,633.4180281155016,634.4473567444219,0.988896945095898,0.145107095151538,1.0108818187959712,3,[0.988896945095898]
scanner-opt-5-plain-4096,opt-5,scanner-diagnostic,parse,454.46021075581393,445.9598341654779,1.0237926063538607,1.0139128888542372,1.0259551561978664,3,[1.0237926063538607]
scanner-opt-5-plain-4096,opt-5,scanner-diagnostic,reuse,682.9398881004366,672.2081989247312,1.0129284290548835,1.0071153170441227,1.0310312762418412,3,[1.0129284290548835]
scanner-opt-5-sparse-4096,opt-5,scanner-diagnostic,parse,605.0305246615087,830.0651560424967,0.7204131721212931,0.7181979753938726,0.7370972660537997,3,[0.7204131721212931]
scanner-opt-5-sparse-4096,opt-5,scanner-diagnostic,reuse,852.0060030653951,1079.0297413793103,0.7896038175706691,0.7864614503473966,0.7906713636245435,3,[0.7896038175706691]
scanner-opt-5-disabled-4096,opt-5,scanner-diagnostic,parse,475.79849219939115,470.66782756024094,1.0109008186638666,1.0083106358702492,1.021866652563207,3,[1.0109008186638666]
scanner-opt-5-disabled-4096,opt-5,scanner-diagnostic,reuse,686.1322299890351,674.5999528047465,1.017094986645554,1.013099644028632,1.0227025382547135,3,[1.017094986645554]
scanner-opt-6-plain-4096,opt-6,scanner-diagnostic,parse,455.5963010204082,445.6995055238774,1.0249209481934076,1.0138403880103335,1.0298754069261982,3,[1.0249209481934076]
scanner-opt-6-plain-4096,opt-6,scanner-diagnostic,reuse,675.7587162162163,670.6092408798283,1.0076788016366012,0.9906503091568071,1.0198180480005512,3,[1.0076788016366012]
scanner-opt-6-sparse-4096,opt-6,scanner-diagnostic,parse,555.8900555555556,804.0046593830334,0.6959393617696458,0.6895296563845466,0.6962290606893379,3,[0.6959393617696458]
