case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,parse,49.220265867391134,48.79706895542197,1.0087770477141993,0.9981929759481334,1.0217474986067545,3,[1.0087770477141993]
comment-ack,gfm,comments,reuse,76.08414485696896,75.89078056702283,1.0057589557062978,0.9891512150261069,1.009145900750366,3,[1.0057589557062978]
comment-table,gfm,comments,parse,901.9491792929293,895.919143982808,1.012278325291342,1.0047577459261898,1.015824361839224,3,[1.012278325291342]
comment-table,gfm,comments,reuse,1113.1677046263346,1097.1605263157894,1.0127231748705814,1.0027845434396125,1.0150774438812797,3,[1.0127231748705814]
typescript-handbook-typescript-5-0,gfm,technical-docs,parse,47926.61830357143,48030.22767857143,0.9804815600788519,0.9788546113717708,1.002990819161551,3,[0.9804815600788519]
typescript-handbook-typescript-5-0,gfm,technical-docs,reuse,83225.75,88334.1484375,0.9871695636220551,0.9095618899507206,1.008472701793661,3,[0.9871695636220551]
wiki-chess-article-body,commonmark,encyclopedia,parse,134636.45625,134059.375,0.9974975776624008,0.9972314507198228,1.0062549709783446,3,[0.9974975776624008]
wiki-chess-article-body,commonmark,encyclopedia,reuse,193210.9375,193241.2109375,0.9807502949575502,0.9581579450067971,1.0171506128156618,3,[0.9807502949575502]
scanner-opt-0-plain-4096,opt-0,scanner-diagnostic,parse,348.6489647239264,349.564946868009,0.9974453281402881,0.9924209093788608,1.019946649279374,3,[0.9974453281402881]
scanner-opt-0-plain-4096,opt-0,scanner-diagnostic,reuse,577.2749884579871,576.8084928505535,1.0008087530145893,0.9870555344248061,1.0015923743225932,3,[1.0008087530145893]
scanner-opt-0-sparse-4096,opt-0,scanner-diagnostic,parse,319.75236572890026,319.5469548824131,1.0006428189765186,0.9740246359344873,1.028268134984205,3,[1.0006428189765186]
scanner-opt-0-sparse-4096,opt-0,scanner-diagnostic,reuse,520.1736168885192,520.9158072916666,0.9985752200398635,0.997069359584968,1.0064588438372855,3,[0.9985752200398635]
scanner-opt-0-disabled-4096,opt-0,scanner-diagnostic,parse,349.60428901006713,348.78395298549106,1.002351989010831,0.9999042452824058,1.0068138828833333,3,[1.002351989010831]
scanner-opt-0-disabled-4096,opt-0,scanner-diagnostic,reuse,581.7393313953488,579.6841114457832,1.0039111090639756,0.9866281336329381,1.006326637183603,3,[1.0039111090639756]
scanner-opt-1-plain-4096,opt-1,scanner-diagnostic,parse,402.92767396907215,352.6486710377891,1.144878760443853,1.1282122858482015,1.157573236344963,3,[1.144878760443853]
scanner-opt-1-plain-4096,opt-1,scanner-diagnostic,reuse,633.9904601926978,583.8852999533146,1.0996831760800205,1.0777655639832986,1.1006426187940286,3,[1.0996831760800205]
scanner-opt-1-sparse-4096,opt-1,scanner-diagnostic,parse,451.96414045553144,395.5417852624921,1.1426457514611155,1.1217035327460274,1.1560217494186975,3,[1.1426457514611155]
scanner-opt-1-sparse-4096,opt-1,scanner-diagnostic,reuse,665.8845846645368,607.7742954324586,1.0956116269950673,1.0867694302298945,1.097292851782401,3,[1.0956116269950673]
scanner-opt-1-disabled-4096,opt-1,scanner-diagnostic,parse,405.11922796500323,4672.66208022388,0.08677584999654744,0.0836057363254139,0.10560966890245005,3,[0.08677584999654744]
scanner-opt-1-disabled-4096,opt-1,scanner-diagnostic,reuse,624.5213224275724,4914.815185546875,0.12751004038942296,0.1260085681103839,0.12841323067249547,3,[0.12751004038942296]
scanner-opt-2-plain-4096,opt-2,scanner-diagnostic,parse,402.9884953255964,350.43559066704034,1.1394905033990674,1.1123989336528033,1.1572069473984135,3,[1.1394905033990674]
scanner-opt-2-plain-4096,opt-2,scanner-diagnostic,reuse,627.5218059738955,577.3110572483841,1.0869734748626312,1.0772731429401705,1.0976934221540011,3,[1.0869734748626312]
scanner-opt-2-sparse-4096,opt-2,scanner-diagnostic,parse,415.57581865026594,364.0350356726849,1.141581930108296,1.1203342244663461,1.1568862407057452,3,[1.141581930108296]
scanner-opt-2-sparse-4096,opt-2,scanner-diagnostic,reuse,676.5802556818181,619.1393254950495,1.095549628308974,1.0695463403990952,1.0961765100114615,3,[1.095549628308974]
scanner-opt-2-disabled-4096,opt-2,scanner-diagnostic,parse,402.07327170418006,3810.5507575757574,0.10500699165124443,0.10497616224281131,0.10808398906770242,3,[0.10500699165124443]
scanner-opt-2-disabled-4096,opt-2,scanner-diagnostic,reuse,631.146442986882,4009.927348726115,0.15709843783694932,0.15644844154159226,0.15745706119236597,3,[0.15709843783694932]
scanner-opt-3-plain-4096,opt-3,scanner-diagnostic,parse,458.5252245234604,349.2201990223464,1.315093914028835,1.2890282210426853,1.3475030063440832,3,[1.315093914028835]
scanner-opt-3-plain-4096,opt-3,scanner-diagnostic,reuse,679.780910326087,570.9855308219178,1.1896803069727773,1.1752692000856053,1.2048535500223234,3,[1.1896803069727773]
scanner-opt-3-sparse-4096,opt-3,scanner-diagnostic,parse,551.8558031774052,454.42993731831393,1.2136615458618318,1.1951295862082716,1.240439498285339,3,[1.2136615458618318]
scanner-opt-3-sparse-4096,opt-3,scanner-diagnostic,reuse,830.9972194555113,744.2584449404762,1.1165438902369085,1.0957191877529247,1.14676646195926,3,[1.1165438902369085]
scanner-opt-3-disabled-4096,opt-3,scanner-diagnostic,parse,462.4062037721894,3789.972326807229,0.1220078047803933,0.11995639330537432,0.12247081266018339,3,[0.1220078047803933]
scanner-opt-3-disabled-4096,opt-3,scanner-diagnostic,reuse,675.0058994066883,4016.86858974359,0.16822707345286406,0.16760035080467217,0.1695489602573525,3,[0.16822707345286406]
scanner-opt-4-plain-4096,opt-4,scanner-diagnostic,parse,401.0199791800128,347.0308856191005,1.1547228670549838,1.132409645601506,1.1660968995281409,3,[1.1547228670549838]
scanner-opt-4-plain-4096,opt-4,scanner-diagnostic,reuse,626.5369175851704,578.058803142329,1.0864607751796678,1.0707097536561123,1.092105788916833,3,[1.0864607751796678]
scanner-opt-4-sparse-4096,opt-4,scanner-diagnostic,parse,435.9200662482566,378.87151515151515,1.1517728272795877,1.1087096273830872,1.1607025723572555,3,[1.1517728272795877]
scanner-opt-4-sparse-4096,opt-4,scanner-diagnostic,reuse,664.5094314558979,618.980754950495,1.0735542682729196,1.0660375973571856,1.1021929946227262,3,[1.0735542682729196]
scanner-opt-4-disabled-4096,opt-4,scanner-diagnostic,parse,409.2137598167539,4008.4677547770702,0.10110187676237627,0.10100208099767437,0.10270703199747702,3,[0.10110187676237627]
scanner-opt-4-disabled-4096,opt-4,scanner-diagnostic,reuse,637.2695591233436,4240.1815878378375,0.14951971262437777,0.1484566735457382,0.15036029403422643,3,[0.14951971262437777]
scanner-opt-5-plain-4096,opt-5,scanner-diagnostic,parse,456.4410355839416,350.787984006734,1.313404154495758,1.2777607560648228,1.3205451666315224,3,[1.313404154495758]
scanner-opt-5-plain-4096,opt-5,scanner-diagnostic,reuse,684.8459405805038,640.8584784836065,1.0676825549513072,0.6882632312292372,1.1821061983874308,3,[1.0676825549513072]
scanner-opt-5-sparse-4096,opt-5,scanner-diagnostic,parse,605.2809474830591,475.3485266159696,1.2741613085947299,1.2732431594814435,1.2749707016864729,3,[1.2741613085947299]
scanner-opt-5-sparse-4096,opt-5,scanner-diagnostic,reuse,856.3820205479452,731.4845394736842,1.1707452096856714,1.1551599299078874,1.1790732267255366,3,[1.1707452096856714]
scanner-opt-5-disabled-4096,opt-5,scanner-diagnostic,parse,455.0999363173217,4008.0296474358975,0.11314123350558529,0.11295591791015737,0.11553657697841448,3,[0.11314123350558529]
scanner-opt-5-disabled-4096,opt-5,scanner-diagnostic,reuse,690.3240549116998,4260.918074324324,0.16235383979024956,0.15764598860778795,0.16525533921793212,3,[0.16235383979024956]
scanner-opt-6-plain-4096,opt-6,scanner-diagnostic,parse,456.92749451754383,347.40668402777777,1.3126013238727319,1.3093760574775444,1.3224675939338295,3,[1.3126013238727319]
scanner-opt-6-plain-4096,opt-6,scanner-diagnostic,reuse,712.1921269931663,599.978017034549,1.1870303690679314,1.1615161761827895,1.2307861136183844,3,[1.1870303690679314]
scanner-opt-6-sparse-4096,opt-6,scanner-diagnostic,parse,541.5573051948052,435.0072851426583,1.2449384727366217,1.2298254931927355,1.2534095798007727,3,[1.2449384727366217]
scanner-opt-6-sparse-4096,opt-6,scanner-diagnostic,reuse,843.4776484480432,742.6947372327791,1.1356989704690423,1.121429166811691,1.1534677658528634,3,[1.1356989704690423]
scanner-opt-6-disabled-4096,opt-6,scanner-diagnostic,parse,464.06655994803265,2377.4709990530305,0.19519336308744661,0.1942458561237073,0.1989591223665408,3,[0.19519336308744661]
