case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,parse,48.849225914443515,48.33605189214271,1.011737249167701,1.0084735244319092,1.0158809663025687,3,[1.011737249167701]
comment-ack,gfm,comments,reuse,74.9242662630864,74.51816479214689,1.0042904053397979,1.0015458812957772,1.008410657706368,3,[1.0042904053397979]
comment-table,gfm,comments,parse,900.8002521613832,895.56348495702,1.0058474550295164,0.9982249990175951,1.0298352515503972,3,[1.0058474550295164]
comment-table,gfm,comments,reuse,1087.0947276940904,1086.728092410197,1.00085009713903,0.9971362534984429,1.0077056227803292,3,[1.00085009713903]
typescript-handbook-typescript-5-0,gfm,technical-docs,parse,46903.3203125,47657.2265625,0.984180652035819,0.9391932657678775,1.0001274934397257,3,[0.984180652035819]
typescript-handbook-typescript-5-0,gfm,technical-docs,reuse,81122.28645833333,79658.41927083333,1.0269066165420564,0.9952427689066765,1.0332493471223316,3,[1.0269066165420564]
wiki-chess-article-body,commonmark,encyclopedia,parse,130601.5625,131453.77734375,0.9968417308656184,0.992931361597011,1.0086799452560185,3,[0.9968417308656184]
wiki-chess-article-body,commonmark,encyclopedia,reuse,188781.03125,187870.3125,1.0089818102610733,0.9943405939935295,1.0279928862333367,3,[1.0089818102610733]
scanner-opt-0-plain-4096,opt-0,scanner-diagnostic,parse,348.6663490145035,346.62036737523107,1.009854366334475,0.999679564542391,1.0123432475071952,3,[1.009854366334475]
scanner-opt-0-plain-4096,opt-0,scanner-diagnostic,reuse,563.3743055555556,561.2844105326152,1.0037234154088783,0.9843095553915977,1.0156021448239771,3,[1.0037234154088783]
scanner-opt-0-sparse-4096,opt-0,scanner-diagnostic,parse,313.1284339512358,313.2795898763782,0.9971292944383525,0.9963133111304833,1.0040296659150518,3,[0.9971292944383525]
scanner-opt-0-sparse-4096,opt-0,scanner-diagnostic,reuse,520.7921293725708,518.1960808011049,1.0001582799934088,1.0000874780080287,1.005009780404847,3,[1.0001582799934088]
scanner-opt-0-disabled-4096,opt-0,scanner-diagnostic,parse,345.9827606088561,346.8053693602071,0.9992129052882385,0.9973920423812733,1.008208444468959,3,[0.9992129052882385]
scanner-opt-0-disabled-4096,opt-0,scanner-diagnostic,reuse,570.1146086626139,572.2557008846858,0.9976263525861274,0.9955981485298164,0.9993867112156114,3,[0.9976263525861274]
scanner-opt-1-plain-4096,opt-1,scanner-diagnostic,parse,397.9412139219015,344.50006888317415,1.1551266599509742,0.8041165263590229,1.1729989405070842,3,[1.1551266599509742]
scanner-opt-1-plain-4096,opt-1,scanner-diagnostic,reuse,618.631307717678,564.3833859807461,1.0957688009436115,1.0907598493831627,1.096118920373008,3,[1.0957688009436115]
scanner-opt-1-sparse-4096,opt-1,scanner-diagnostic,parse,454.2239583333333,390.8616480825344,1.162109305330001,1.1511435824739045,1.1744399298612545,3,[1.162109305330001]
scanner-opt-1-sparse-4096,opt-1,scanner-diagnostic,reuse,656.3520600069979,600.1537707933461,1.0961862486668301,1.0923364906999913,1.099146963785409,3,[1.0961862486668301]
scanner-opt-1-disabled-4096,opt-1,scanner-diagnostic,parse,402.6573905109489,347.52787944773905,1.1576799052199398,1.154725116269865,1.1675799333448642,3,[1.1576799052199398]
scanner-opt-1-disabled-4096,opt-1,scanner-diagnostic,reuse,618.7876195580475,564.3019141095066,1.0962901088213506,1.095738497939498,1.103247063698713,3,[1.0962901088213506]
scanner-opt-2-plain-4096,opt-2,scanner-diagnostic,parse,402.08802798027443,348.2504757705162,1.154594339291686,1.147027387108733,1.1631210207563962,3,[1.154594339291686]
scanner-opt-2-plain-4096,opt-2,scanner-diagnostic,reuse,628.3677949061662,574.0514075887393,1.0974965775584564,1.077898641164017,1.0986128750919522,3,[1.0974965775584564]
scanner-opt-2-sparse-4096,opt-2,scanner-diagnostic,parse,408.3942318162021,358.3475711692778,1.1429010443196488,1.1313528530241368,1.145568998551795,3,[1.1429010443196488]
scanner-opt-2-sparse-4096,opt-2,scanner-diagnostic,reuse,668.4299937633642,620.8773178807947,1.0786043600829889,1.0519032585322987,1.0798424315976616,3,[1.0786043600829889]
