case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,reuse,76.49910889120059,75.54963435271365,1.0086194257110908,0.996931073502647,1.0135700625565656,3,[1.0086194257110908]
comment-ack,gfm,comments,render,28.822367131657828,28.847883781039418,0.9980108749471747,0.9962587110113993,1.002438649595933,3,[0.9980108749471747]
comment-table,gfm,comments,reuse,1089.1496080139373,1085.5486653645833,0.9954898590022173,0.9882174115715204,1.0187242280866553,3,[0.9954898590022173]
comment-table,gfm,comments,render,185.3839153321471,185.8804267023491,0.9973288668473036,0.986686356484424,1.0393150980756598,3,[0.9973288668473036]
typescript-handbook-the-handbook,gfm,technical-docs,reuse,6525.5126953125,6318.3984375,1.0327795500491497,1.0220357022255693,1.0347814345686228,3,[1.0327795500491497]
typescript-handbook-the-handbook,gfm,technical-docs,render,1566.376953125,1524.5077743902439,1.0253878646890304,1.0227984743271816,1.0613354301538291,3,[1.0253878646890304]
typescript-handbook-advanced-types,gfm,reference,reuse,68373.175,63525.78125,1.027363398226606,1.0266342689530754,1.1570459574503908,3,[1.027363398226606]
typescript-handbook-advanced-types,gfm,reference,render,20457.66129032258,19601.602272727272,1.0430623849347516,1.0426166723092876,1.0585976797598182,3,[1.0430623849347516]
typescript-handbook-compiler-options,gfm,reference,reuse,81325.68359375,80730.46875,1.0033370810446895,0.9943878921758859,1.0207839550974984,3,[1.0033370810446895]
typescript-handbook-compiler-options,gfm,reference,render,57875.71022727273,58774.73863636364,0.9899122943726228,0.9847038297413255,1.004506118534404,3,[0.9899122943726228]
typescript-handbook-typescript-5-0,gfm,technical-docs,reuse,83045.41015625,82016.2734375,1.0022058345530744,0.9941894153437346,1.0896546595503795,3,[1.0022058345530744]
typescript-handbook-typescript-5-0,gfm,technical-docs,render,22085.713362068964,22971.6796875,1.001190324363389,0.9045980485144471,1.0241732474533016,3,[1.001190324363389]
wiki-chess-first-paragraph,commonmark,encyclopedia,reuse,2218.814605496454,1969.7408608490566,1.1261298990868147,1.1017523821078303,1.1397396621692029,3,[1.1261298990868147]
wiki-chess-first-paragraph,commonmark,encyclopedia,render,490.0405074451411,486.7722936137072,1.0009524536633272,0.9964986436554079,1.0091396029700503,3,[1.0009524536633272]
wiki-chess-lead,commonmark,encyclopedia,reuse,7326.3230377906975,6455.264349489796,1.13493772541937,1.1223548734656361,1.1362832154833291,3,[1.13493772541937]
wiki-chess-lead,commonmark,encyclopedia,render,1483.3352340047393,1496.7276998806683,0.9927464765321509,0.9760027271718184,0.9951231264932395,3,[0.9927464765321509]
wiki-chess-article-body,commonmark,encyclopedia,reuse,194937.171875,178313.4765625,1.093227363590061,1.078051325834225,1.0954494531676702,3,[1.093227363590061]
wiki-chess-article-body,commonmark,encyclopedia,render,40315.591796875,38109.299632352944,1.0273548130341834,1.024827202294955,1.05789379982856,3,[1.0273548130341834]
wiki-chess-plain-prose,commonmark,plain-prose,reuse,27895.775815217392,28208.164402173912,0.9889255967704,0.974041612499326,1.0162106939108253,3,[0.9889255967704]
wiki-chess-plain-prose,commonmark,plain-prose,render,9183.404891304348,9259.133731617647,0.9881326232674632,0.9800751493643871,1.0223226137776553,3,[0.9881326232674632]
wiki-volcano-first-paragraph,commonmark,encyclopedia,reuse,4275.191326530612,3745.3962053571427,1.1414523570071675,1.1354121688289798,1.1628732051496224,3,[1.1414523570071675]
wiki-volcano-first-paragraph,commonmark,encyclopedia,render,847.7285738482385,854.8034921448087,0.9928768222099456,0.9914199270050965,0.9930037627654419,3,[0.9928768222099456]
wiki-volcano-lead,commonmark,encyclopedia,reuse,5554.019081858407,4923.289862204724,1.1273312186371007,1.1174888882765037,1.1350266117904937,3,[1.1273312186371007]
wiki-volcano-lead,commonmark,encyclopedia,render,1190.920119047619,1199.2162954980843,0.9973952279394888,0.9902217820975848,1.016163947178492,3,[0.9973952279394888]
wiki-volcano-article-body,commonmark,encyclopedia,reuse,109790.14583333333,106076.82291666667,1.0314861092421554,1.0078354671216565,1.1275682022280111,3,[1.0314861092421554]
wiki-volcano-article-body,commonmark,encyclopedia,render,24604.766826923078,24133.91466346154,0.9882708299017884,0.9602588312200498,1.0611922514569134,3,[0.9882708299017884]
wiki-volcano-plain-prose,commonmark,plain-prose,reuse,15448.233993902439,15450.044207317073,1.0045447912425067,0.9856672542239637,1.006890824975937,3,[1.0045447912425067]
wiki-volcano-plain-prose,commonmark,plain-prose,render,5039.646,4905.009033203125,1.026363630416774,1.0217227594733476,1.0274488723436566,3,[1.026363630416774]
scan-empty,commonmark,link-scan-diagnostic,reuse,32.54306759606373,32.14379275097716,1.0124215225060655,0.9761754361828571,1.030361943296929,3,[1.0124215225060655]
scan-empty,commonmark,link-scan-diagnostic,render,18.514553957580425,18.520203647731652,0.9973945996343623,0.9973547596528511,1.008837605076857,3,[0.9973945996343623]
scan-short-link,commonmark,link-scan-diagnostic,reuse,155.23956263968213,152.61268615722656,1.0314881386923387,1.012637670952018,1.0350739881711564,3,[1.0314881386923387]
scan-short-link,commonmark,link-scan-diagnostic,render,33.79207497567042,33.68741409745055,1.0005374674727507,0.9971494123673996,1.003743082754986,3,[1.0005374674727507]
scan-short-title,commonmark,link-scan-diagnostic,reuse,164.16849396008402,161.91878238341968,1.0132103998020405,1.0122442305988417,1.0324067593591117,3,[1.0132103998020405]
scan-short-title,commonmark,link-scan-diagnostic,render,38.14927864074707,38.30106968870641,0.9975537174732395,0.9908721748357576,1.0201904058531868,3,[0.9975537174732395]
scan-short-entity,commonmark,link-scan-diagnostic,reuse,233.1588842782544,230.6065912025083,1.0089918333760715,1.0001660987267178,1.0132194425029057,3,[1.0089918333760715]
scan-short-entity,commonmark,link-scan-diagnostic,render,42.82084346738833,41.86815464228296,1.0227544976186564,1.0209285069066083,1.0283650970384026,3,[1.0227544976186564]
scan-short-reference,commonmark,link-scan-diagnostic,reuse,484.66669089147285,477.65968773873186,1.016981236448668,1.0135075179385118,1.0203266026201556,3,[1.016981236448668]
scan-short-reference,commonmark,link-scan-diagnostic,render,44.39225630326705,43.36690995351096,1.023385664434818,1.0110317409751224,1.0241356346244643,3,[1.023385664434818]
scan-long-clean-links,gfm,link-scan-diagnostic,reuse,26463.270833333332,21041.40625,1.257675961336155,1.2386039636409782,1.2687742191570122,3,[1.257675961336155]
scan-long-clean-links,gfm,link-scan-diagnostic,render,1935.984229876161,1958.67919921875,0.9934067218845488,0.9691015850245229,0.9950664542256245,3,[0.9934067218845488]
scan-many-short-links,gfm,link-scan-diagnostic,reuse,9955.501488095239,9780.3955078125,1.018242365275118,1.0047362156690312,1.0308923881661245,3,[1.018242365275118]
scan-many-short-links,gfm,link-scan-diagnostic,render,3457.3118093922653,3502.1531075418993,0.9932712078552678,0.9817586181528265,0.9952947443755453,3,[0.9932712078552678]
scan-escaped-links,gfm,link-scan-diagnostic,reuse,16427.91826923077,16151.642628205129,1.016323604862996,1.01585248783882,1.0192196852249191,3,[1.016323604862996]
scan-escaped-links,gfm,link-scan-diagnostic,render,2212.8652826855123,2206.0546875,1.0012466710830146,0.995783186668058,1.0083278495350352,3,[1.0012466710830146]
scan-unicode-links,commonmark,link-scan-diagnostic,reuse,26054.58375,21106.467708333334,1.2354064833205014,1.2174341277102665,1.2369233976413925,3,[1.2354064833205014]
scan-unicode-links,commonmark,link-scan-diagnostic,render,1982.331190664557,1973.128548895899,1.0046639849054981,1.0009076759727686,1.0116120401631474,3,[1.0046639849054981]
scan-long-references,gfm,link-scan-diagnostic,reuse,62038.35227272727,53778.536458333336,1.1553541221888763,1.1326012625851318,1.1825576905439448,3,[1.1553541221888763]
scan-long-references,gfm,link-scan-diagnostic,render,2156.3891163793105,2123.0445974576273,1.0109663492277225,1.001444628006827,1.016921636274504,3,[1.0109663492277225]
scan-dense-escapes,commonmark,link-scan-diagnostic,reuse,5488.601151315789,5469.451902173913,1.0019185732118234,0.9956361874150512,1.0139070778603694,3,[1.0019185732118234]
scan-dense-escapes,commonmark,link-scan-diagnostic,render,1927.8165384615384,1919.8739455521472,1.0037235841927876,1.0014334342331097,1.018595243505075,3,[1.0037235841927876]
scan-dense-entities,commonmark,link-scan-diagnostic,reuse,17537.32638888889,17443.503472222223,1.0066870645291575,0.9929207400269779,1.0102498784604845,3,[1.0066870645291575]
scan-dense-entities,commonmark,link-scan-diagnostic,render,1982.3600672468353,2009.2565104166667,0.9886150556466724,0.9866137334728586,0.996899469917412,3,[0.9886150556466724]
scan-malformed-entities,commonmark,link-scan-diagnostic,reuse,8671.054366438357,8583.137414383562,1.0113020804467836,0.9870114548143591,1.0183282600418002,3,[1.0113020804467836]
scan-malformed-entities,commonmark,link-scan-diagnostic,render,2894.380497685185,2898.0817418981483,0.9987228641071598,0.9830886801255349,1.008599161296749,3,[0.9987228641071598]
scan-mdx-links,mdx,link-scan-diagnostic,reuse,14850.290697674418,13979.224305555555,1.0708473544685022,1.0623114969099314,1.074309166156683,3,[1.0708473544685022]
scan-mdx-links,mdx,link-scan-diagnostic,render,1867.7782649253732,1844.1955199115043,1.0150922181657602,1.0000228993794267,1.0156148345562561,3,[1.0150922181657602]
scan-extension-links,extensions,link-scan-diagnostic,reuse,3933.821484375,3930.5908203125,0.9959174041898993,0.9942895818687953,1.00945459554518,3,[0.9959174041898993]
scan-extension-links,extensions,link-scan-diagnostic,render,466.88001773711727,468.4242509363296,0.9931792723697085,0.9899292285879853,1.0075412704453577,3,[0.9931792723697085]
