case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,reuse,76.9527748707215,76.16869897026567,1.0102939384688967,0.9905437853960704,1.0294160548804026,3,[1.0102939384688967]
comment-ack,gfm,comments,render,29.48798564587658,29.0299262656758,1.015143035578031,0.9936539644722661,1.01622462245075,3,[1.015143035578031]
comment-table,gfm,comments,reuse,1099.6151142355009,1095.056644045534,1.004162771135862,0.9795074939262741,1.020313475729017,3,[1.004162771135862]
comment-table,gfm,comments,render,186.53946583109519,197.24651901230672,0.9426663465573802,0.9418945894677236,0.9706529391351817,3,[0.9426663465573802]
typescript-handbook-typescript-5-0,gfm,technical-docs,reuse,85646.97265625,86758.30078125,0.9974770123928834,0.9020672612194284,1.0802709639345633,3,[0.9974770123928834]
typescript-handbook-typescript-5-0,gfm,technical-docs,render,21538.976041666665,24588.69110576923,0.8819521380662823,0.8688661025686172,0.9148755759797758,3,[0.8819521380662823]
wiki-chess-article-body,commonmark,encyclopedia,reuse,192986.9765625,191346.3515625,0.989252407260539,0.9631245418719401,1.0309063932510176,3,[0.989252407260539]
wiki-chess-article-body,commonmark,encyclopedia,render,39319.163602941175,39322.265625,0.9904218043664194,0.9558572434487131,1.0008305307793537,3,[0.9904218043664194]
autolink-clean-64,autolink,autolink-diagnostic,reuse,214.5189065717227,216.68696923743502,0.9919458965746663,0.9790604570846902,1.0019818174996808,3,[0.9919458965746663]
autolink-clean-64,autolink,autolink-diagnostic,render,176.77990667420815,177.78140998293514,0.9903977777945551,0.981032637264354,1.0013994589724198,3,[0.9903977777945551]
autolink-balanced-64,autolink,autolink-diagnostic,reuse,153.9780865147783,158.37845990625792,0.9722160867451033,0.9652411176272577,0.9831332341241495,3,[0.9722160867451033]
autolink-balanced-64,autolink,autolink-diagnostic,render,116.61152052238806,115.94193447412354,1.0057751843739848,0.9951688366180396,1.031114145911068,3,[1.0057751843739848]
autolink-mixed-64,autolink,autolink-diagnostic,reuse,157.7973128629134,156.287109375,1.0099806523684318,0.979505161153027,1.018021951015954,3,[1.0099806523684318]
autolink-mixed-64,autolink,autolink-diagnostic,render,117.73025758146544,117.78002520256265,0.9995774527895402,0.9848823369879962,1.0158341646777747,3,[0.9995774527895402]
autolink-closers-64,autolink,autolink-diagnostic,reuse,1767.1551024011299,456.7715942293645,3.867070876339576,3.8547802874970243,3.9943217994011238,3,[3.867070876339576]
autolink-closers-64,autolink,autolink-diagnostic,render,1729.1450276243095,412.5532797029703,4.191325369826796,4.11301418143516,4.255076401302138,3,[4.191325369826796]
autolink-unicode-64,autolink,autolink-diagnostic,reuse,196.56913325471697,193.27723987322202,1.0170319763654232,0.9922321796045152,1.0298302803106554,3,[1.0170319763654232]
autolink-unicode-64,autolink,autolink-diagnostic,render,152.42154352596927,151.90898390036452,1.003374123191693,1.003140172628605,1.0056229049910128,3,[1.003374123191693]
autolink-long-clean-64,autolink,autolink-diagnostic,reuse,232.52699497767858,232.26341276477146,0.9993155885882101,0.999118546091719,1.0156187034920865,3,[0.9993155885882101]
autolink-long-clean-64,autolink,autolink-diagnostic,render,181.8983101717113,189.39551136363636,0.9630256047865173,0.9481081841938778,0.9659024628175429,3,[0.9630256047865173]
autolink-clean-512,autolink,autolink-diagnostic,reuse,1137.137784090909,1142.8983089579524,0.9852617133148879,0.9836879400919151,1.0138449167728454,3,[0.9852617133148879]
autolink-clean-512,autolink,autolink-diagnostic,render,1072.3837756849316,1076.491232788296,0.9948632885276932,0.9795578665147842,1.0057892000631743,3,[0.9948632885276932]
