case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,parse,49.319854754389425,49.33486759018076,1.000782855443954,0.9867459861237352,1.3370021754816037,9,"[1.000782855443954, 0.9944574860621398, 1.0334768262098641]"
comment-ack,gfm,comments,reuse,76.2144250701134,76.71025481713303,0.997029917177291,0.9829850303236525,1.009824425827205,9,"[1.003755431803487, 0.9940793231262581, 0.9953715943760184]"
typescript-handbook-typescript-5-0,gfm,technical-docs,parse,46473.07477678572,47088.49421296296,0.9936213758093283,0.9632737501210635,1.0248462627599462,9,"[0.9936213758093283, 1.0185181177973048, 0.9756239547320584]"
typescript-handbook-typescript-5-0,gfm,technical-docs,reuse,81635.091796875,81492.267578125,1.0018210225333892,0.906579383415681,1.1079901859164307,9,"[1.0018210225333892, 1.0040271649863024, 0.9506226182361085]"
wiki-chess-article-body,commonmark,encyclopedia,parse,132010.678125,130687.890625,1.0140632052151926,0.9763377613546003,1.0380468695048868,9,"[1.0060309309374673, 1.0140632052151926, 1.0177039189637993]"
wiki-chess-article-body,commonmark,encyclopedia,reuse,188242.9330357143,187085.7544642857,1.010809775038914,0.955204762683742,1.029094229112985,9,"[1.010809775038914, 1.0140223663661745, 1.0061852842550312]"
table-plain-256,gfm,table-diagnostic,parse,423.94667683960665,418.2915481766477,1.013485713579901,1.0007481489099836,1.0203506390068333,9,"[1.009201412572512, 1.015237205818882, 1.0152860231357745]"
table-plain-256,gfm,table-diagnostic,reuse,498.3823859107214,492.6569272064618,1.0119606602369464,1.0051117714445117,1.0286425823499536,9,"[1.0173643732309912, 1.0069056037657824, 1.0130973685461218]"
table-sparse-256,gfm,table-diagnostic,parse,669.2297075749465,445.65739750445636,1.4999937386871447,1.4754444732498213,1.520635766749373,9,"[1.4999937386871447, 1.509565172411117, 1.493289605871446]"
table-sparse-256,gfm,table-diagnostic,reuse,739.224515819042,523.2380179991628,1.4110079254824675,1.4052082461037545,1.4308551272207357,9,"[1.4128752270434692, 1.4127882347804184, 1.406988050695558]"
table-dense-256,gfm,table-diagnostic,parse,2302.164882596685,2271.5304559891106,1.0134862495577832,1.0043536270221611,1.0314533134398982,9,"[1.0083295423860044, 1.0124974862776326, 1.0210667050255682]"
table-dense-256,gfm,table-diagnostic,reuse,2384.9553571428573,2356.6850282485875,1.0100679021563772,0.9934291813238965,1.0227505364115885,9,"[1.0172157787014426, 1.0141269571755758, 1.0057062162166535]"
table-formatted-256,gfm,table-diagnostic,parse,1774.4366578014185,1675.0874748995984,1.0631358336845063,1.0544797968891373,1.0863833880238145,9,"[1.0624333891581814, 1.0613224675969204, 1.0736537830633421]"
table-formatted-256,gfm,table-diagnostic,reuse,2134.350095989761,2012.3572146302251,1.056725596104668,1.04825953336348,1.0666484294368563,9,"[1.056725596104668, 1.0526907417736555, 1.066083895592784]"
table-plain-4096,gfm,table-diagnostic,parse,1127.0505067567567,1124.789231115108,1.0055310278096679,0.9917939548134522,1.0076983236506878,9,"[1.0055310278096679, 1.0057645313846875, 0.9988565332750362]"
table-plain-4096,gfm,table-diagnostic,reuse,1387.8763179800221,1376.2419210671067,1.00518875608445,0.9960021482367029,1.0158937180826861,9,"[1.0025737665514456, 1.003727220939713, 1.00964358719967]"
table-sparse-4096,gfm,table-diagnostic,parse,3812.9684641768295,1243.8445584577114,3.083385850499413,3.0581031772306706,3.1047414474508255,9,"[3.071177115119757, 3.097707458999198, 3.058178455757037]"
table-sparse-4096,gfm,table-diagnostic,reuse,4059.143262987013,1512.836608222491,2.687141558440381,2.646597101695837,2.709276709709647,9,"[2.7083354361130447, 2.6870210794093263, 2.6896156846870825]"
table-dense-4096,gfm,table-diagnostic,parse,31542.87109375,31255.92421875,1.0055555645737797,1.0020177365933765,1.018116971514292,9,"[1.0052198604449563, 1.0055555645737797, 1.0130461726492481]"
table-dense-4096,gfm,table-diagnostic,reuse,31391.3734375,31272.65625,1.0072083239651253,0.9981257060054468,1.0195456622509647,9,"[1.0148772558186363, 1.0072083239651253, 1.0003425601146638]"
table-formatted-4096,gfm,table-diagnostic,parse,23714.475235849055,22367.536272321428,1.058820860115625,1.0400310521620633,1.0966302141177553,9,"[1.0568848905180324, 1.0632941026278317, 1.0583603804572]"
table-formatted-4096,gfm,table-diagnostic,reuse,28990.559659090908,27479.760869565216,1.0462262676492615,1.0419615160148274,1.063442437458972,9,"[1.0457628484150856, 1.0571678132791307, 1.0432824665012173]"
table-plain-16000,gfm,table-diagnostic,parse,3248.6370941558444,3244.130505181347,1.0035862304593708,0.989758934439986,1.013231774450783,9,"[1.0035862304593708, 0.9948486503770985, 1.0064294257349962]"
table-plain-16000,gfm,table-diagnostic,reuse,4079.9954193811077,4065.294439935065,1.004847159492578,0.9927292939222615,1.0089940054516529,9,"[1.000064488019778, 1.004847159492578, 1.0071504102787523]"
table-sparse-16000,gfm,table-diagnostic,parse,13903.862847222223,3618.5836343930637,3.841981959908293,3.815316535267884,3.8638515571806824,9,"[3.841981959908293, 3.8565879071327216, 3.819506292243524]"
table-sparse-16000,gfm,table-diagnostic,reuse,14712.882720588235,4451.8970195729535,3.2830312238271766,3.273084385983315,3.354150630256881,9,"[3.2825099616892737, 3.316233786888673, 3.2830312238271766]"
table-dense-16000,gfm,table-diagnostic,parse,121942.35511363637,120552.4375,1.0107648724546747,0.9873618435734505,1.0223581993569133,9,"[1.0034504270091065, 1.0022734037325927, 1.0160619415422412]"
table-dense-16000,gfm,table-diagnostic,reuse,122460.9375,121622.27556818182,1.0001454938851913,0.9912078481708994,1.019863919634796,9,"[0.9990067159944489, 1.0001454938851913, 1.0108002297161867]"
table-formatted-16000,gfm,table-diagnostic,parse,90059.70982142857,85859.89583333333,1.0549286789262309,1.03958492594404,1.0640702848611,9,"[1.0608637965406935, 1.0487419622075822, 1.0549286789262309]"
table-formatted-16000,gfm,table-diagnostic,reuse,110721.35416666667,106344.5078125,1.0434380027907109,1.0303904224123306,1.0564806815039665,9,"[1.0382089956727127, 1.0390453056560431, 1.0505096312493218]"
