case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,reuse,76.48066568771415,75.97955415754923,1.0097747824962031,0.9972034048022327,1.018436851636668,3,[1.0097747824962031]
comment-ack,gfm,comments,render,29.19299976646427,28.96534954583372,1.0107149604431822,1.0078593983570032,1.0119059725524233,3,[1.0107149604431822]
comment-table,gfm,comments,reuse,1089.9954347826088,1086.3037109375,1.0033984269849567,0.9736096083421079,1.0137477898918321,3,[1.0033984269849567]
comment-table,gfm,comments,render,187.59144282713086,186.656697894894,1.0038659766889706,0.9939558827625005,1.015285257511918,3,[1.0038659766889706]
typescript-handbook-typescript-5-0,gfm,technical-docs,reuse,89457.40178571429,82118.81640625,1.1246814973069665,0.8843520767198704,1.156238135041068,3,[1.1246814973069665]
typescript-handbook-typescript-5-0,gfm,technical-docs,render,22721.261160714286,21968.79525862069,1.0235266353594035,0.980555542747856,1.036061657975098,3,[1.0235266353594035]
wiki-chess-article-body,commonmark,encyclopedia,reuse,193637.6953125,189669.6015625,1.023577842538602,0.968882235291788,1.03739183207944,3,[1.023577842538602]
wiki-chess-article-body,commonmark,encyclopedia,render,39762.369140625,38943.626838235294,1.0313218200299235,0.8956123384308677,1.071938390625928,3,[1.0313218200299235]
autolink-clean-64,autolink,autolink-diagnostic,reuse,215.92544257340242,194.31478279452907,1.117631880971791,1.1043647647041872,1.1311453237788631,3,[1.117631880971791]
autolink-clean-64,autolink,autolink-diagnostic,render,175.77392083802025,150.63378765060241,1.1668957116429335,1.1600363113677359,1.1787227989710276,3,[1.1668957116429335]
autolink-balanced-64,autolink,autolink-diagnostic,reuse,155.13664991312982,144.09062355924388,1.0850036332228028,1.0501671204404044,1.1030552268627523,3,[1.0850036332228028]
autolink-balanced-64,autolink,autolink-diagnostic,render,116.73329248366014,100.71927368675475,1.1601419206073076,1.119770160677292,1.1612642081361535,3,[1.1601419206073076]
autolink-mixed-64,autolink,autolink-diagnostic,reuse,156.66444235588972,139.82336409395973,1.121994334616786,1.105701381717904,1.1263877403451443,3,[1.121994334616786]
autolink-mixed-64,autolink,autolink-diagnostic,render,116.77544134130395,100.93511323268206,1.1634231633864667,1.148299738580662,1.1764586858053807,3,[1.1634231633864667]
autolink-closers-64,autolink,autolink-diagnostic,reuse,1807.581466763006,1723.1907713498622,1.0489735070638966,1.0333487755805166,1.0495480289714507,3,[1.0489735070638966]
autolink-closers-64,autolink,autolink-diagnostic,render,1728.391873278237,1671.5965073529412,1.0479389285181737,1.0282022371927948,1.0528359731923282,3,[1.0479389285181737]
autolink-unicode-64,autolink,autolink-diagnostic,reuse,194.57980275443512,202.01271614414998,0.9602371136175889,0.9584661352147764,0.977909859156271,3,[0.9602371136175889]
autolink-unicode-64,autolink,autolink-diagnostic,render,153.18914675245097,159.31075592507645,0.9640292664133545,0.959516845454512,0.970005687377842,3,[0.9640292664133545]
autolink-long-clean-64,autolink,autolink-diagnostic,reuse,233.59940209267563,181.94226571594876,1.2839204852894095,1.238811447400873,1.290619518204473,3,[1.2839204852894095]
autolink-long-clean-64,autolink,autolink-diagnostic,render,187.73812875375376,130.52998407809562,1.4382758879479423,1.3883205874213596,1.4495335649454153,3,[1.4382758879479423]
