case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,490.4521624065954,479.3664532035789,1.0271405222517882,1.016198732354597,1.041668020382555,6,"[1.0324562308574103, 1.0229895064755865]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,165.3899076714589,154.15728226427444,1.074864831636253,1.051390612367315,1.0878304815898916,6,"[1.0787944536774263, 1.0709352095950797]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,112.42218529845974,100.43778122144798,1.1181651871840543,1.1021435922791885,1.1334122189567202,6,"[1.1202465360288139, 1.1169952759894328]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,51.86605032815662,51.88551270788295,1.003755408623578,0.9861178732485337,1.021627807068572,6,"[1.0009062448508816, 1.0066045723962744]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,1245.1010188866799,1259.1656501509055,0.9892633262383324,0.9791425301328666,0.9927347202271557,6,"[0.9917345633092302, 0.9871715384616968]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,911.4361965683881,924.1012047636632,0.9859417425250585,0.968857008218587,1.0000250324259854,6,"[0.985554617379177, 0.9863288676709401]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,784.4022607736798,793.0514652012442,0.9836706022046822,0.9808306629102123,0.9940771585999435,6,"[0.9842932379619315, 0.9830479664474328]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,124.05483208424143,121.65650959099557,1.0186127525985436,1.0017034139215997,1.0242576341817267,6,"[1.0155261918185632, 1.0224965441183886]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,2106.448600589226,1964.3080425142493,1.073842291884945,1.0602987256934902,1.0860063565781226,6,"[1.0675274904183054, 1.081417400039236]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,1698.9093771862804,1528.526199665305,1.1012923994353638,1.0946161421300242,1.115543260373844,6,"[1.0957354391784946, 1.101647774437901]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,1164.0189031217983,1013.1014385421474,1.1460023016589576,1.1223877889595766,1.1659794438815076,6,"[1.1433425688234942, 1.1486620344944207]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,532.3606060427571,531.5727572278912,1.004417538373422,0.9785143219495652,1.0131772305156814,6,"[1.0083875505436974, 1.0037649976739416]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,10788.963188559323,10924.459760662432,0.9886656725450065,0.9747180792481073,0.9963437368769079,6,"[0.995472194191466, 0.9823462531446141]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,10374.519723360656,10453.319697745901,0.9923891751181944,0.9791142752712559,1.0012633026488542,6,"[0.9910010559053165, 0.9976607654449837]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,9037.992857142857,9266.142233455881,0.9766548582745729,0.9524169104476824,0.9916801795573538,6,"[0.9760393659677299, 0.9816895687839329]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,1297.9905862473797,1274.6339964865256,1.0186497736297673,1.0034784722010297,1.0298624566356211,6,"[1.0193575541232014, 1.0179419931363332]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,27177.001302083336,24693.23377403846,1.0976023115712845,1.0856667726305642,1.1170703759125744,6,"[1.096248016317341, 1.098956606825228]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,26424.072265625,23939.839120370372,1.0990313478758955,1.0920596232418016,1.1270142587933896,6,"[1.1052991563121444, 1.0927338351506057]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,18031.008482142857,15647.933727134146,1.1526676597678867,1.1270705753584473,1.1567033373345796,6,"[1.1401595155068711, 1.1547312261501685]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,8437.041407657656,8415.876875,1.0038250120109888,0.9826900924752652,1.017025059628106,6,"[0.9948802177409377, 1.0082798786870286]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,169598.6328125,170762.69921875,0.9954655488077353,0.9885933724898646,0.9997672582915965,6,"[0.9975440048478134, 0.994612273033456]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,168602.0546875,169201.3359375,0.9985074310396935,0.9851698274329481,1.00134588489259,6,"[0.9987233135162071, 0.9982915485631798]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,143749.609375,146166.146875,0.9840093176120744,0.9799396309667666,0.99040410120374,6,"[0.9857430797637039, 0.982275555460445]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,22863.444196428572,22378.580357142855,1.0205472431193616,1.0113163310459565,1.0444766391048983,6,"[1.0162104212417649, 1.0299463469281822]"
feature--parser.definition_lists-plain-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,fresh,503.6402139651915,492.86956789538885,1.0192904759288406,0.9991442891491108,1.0428865639258071,6,"[1.026385954245952, 1.0088657259385154]"
feature--parser.definition_lists-plain-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,reuse,175.06909641828133,163.0190930897034,1.0716239395128002,1.0660224628426052,1.0843291817624625,6,"[1.0787916101291388, 1.0685565093777512]"
feature--parser.definition_lists-plain-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,parse,122.89620782720877,111.7945545271472,1.100213745682502,1.0845145526392788,1.1125976314205004,6,"[1.092968615816558, 1.1077133438623228]"
feature--parser.definition_lists-plain-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,render,52.027030991956245,52.127878224790905,1.0018757705527723,0.9793131142619805,1.0092681026128254,6,"[0.9901150745587052, 1.0060509081151996]"
feature--parser.definition_lists-active-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,fresh,4200.638020833334,4187.609645845371,1.0111016679585911,0.9916392355285257,1.0142720598148884,6,"[1.0137657345057633, 1.0093725096457575]"
feature--parser.definition_lists-active-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,reuse,3783.254141566265,3760.313302611644,1.0096364019379462,0.9926241600841413,1.0298772355932257,6,"[1.0027824304904718, 1.0103089620659123]"
feature--parser.definition_lists-active-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,parse,3479.430642361111,3455.203220288772,1.0119799531763158,0.9651233068604496,1.0172465414435203,6,"[1.0105875034952765, 1.0133724028573554]"
feature--parser.definition_lists-active-300,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,render,354.7034199762651,358.0427713149719,0.9943086868253541,0.974693653856206,1.0080969005260751,6,"[0.9987473597830067, 0.9898700138677016]"
feature--parser.definition_lists-plain-4096,/private/tmp/ferromark-v2-paragraph-A-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,fresh,2183.663752913753,2045.604830473856,1.0675127497774963,1.0629879981935875,1.0771175491760034,6,"[1.066944401761454, 1.0680810977935384]"
