case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,495.59682976162867,474.3399607961638,1.0415078293066315,1.0317355115665823,1.050983967098331,6,"[1.0339441013502657, 1.0429463977881472]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,163.31971125319745,150.90116027291475,1.0821105613431494,1.0593339227281235,1.0984440229409187,6,"[1.086740459328152, 1.077480663358147]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,112.22309454118958,100.5922170403043,1.1111574502019215,1.0982996891986792,1.149161594063516,6,"[1.1011395108839404, 1.1211753895199026]"
feature--parser.line_comments-plain-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,52.56434408116774,51.924173913043475,1.0023496728757562,0.9884967374556698,1.0295851504524973,6,"[0.9994025574548923, 1.0052967882966202]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,1233.0812937529606,1252.2627538010152,0.9854847556499198,0.9778701304126517,1.0005827625700303,6,"[0.978390071693618, 0.9994301946526335]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,907.220904609138,916.531999891042,0.9878747742465385,0.9661865450311832,0.9938581665576622,6,"[0.9890072704985471, 0.9834953641932903]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,792.2814675632911,806.6360728592264,0.9795920050325089,0.9602070863580826,0.9935048992073953,6,"[0.9713500993081441, 0.9812080315582454]"
feature--parser.line_comments-active-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,124.50667557772579,123.10221250664162,1.0117229872266114,0.9994575837261298,1.038003214839935,6,"[1.0146395820118477, 1.006484437496109]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,2090.039024218325,1935.9685815846806,1.0772916379965332,1.0693269357707433,1.0859413176506256,6,"[1.0787580363396163, 1.0758252396534502]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,1678.2179254445546,1514.775348062954,1.1046148048025075,1.1036199709214907,1.1113519228516193,6,"[1.1044458195894382, 1.1047837900155768]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,1151.1333327338434,989.410974846334,1.156142887017015,1.1422617027469553,1.1716005513336116,6,"[1.1634006675713773, 1.1488851064626524]"
feature--parser.line_comments-plain-4096,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,532.2140389285585,530.9332284999028,1.0018302243841752,0.9884741297770316,1.0203636001885614,6,"[1.0034919968047922, 1.000168451963558]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,10724.234110169491,10843.895743534482,0.9900535929783678,0.9691378620953326,1.0056397701022735,6,"[0.9705677167096182, 0.9936035900654951]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,10352.56943044355,10584.286908545198,0.992332218709167,0.4495540870354719,1.7329235474070501,6,"[1.2401734349268148, 0.990280071608288]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,8944.012921277666,9226.00996043798,0.9778560665205074,0.9582725245209157,1.0091696469968396,6,"[0.9721263192884747, 0.9797606468686724]"
feature--parser.line_comments-active-4096,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,1273.8007892057026,1246.9228380964214,1.0218863205234836,0.9966557684333204,1.037627150101482,6,"[1.0258329184651584, 1.017939722581809]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,27139.783854166664,24526.392427884617,1.1110711368461814,1.0753705455986982,1.1223516804585412,6,"[1.118817164984842, 1.1052738987526654]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,26274.468098958336,23947.04861111111,1.0942452036469965,1.0769568330220265,1.1239358821782897,6,"[1.0932486370711791, 1.0952417702228139]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,18070.945089285713,15606.072408536585,1.1609535524024368,1.1517594734189205,1.1943170537573577,6,"[1.1635240814647547, 1.1544887673824293]"
feature--parser.line_comments-plain-65536,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,8401.649375,8406.588541666668,1.0005923852702607,0.9865325086984919,1.0150363846721462,6,"[0.9986790474902937, 1.0025057230502277]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,fresh,168209.80078125,170101.5625,0.9902309373298942,0.981092110472911,0.9948465615354555,6,"[0.9884094611654735, 0.9920524134943149]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,reuse,165722.98046875,167813.47265625,0.9870740205653772,0.9790782882561868,0.999123002269781,6,"[0.9861625358786502, 0.9933414567945438]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,parse,141946.353125,144771.6125,0.9818665309845961,0.9699185351095556,0.9900272267767652,6,"[0.9779418207307456, 0.986449691740562]"
feature--parser.line_comments-active-65536,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-85adaf6f20609bb1f898fcfaa050e313ebaf9d72e313e8a4e4a3ef2a94f6222b.json,feature-line_comments,render,22574.869977678572,22103.987068965514,1.0203444768662961,1.0086088180627075,1.0315284178187405,6,"[1.0215346755828922, 1.0191542781497]"
feature--parser.definition_lists-plain-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,fresh,505.1814776588179,476.4580101090553,1.0614683066878947,1.045609349505069,1.0702081417784084,6,"[1.0580800891432234, 1.0615976915606031]"
feature--parser.definition_lists-plain-300,/private/tmp/ferromark-v2-paragraph-B-feature-run.feature-scan-replay/configs/runtime-952bd53aaa996fe4bc57828684b54cc7445e89a8940d8603c3d1f1597976555d.json,feature-definition_lists,reuse,173.89309101133296,160.58999878945903,1.0769751202622628,1.0738630337073216,1.0895006536018692,6,"[1.0762027157005818, 1.0810602333677348]"
