name,group,feature,workload,document,target_bytes,byte_count,mode,off_ns,on_ns,on_over_off,ratio_min,ratio_max,pairs,round_ratios,html_equal,ast_equal,off_html_bytes,on_html_bytes
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,parse,99.50780089153047,99.9843633358217,1.008316813882064,0.9933313742953878,1.0272811103769124,9,"[1.0074541227210152, 1.0258628399725305, 1.008316813882064]",True,True,342,342
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,render,51.85431761615044,51.59894944686004,0.9961096975192567,0.9894407949097767,1.0063372817140235,9,"[0.9961096975192567, 0.995075276639821, 0.9967901870162796]",True,True,342,342
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,fresh,474.5289884868421,475.4479272312373,1.0005322220332116,0.9751379043663663,1.0110674423801025,9,"[1.0075092213924202, 0.9832550066076271, 1.0005322220332116]",True,True,342,342
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,reuse,150.27510919217823,150.93183556020605,1.0027732080804141,0.9930554406009218,1.0172045446977023,9,"[1.0043701606444215, 1.009039088717044, 0.9985474589613617]",True,True,342,342
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,parse,990.8716671066526,998.2324800531915,1.0098710700260383,0.9858154836296684,1.0349974986523451,9,"[1.0048911814940722, 1.0098710700260383, 1.011683173852868]",True,True,4275,4275
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,render,530.1260422555116,529.3174555586908,0.9984747274565486,0.9736872407154633,1.0175564240840467,9,"[0.98726198592864, 1.0108274872435394, 0.9975057669553652]",True,True,4275,4275
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,fresh,1929.0954218106997,1936.6811211340207,1.0023999162980852,0.9890837776863216,1.0131696980204776,9,"[1.012158915718469, 0.9958611122659624, 1.0023999162980852]",True,True,4275,4275
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,reuse,1517.1230279126214,1524.2513189935064,1.0021681542837393,0.9926301154577812,1.0113638637474216,9,"[0.9948225218678337, 1.0025054331246825, 1.0021681542837393]",True,True,4275,4275
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,parse,15335.01310483871,15496.712602459016,1.0089802209896093,0.9937627079377294,1.0279714126661197,9,"[1.005145299501005, 1.0132518256056153, 1.0089802209896093]",True,True,68058,68058
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,render,8377.189159292035,8376.243861607143,0.9978951122954083,0.9931609006016258,1.026390510341076,9,"[1.0028428343176108, 0.9965530077397547, 1.0010223568186096]",True,True,68058,68058
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,fresh,24339.74358974359,24435.5641025641,1.0068543812146005,0.9863116607345263,1.0190301001567894,9,"[1.0068543812146005, 1.009743152488807, 1.0040855407207414]",True,True,68058,68058
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,reuse,23674.38125,23836.03515625,1.0055095703819152,0.9964089993316717,1.0143121510583708,9,"[1.011500143262887, 1.0056186232608895, 0.9965274884027177]",True,True,68058,68058
