name,group,feature,workload,document,target_bytes,byte_count,mode,off_ns,on_ns,on_over_off,ratio_min,ratio_max,pairs,round_ratios,html_equal,ast_equal,off_html_bytes,on_html_bytes
parser.tables-plain-4096,feature,parser.tables,plain,,4096,4125,parse,1203.0899249422632,1262.3539983844912,1.0537421618986569,1.0411772137304123,1.0704764422873447,9,"[1.0417928329793902, 1.0484512056721953, 1.0597523380844946]",True,True,4275,4275
parser.tables-plain-4096,feature,parser.tables,plain,,4096,4125,render,531.2030931339225,530.746677564538,0.9993505029646209,0.9934907430910179,1.0077100003988646,9,"[0.9991592059981732, 0.9981965974179882, 0.9994176045012013]",True,True,4275,4275
parser.tables-plain-4096,feature,parser.tables,plain,,4096,4125,fresh,2155.3717672413795,2250.1629946043167,1.0319619330400844,1.0264040797303764,1.0478075514991385,9,"[1.0307338042472987, 1.0401533935960634, 1.0319619330400844]",True,True,4275,4275
parser.tables-plain-4096,feature,parser.tables,plain,,4096,4125,reuse,1742.3399177814938,1802.3792171280277,1.0300412995702848,1.0232750224905538,1.0477994270091446,9,"[1.0434195600134835, 1.0291399417781075, 1.0278312617781253]",True,True,4275,4275
parser.tables-active-4096,feature,parser.tables,active,,4096,4108,parse,10529.065226510067,31053.02818627451,2.9526509980861984,2.9211394932158194,2.987625736412419,9,"[2.9625573519698833, 2.9459252578564494, 2.9526509980861984]",False,False,5609,11613
parser.tables-active-4096,feature,parser.tables,active,,4096,4108,render,2722.8717334494772,4953.594738924051,1.8118695329723347,1.8020088011377764,1.8335113889265575,9,"[1.8104941553742213, 1.8210228814185194, 1.8089460729981353]",False,False,5609,11613
parser.tables-active-4096,feature,parser.tables,active,,4096,4108,fresh,13829.861293859649,36991.642441860466,2.678983026333069,2.6573625249098365,2.719488797771346,9,"[2.6882125194219766, 2.6654042027558527, 2.672725464548064]",False,False,5609,11613
parser.tables-active-4096,feature,parser.tables,active,,4096,4108,reuse,13199.656512605043,35926.935369318184,2.7217723680511616,2.6892526204838503,2.735736138775232,9,"[2.7217723680511616, 2.7192315184144062, 2.7270636940874984]",False,False,5609,11613
parser.tables-plain-65536,feature,parser.tables,plain,,65536,65670,parse,18755.90587797619,19670.8984375,1.047142820796928,1.044008118499091,1.0533382966347324,9,"[1.0498574310595772, 1.046199113870383, 1.0462629632404246]",True,True,68058,68058
parser.tables-plain-65536,feature,parser.tables,plain,,65536,65670,render,8459.747972972973,8418.318884408602,1.0007058212443825,0.9936592318705901,1.0091611635151008,9,"[0.9996697411626061, 0.995102798724415, 1.004912524301576]",True,True,68058,68058
parser.tables-plain-65536,feature,parser.tables,plain,,65536,65670,fresh,27997.116629464286,28948.013310185186,1.0321202280539283,1.0263497763322567,1.0473574615812398,9,"[1.0321202280539283, 1.0429746314346682, 1.0288138001547775]",True,True,68058,68058
parser.tables-plain-65536,feature,parser.tables,plain,,65536,65670,reuse,27041.217672413793,28212.472098214286,1.034232773288008,1.028490003257456,1.0481240396226101,9,"[1.0306247941823083, 1.0373706597626837, 1.0412182223019217]",True,True,68058,68058
parser.tables-active-65536,feature,parser.tables,active,,65536,65572,parse,172584.896875,499416.015625,2.905678476796296,2.883482371999998,3.1547090960125823,9,"[2.9090892179062227, 2.900996640456796, 2.9067611149010952]",False,False,89531,185367
parser.tables-active-65536,feature,parser.tables,active,,65536,65572,render,45520.12678571429,79558.8546875,1.7469570539700208,1.7372089997890992,1.7653550239187452,9,"[1.7398094853869666, 1.7469570539700208, 1.7525228881290382]",False,False,89531,185367
parser.tables-active-65536,feature,parser.tables,active,,65536,65572,fresh,218828.28515625,582857.2083333334,2.6670670311741946,2.6356915894388417,2.6800434766724446,9,"[2.6670670311741946, 2.670360151181938, 2.649674596916676]",False,False,89531,185367
parser.tables-active-65536,feature,parser.tables,active,,65536,65572,reuse,215453.77734375,580920.1354166666,2.6966912114927504,2.6592338952106647,2.710977362789037,9,"[2.6881452898272093, 2.6966912114927504, 2.708219740108045]",False,False,89531,185367
parser.autolinks-plain-4096,feature,parser.autolinks,plain,,4096,4125,parse,1211.8519864341085,1733.5954822616409,1.431734580025162,1.4233477199974278,1.4404762384354444,9,"[1.431734580025162, 1.4271477622335658, 1.4337006283592488]",True,True,4275,4275
parser.autolinks-plain-4096,feature,parser.autolinks,plain,,4096,4125,render,533.9858430133243,535.1063142123288,1.000273307318935,0.9865576241426598,1.016266003096412,9,"[0.9968476469521041, 1.0067323008415696, 1.000273307318935]",True,True,4275,4275
parser.autolinks-plain-4096,feature,parser.autolinks,plain,,4096,4125,fresh,2157.517974137931,2708.1911828422876,1.249431779388415,1.2397480572214326,1.2653792559723236,9,"[1.260765287952541, 1.248003726122557, 1.249431779388415]",True,True,4275,4275
parser.autolinks-plain-4096,feature,parser.autolinks,plain,,4096,4125,reuse,1738.9315558954395,2265.836367753623,1.305511176230482,1.2933518216772826,1.3115287173639174,9,"[1.3034285408853485, 1.3090488339737163, 1.3107348470195392]",True,True,4275,4275
parser.autolinks-active-4096,feature,parser.autolinks,active,,4096,4160,parse,1994.2253268494899,22418.71294642857,11.303089572301367,11.180618917681489,11.423214599886949,9,"[11.332968399916167, 11.303089572301367, 11.226180506843042]",False,False,4472,10504
parser.autolinks-active-4096,feature,parser.autolinks,active,,4096,4160,render,879.9224028716217,7366.105487089202,8.340413239522587,8.26376879465157,8.475812083193633,9,"[8.449158514996563, 8.340413239522587, 8.333039651896675]",False,False,4472,10504
parser.autolinks-active-4096,feature,parser.autolinks,active,,4096,4160,fresh,3309.257135306554,30786.738970588234,9.289627888388443,9.20227828797943,9.414900480452111,9,"[9.29466173123617, 9.289627888388443, 9.264142988404695]",False,False,4472,10504
parser.autolinks-active-4096,feature,parser.autolinks,active,,4096,4160,reuse,2872.498736213235,30025.03478773585,10.431549805637525,10.345650648984064,10.589476207565427,9,"[10.41440895939543, 10.431549805637525, 10.454016194837518]",False,False,4472,10504
parser.autolinks-plain-65536,feature,parser.autolinks,plain,,65536,65670,parse,18836.123511904763,27311.669181034482,1.4488816385830339,1.4449482079873779,1.4657446540216876,9,"[1.4479916437105615, 1.4488816385830339, 1.4499586971138063]",True,True,68058,68058
parser.autolinks-plain-65536,feature,parser.autolinks,plain,,65536,65670,render,8497.608186141304,8439.572244623656,0.9980102015017533,0.9920911109373123,1.009578265599531,9,"[0.9980102015017533, 1.0046624457182394, 0.9950947857580166]",True,True,68058,68058
parser.autolinks-plain-65536,feature,parser.autolinks,plain,,65536,65670,fresh,28944.75752314815,36319.09872159091,1.2883792313659872,1.1951123032992572,1.3997327096557608,9,"[1.3034107135746824, 1.2883792313659872, 1.1955085526595592]",True,True,68058,68058
parser.autolinks-plain-65536,feature,parser.autolinks,plain,,65536,65670,reuse,27367.097521551725,35801.1953125,1.3125486462899816,1.2967930426376968,1.3200509357902388,9,"[1.3146094247488478, 1.3125486462899816, 1.3045841298968042]",True,True,68058,68058
parser.autolinks-active-65536,feature,parser.autolinks,active,,65536,65600,parse,31024.126838235294,354863.025,11.449174161879226,11.381399630571757,11.533418419570616,9,"[11.521724699882133, 11.449174161879226, 11.446744798062467]",False,False,70520,165640
