case,profile,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-inline-code,gfm,reuse,234.705923770184,236.18971071725494,0.9941482458066307,0.9838388570880083,1.002063442476516,15,"[0.9951565017521942, 0.9941482458066307, 0.9914265325135491]"
comment-inline-code,gfm,render,94.66200720170842,93.3217787872906,1.015159203340915,0.9880380345593136,1.029712330703375,15,"[1.0208213886960984, 1.0058980547534386, 1.0142287878438188]"
comment-table,gfm,reuse,1097.9388940112399,1099.3558740766796,0.999990820501109,0.9848429372212945,1.0134726492366488,15,"[0.9992236933653325, 1.0002362429127127, 0.9999908308099147]"
comment-table,gfm,render,189.10749243570348,193.101838621478,0.9786735649946722,0.9697977714638635,0.9921833379220695,15,"[0.9786735649946722, 0.9775010695790026, 0.9812241221943216]"
rust-book-appendix-02-operators,gfm,reuse,55837.728236607145,56291.96875,0.9917529625803782,0.9566204391586549,1.0093060895542765,15,"[0.9854199668735617, 0.9904439729666967, 0.9966418180028032]"
rust-book-appendix-02-operators,gfm,render,7973.323899872449,7948.663546954314,1.0075440498679893,0.9932895168818766,1.0209481090574828,15,"[1.0064705696724596, 1.0049539371823082, 1.0095153115908648]"
typescript-handbook-advanced-types,gfm,reuse,65101.77551020408,65795.57291666667,0.9833245219342899,0.9453203030870974,1.034640271878154,15,"[0.9819463099008271, 1.009370800535022, 0.9823041740714932]"
typescript-handbook-advanced-types,gfm,render,19701.08588836478,20100.569310897437,0.9821537752976739,0.9548316439102796,1.0044171475295143,15,"[0.9879556826849979, 0.9812279281028139, 0.9744527824498581]"
typescript-handbook-typescript-5-0,gfm,reuse,83914.30180921052,83051.26069078948,0.9954628528653331,0.5580012129332201,1.089610982741075,15,"[0.9407755438275743, 1.0179019228739399, 1.0288362455828712]"
typescript-handbook-typescript-5-0,gfm,render,22061.573723591548,23194.35763888889,0.9445914235920492,0.9098974011918007,1.0412118774641066,15,"[0.9426157766774497, 0.9579944986822476, 0.949940802459794]"
wiki-chess-article-body,commonmark,reuse,191280.25551470587,175946.18055555556,1.0871520763379603,1.0466647596109706,1.1260784549697185,15,"[1.0986779014047978, 1.0944524110786351, 1.0710798777346626]"
wiki-chess-article-body,commonmark,render,38889.17824074074,41267.21833881579,0.9327656656213568,0.8859719176926484,0.9826510361334135,15,"[0.9434505671595712, 0.950173933079668, 0.9272428036569775]"
wiki-volcano-first-paragraph,commonmark,reuse,4216.098466981132,3721.2410342261905,1.1346058421870147,1.1272112955455194,1.1499350637091454,15,"[1.1347421688471122, 1.133622346493712, 1.1356357530044874]"
wiki-volcano-first-paragraph,commonmark,render,864.5426262102351,856.7826120476974,1.0088310630054758,0.9988543785549736,1.012937797956487,15,"[1.0088310630054758, 1.0073981958565417, 1.0090306694952023]"
scan-long-clean-links,gfm,reuse,26401.57799369748,20929.114583333332,1.2586045081781232,1.240657929652304,1.2678781999543387,15,"[1.2586045081781232, 1.2638266617238827, 1.2580083155713608]"
scan-long-clean-links,gfm,render,1977.1472367172676,1958.5609531641603,1.0076048024597364,0.9904652377537346,1.0167514786842682,15,"[1.010275012572758, 1.0023295996381514, 1.006610424933741]"
scan-dense-entities,commonmark,reuse,17520.796962290504,17682.98305084746,0.9912656912503399,0.9522580734444819,1.0241122911048288,15,"[0.9877094824024135, 0.9912656912503399, 0.9927459110017651]"
scan-dense-entities,commonmark,render,2001.4921374839948,1996.6824313537675,1.0005972673172723,0.9924656483215459,1.0227112259122857,15,"[1.003043460399736, 0.9985859770241557, 0.998732897711704]"
