case,profile,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
scan-empty,commonmark,fresh,314.5618502682763,313.50179645721926,1.0033813324932628,0.9985484419232407,1.016171785684773,3,[1.0033813324932628]
scan-empty,commonmark,reuse,32.14201350795392,32.51387901435805,0.9967961698419059,0.9787671610321639,1.0002140398368071,3,[0.9967961698419059]
scan-empty,commonmark,parse,15.304336780502139,15.366965193089431,0.9953013600525545,0.9935225101451145,1.0182429508305868,3,[0.9953013600525545]
scan-empty,commonmark,render,18.825224137584836,18.536292953458027,1.0191614963513844,0.9946892646152485,1.0193981476403495,3,[1.0191614963513844]
scan-short-link,commonmark,fresh,515.4733173076924,510.5626020130577,1.0011266461028612,0.9950916362144597,1.0137051261478027,3,[1.0011266461028612]
scan-short-link,commonmark,reuse,153.11896840300457,150.35554642398975,1.0157000362793955,0.9996623555040852,1.0192803862065551,3,[1.0157000362793955]
scan-short-link,commonmark,parse,116.92091645885287,117.0100761167956,0.9949260917186106,0.9919256928025699,1.023555431446434,3,[0.9949260917186106]
scan-short-link,commonmark,render,33.629228244493866,33.08874276487612,1.0163344217535963,1.009959125504608,1.0188863745523054,3,[1.0163344217535963]
scan-short-title,commonmark,fresh,536.9519974226804,535.8973214285714,1.0069311564381473,1.001968056103168,1.0125730692096682,3,[1.0069311564381473]
scan-short-title,commonmark,reuse,163.34824225548206,160.7392226602674,1.0162313811901966,1.0064449159587496,1.0168401792962176,3,[1.0162313811901966]
scan-short-title,commonmark,parse,122.86397733228512,122.41010933420365,1.0037077656457467,0.9753593030502274,1.0090057461693938,3,[1.0037077656457467]
scan-short-title,commonmark,render,49.272509591128866,44.53320646494395,0.9993942214441631,0.8074730467821358,1.3852884453143286,3,[0.9993942214441631]
scan-short-entity,commonmark,fresh,551.2494491774384,553.1888635023585,1.0002276754160124,0.9881365391530944,1.0014140683273858,3,[1.0002276754160124]
scan-short-entity,commonmark,reuse,228.2042122871046,230.6557581160846,0.985054532063866,0.9821560699569833,0.9999083567512381,3,[0.985054532063866]
scan-short-entity,commonmark,parse,191.36639030612244,185.93914865132885,1.0291882677432858,0.9978458644373727,1.0345892755800767,3,[1.0291882677432858]
scan-short-entity,commonmark,render,42.56006276103142,41.48552544247788,1.0237993726942807,1.008771313141327,1.0333905990652132,3,[1.0237993726942807]
scan-short-reference,commonmark,fresh,810.368091537133,805.190019296741,1.008901536976209,1.004157893429439,1.0107799161301716,3,[1.008901536976209]
scan-short-reference,commonmark,reuse,488.48743489583336,484.6897598140496,1.0177959624893642,1.0009539040096642,1.027050422745887,3,[1.0177959624893642]
scan-short-reference,commonmark,parse,429.08946134492226,428.5710694698355,1.0098817544625247,0.9989619005803129,1.0123434637486173,3,[1.0098817544625247]
scan-short-reference,commonmark,render,52.47892995074443,45.90404670975323,1.0685176471694453,0.9643866120203838,1.1432310158309906,3,[1.0685176471694453]
scan-long-clean-links,gfm,fresh,26277.994791666668,21061.990489130436,1.2514040768127357,1.2360961311243734,1.2579050205145716,3,[1.2514040768127357]
scan-long-clean-links,gfm,reuse,25889.049342105263,20702.728260869564,1.2568273923975026,1.2250258241029226,1.257379249393638,3,[1.2568273923975026]
scan-long-clean-links,gfm,parse,24192.0578125,18756.66625,1.2799428879669859,1.2671424015439072,1.2967611248614077,3,[1.2799428879669859]
scan-long-clean-links,gfm,render,1951.088044605809,1911.733612804878,1.0133429273626082,1.0097498677295087,1.0209927927501523,3,[1.0133429273626082]
scan-many-short-links,gfm,fresh,10609.722222222223,10287.591032608696,1.0313125967578283,1.030897529137529,1.036961734988282,3,[1.0313125967578283]
scan-many-short-links,gfm,reuse,9827.229817708334,9740.938775510203,1.0170821842517346,0.9965778139959973,1.0185284637162604,3,[1.0170821842517346]
scan-many-short-links,gfm,parse,6333.715416666667,6309.86125,1.0118963204343863,0.9962580397469121,1.015289355452742,3,[1.0118963204343863]
scan-many-short-links,gfm,render,3558.0710227272725,3426.931341240876,1.0390963743466166,1.0106890756579119,1.0416513340123434,3,[1.0390963743466166]
scan-escaped-links,gfm,fresh,16352.95474137931,16655.891163793105,0.9793273679173143,0.9786463478888194,0.9818120556003437,3,[0.9793273679173143]
scan-escaped-links,gfm,reuse,16047.65625,16200.738541666668,0.9931914078133959,0.983965815858832,1.0005222855245728,3,[0.9931914078133959]
scan-escaped-links,gfm,parse,13849.91544117647,13754.6875,0.9933492496589359,0.9920150098749176,1.0090059538526304,3,[0.9933492496589359]
scan-escaped-links,gfm,render,2195.0690712616824,2196.0730140186915,0.9908176219757807,0.9875478046157654,1.0021727710364072,3,[0.9908176219757807]
scan-unicode-links,commonmark,fresh,26289.0625,21171.025815217392,1.2263098969999304,1.2141473107235694,1.2589657791548743,3,[1.2263098969999304]
scan-unicode-links,commonmark,reuse,25382.675986842107,20920.176630434784,1.2094758029879555,1.1853897199691592,1.2293753754728929,3,[1.2094758029879555]
scan-unicode-links,commonmark,parse,23362.971726190477,19041.8225,1.2378997498256037,1.2159385725720022,1.239137889768692,3,[1.2378997498256037]
scan-unicode-links,commonmark,render,1917.29375,1917.8943877551021,1.0003354730582725,0.9921912401355855,1.0012830290872243,3,[1.0003354730582725]
scan-long-references,gfm,fresh,61161.1328125,53462.09722222222,1.157627084168668,1.1394822227377601,1.1617311695671282,3,[1.157627084168668]
scan-long-references,gfm,reuse,61618.48828125,52578.413194444445,1.171935106778018,1.1520990862294034,1.1843251553726852,3,[1.171935106778018]
scan-long-references,gfm,parse,59487.95703125,50599.0875,1.1756725263326142,1.161767625319408,1.1790334519468926,3,[1.1756725263326142]
scan-long-references,gfm,render,2117.9733952702704,2109.4976177130043,1.0069930087999253,1.0040179128367328,1.011636226071597,3,[1.0069930087999253]
scan-dense-escapes,commonmark,fresh,5728.849085365854,9501.5625,0.6042135477756915,0.6029375784631058,0.6075276257368021,3,[0.6042135477756915]
scan-dense-escapes,commonmark,reuse,5427.2780172413795,9249.872549019608,0.5867408430202226,0.5817311470001736,0.593748560327862,3,[0.5867408430202226]
scan-dense-escapes,commonmark,parse,3499.41697761194,7366.0888671875,0.47446560176669056,0.4742425997063558,0.4782029786518957,3,[0.47446560176669056]
scan-dense-escapes,commonmark,render,1906.9698932926829,1904.3627277327935,0.9977733713424384,0.9882735166953305,1.0161492209417138,3,[0.9977733713424384]
scan-dense-entities,commonmark,fresh,17741.46412037037,18174.93028846154,0.9778087201443892,0.9628235865369966,0.9819514304317867,3,[0.9778087201443892]
scan-dense-entities,commonmark,reuse,17208.0078125,17687.74189814815,0.9728775957716583,0.964814167812769,0.9735971678898192,3,[0.9728775957716583]
scan-dense-entities,commonmark,parse,15233.954637096775,16091.623958333334,0.9467008846678647,0.9311196546857934,0.9704252044706374,3,[0.9467008846678647]
scan-dense-entities,commonmark,render,1967.0066684100418,1971.6441701680671,0.9974793239519536,0.9864641635475968,1.0164297625022982,3,[0.9974793239519536]
scan-malformed-entities,commonmark,fresh,8837.697916666666,9034.204927884615,0.9753319285022506,0.9664406793783614,0.9814546821836455,3,[0.9753319285022506]
scan-malformed-entities,commonmark,reuse,8545.170454545454,8682.717613636363,0.9841585128975185,0.9702969936003664,0.9949569846472455,3,[0.9841585128975185]
scan-malformed-entities,commonmark,parse,5652.171310240964,5862.955859375,0.9691266099264616,0.9566049355724838,0.969194733592332,3,[0.9691266099264616]
scan-malformed-entities,commonmark,render,2890.4572469325153,2856.344696969697,1.011942728760646,0.9894416009018596,1.0323524107140576,3,[1.011942728760646]
scan-mdx-links,mdx,fresh,15057.2509765625,14255.563446969696,1.0581720549526286,1.0329067979465059,1.0739315652758203,3,[1.0581720549526286]
scan-mdx-links,mdx,reuse,14695.7607421875,13646.800892857143,1.0766591985770353,1.075502248057613,1.084054962849342,3,[1.0766591985770353]
scan-mdx-links,mdx,parse,12687.183277027027,11830.76171875,1.0678821490687982,1.0644455344159967,1.0839347451441805,3,[1.0678821490687982]
scan-mdx-links,mdx,render,1820.297359496124,1815.5967664092664,1.0025890071924692,1.0007240325959141,1.0069047281819894,3,[1.0025890071924692]
scan-extension-links,extensions,fresh,4423.396028037383,4312.965883027523,1.0265112120798916,1.0122754390548723,1.0346065819654646,3,[1.0265112120798916]
scan-extension-links,extensions,reuse,4056.4722521551726,3994.1957097457625,1.0235329107420692,1.0129624789167722,1.0524114584269408,3,[1.0235329107420692]
scan-extension-links,extensions,parse,3441.5488138686133,3361.3375,1.0238629158388926,1.0017472435943413,1.0324450079069591,3,[1.0238629158388926]
scan-extension-links,extensions,render,473.435387235116,463.4554718379447,1.0217124071939088,1.0167493700667662,1.022610578400244,3,[1.0217124071939088]
