case,profile,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
scan-empty,commonmark,fresh,310.39564030443415,312.0899633821571,0.9846799578194948,0.9788110807640978,1.0062307806997186,3,[0.9846799578194948]
scan-empty,commonmark,reuse,31.709776432388555,31.742777881229685,1.001474242491365,0.996471897267981,1.0051267875260717,3,[1.001474242491365]
scan-empty,commonmark,parse,15.438240004281527,15.452661941651558,1.0011526520262273,0.9921523763889226,1.0157743415758844,3,[1.0011526520262273]
scan-empty,commonmark,render,18.659410825173154,18.593591339098012,1.0035399017260715,0.992787412509671,1.0126244524093988,3,[1.0035399017260715]
scan-short-link,commonmark,fresh,514.0630825109649,511.95756004366814,1.0096076477628957,0.977158790297169,1.0103434413995758,3,[1.0096076477628957]
scan-short-link,commonmark,reuse,153.21818831699346,151.48256260096932,1.0114575941033959,0.990478021902872,1.0262848722304623,3,[1.0114575941033959]
scan-short-link,commonmark,parse,116.99479816571001,117.25263412956478,1.0018407683808692,0.9693467530673887,1.031822200549065,3,[1.0018407683808692]
scan-short-link,commonmark,render,33.32378083457738,33.43750668735288,0.9968311186865658,0.9908350836323326,1.0144756677276647,3,[0.9968311186865658]
scan-short-title,commonmark,fresh,529.8243290960452,529.8522598870056,0.9999472857000432,0.9889544263175246,1.0056142389400897,3,[0.9999472857000432]
scan-short-title,commonmark,reuse,162.7839301215278,162.46534996534996,1.012544448357631,0.9855237470253286,1.0154159897741595,3,[1.012544448357631]
scan-short-title,commonmark,parse,122.3356846946764,121.28948091849935,1.0027499592566598,0.9987059745171964,1.0088305531184987,3,[1.0027499592566598]
scan-short-title,commonmark,render,38.448731750328086,38.26303209942046,1.001615757981861,1.001544511368045,1.022900751516088,3,[1.001615757981861]
scan-short-entity,commonmark,fresh,550.504658157277,553.1274321933962,0.9973369239293571,0.9734988438977005,0.9980515644865746,3,[0.9973369239293571]
scan-short-entity,commonmark,reuse,229.82599571078433,227.73114983001457,1.0135126952614617,0.9997283248977629,1.015700288332714,3,[1.0135126952614617]
scan-short-entity,commonmark,parse,192.01410217035217,188.86399576954068,1.0181408989338563,0.9970268509369711,1.0312623758642971,3,[1.0181408989338563]
scan-short-entity,commonmark,render,42.253036551288986,41.848113060167826,1.0096760274600427,0.9993464820748122,1.033879975689952,3,[1.0096760274600427]
scan-short-reference,commonmark,fresh,815.2785326086956,802.4127670940171,1.01603384946288,0.9862085251606041,1.0296988322462388,3,[1.01603384946288]
scan-short-reference,commonmark,reuse,484.9822905894519,480.5728099385246,1.0166525775771609,1.005872444156817,1.0204800280744541,3,[1.0166525775771609]
scan-short-reference,commonmark,parse,435.283919452182,425.5402109800363,1.0228972685089044,1.0000499747361051,1.0474280521994768,3,[1.0228972685089044]
scan-short-reference,commonmark,render,43.018339336514636,42.8021851031775,1.0057325548773366,0.9900890813283226,1.0209467956733898,3,[1.0057325548773366]
scan-long-clean-links,gfm,fresh,26484.303819444445,21409.090909090908,1.23705877712904,1.2264395979020384,1.25064707369687,3,[1.23705877712904]
scan-long-clean-links,gfm,reuse,26116.24826388889,20826.483695652172,1.2558255372131228,1.2534538900527212,1.257458597184576,3,[1.2558255372131228]
scan-long-clean-links,gfm,parse,23849.4796875,18825.8325,1.2669001732025271,1.259974437413763,1.2671390162958265,3,[1.2669001732025271]
scan-long-clean-links,gfm,render,1918.6968112244897,1925.7544825819673,0.9963351136288074,0.9927263857084685,1.0120626126238343,3,[0.9963351136288074]
scan-many-short-links,gfm,fresh,10381.000679347826,10280.089673913044,1.0130855272047032,0.9993431521254313,1.020285698366851,3,[1.0130855272047032]
scan-many-short-links,gfm,reuse,9919.677734375,9800.944010416666,1.0061859607751964,0.9967807448386525,1.017772678087139,3,[1.0061859607751964]
scan-many-short-links,gfm,parse,6337.486064189189,6393.334881756757,0.9841031897067106,0.9789332528075985,1.0079023034718049,3,[0.9841031897067106]
scan-many-short-links,gfm,render,3545.5239661654136,3405.948143115942,1.0466531702054496,1.0225081564623613,1.0579642643822433,3,[1.0466531702054496]
scan-escaped-links,gfm,fresh,16431.258620689656,16823.42745535714,0.9754541612607228,0.9653330898232112,1.009250734321983,3,[0.9754541612607228]
scan-escaped-links,gfm,reuse,16139.10625,16368.623922413793,0.9866430120067762,0.9835635229315624,0.9871713428645079,3,[0.9866430120067762]
scan-escaped-links,gfm,parse,13760.900892857142,14136.220588235294,0.9734497850372746,0.9715177894002169,0.9804415951756,3,[0.9734497850372746]
scan-escaped-links,gfm,render,2218.731574292453,2221.157724056604,1.0045086943153996,0.9748076345351326,1.0120534084585107,3,[1.0045086943153996]
scan-unicode-links,commonmark,fresh,25665.56907894737,21307.64630681818,1.2065888021608369,1.203052148261619,1.2095766944336879,3,[1.2065888021608369]
scan-unicode-links,commonmark,reuse,25705.728618421053,21132.07608695652,1.2164317652768417,1.1849197649974608,1.2311214809674034,3,[1.2164317652768417]
scan-unicode-links,commonmark,parse,23629.946875,18911.40625,1.2495076549370834,1.2304353115356228,1.2615899852428294,3,[1.2495076549370834]
scan-unicode-links,commonmark,render,1926.149462090164,1955.219140625,0.9823600709217677,0.9766574782583155,0.9959616606592896,3,[0.9823600709217677]
scan-long-references,gfm,fresh,61302.40625,53554.975694444445,1.1444443884344442,1.1359693087224032,1.162596309476553,3,[1.1444443884344442]
scan-long-references,gfm,reuse,60795.734375,52407.84375,1.1609733952778305,1.1591434905676692,1.1754302674290233,3,[1.1609733952778305]
scan-long-references,gfm,parse,58922.0390625,50109.50625,1.1758654888462408,1.1640605432917595,1.1939653002025068,3,[1.1758654888462408]
scan-long-references,gfm,render,2109.521020179372,2095.8367745535716,1.0068635680250457,0.9829113026790594,1.0122776089422882,3,[1.0068635680250457]
scan-dense-escapes,commonmark,fresh,5740.313643292683,5757.764862804878,0.9958179788261106,0.991350685443053,1.0075603403271445,3,[0.9958179788261106]
scan-dense-escapes,commonmark,reuse,5423.3864942528735,5462.966569767442,0.9931255444960893,0.9927548384180844,0.9989057895520168,3,[0.9931255444960893]
scan-dense-escapes,commonmark,parse,3553.937736742424,3546.4833176691727,0.9990386674699713,0.9808283653428622,1.0031375662013666,3,[0.9990386674699713]
scan-dense-escapes,commonmark,render,1886.2063253012047,1893.9957157258063,0.9958873241581665,0.9943357715769815,1.017375981391434,3,[0.9958873241581665]
scan-dense-entities,commonmark,fresh,17627.989583333332,17774.980324074073,0.9917304695667281,0.9745189350793528,1.000914297586409,3,[0.9917304695667281]
scan-dense-entities,commonmark,reuse,17199.21875,17252.464285714286,0.9988009592326138,0.975152446402157,1.0041348259772414,3,[0.9988009592326138]
scan-dense-entities,commonmark,parse,15228.956653225807,15482.946572580646,0.9846290993676899,0.9796488661956756,0.9893060672958144,3,[0.9846290993676899]
scan-dense-entities,commonmark,render,1968.4558054393306,1969.300209205021,1.002159767668306,0.9855013605668198,1.0102835773036096,3,[1.002159767668306]
scan-malformed-entities,commonmark,fresh,8899.764150943396,9137.01923076923,0.9602157570619818,0.9573460030852251,0.993723585273706,3,[0.9602157570619818]
scan-malformed-entities,commonmark,reuse,8428.455357142857,8768.30150462963,0.9640696927037823,0.9612415075704986,0.9721126138296196,3,[0.9640696927037823]
scan-malformed-entities,commonmark,parse,5547.702205882353,5851.417824074074,0.9480953800731567,0.9433949796460191,0.9512105159229806,3,[0.9480953800731567]
scan-malformed-entities,commonmark,render,2886.3113496932515,2880.375958588957,1.0061310496939744,1.00038766267845,1.0080958242752112,3,[1.0061310496939744]
scan-mdx-links,mdx,fresh,14958.1298828125,14104.128676470587,1.0605497316375603,1.0562546188321176,1.0852268863889274,3,[1.0605497316375603]
scan-mdx-links,mdx,reuse,14851.6435546875,13657.36607142857,1.077195014614736,1.0727418257008055,1.0874456668301056,3,[1.077195014614736]
scan-mdx-links,mdx,parse,12780.51097972973,11869.10859375,1.0859761838849558,1.0625981907280515,1.0898702723285258,3,[1.0859761838849558]
scan-mdx-links,mdx,render,1804.9028846153847,1807.1063701923076,1.0021806606723593,0.9919112356324156,1.0025137674236582,3,[1.0021806606723593]
scan-extension-links,extensions,fresh,4340.675636574074,4365.523726851852,0.9971488291585315,0.9940143951897292,1.007561756592456,3,[0.9971488291585315]
scan-extension-links,extensions,reuse,3932.73671875,3948.7699579831933,0.988809657534203,0.988098833079655,1.0157814810536416,3,[0.988809657534203]
scan-extension-links,extensions,parse,3483.8252314814813,3452.828125,1.0095913766446694,1.0005518174705998,1.013877339740035,3,[1.0095913766446694]
scan-extension-links,extensions,render,474.12815975733065,464.6721382556987,1.0206190892578964,1.0065663627768084,1.0208538596868586,3,[1.0206190892578964]
