case,profile,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
scan-empty,commonmark,fresh,313.830844210174,313.7097617056856,1.0084246910722747,0.9799408439758476,1.0096167623858867,3,[1.0084246910722747]
scan-empty,commonmark,reuse,32.94901419835524,32.992983706362615,0.9990240010938014,0.9985803091649238,1.0031539108494534,3,[0.9990240010938014]
scan-empty,commonmark,parse,15.78304819023569,15.703166351211015,1.0050869892885337,0.9976579723270034,1.009906370929759,3,[1.0050869892885337]
scan-empty,commonmark,render,18.70120132849278,18.82804027593686,0.9918278320470082,0.9870021406630201,0.996494782101045,3,[0.9918278320470082]
scan-short-link,commonmark,fresh,531.655966553288,527.1608848314606,1.00852696368636,0.9831539766280207,1.008678352774288,3,[1.00852696368636]
scan-short-link,commonmark,reuse,156.12338702963703,154.68587099967007,1.00884510737344,1.0029161832167983,1.0261968819345768,3,[1.00884510737344]
scan-short-link,commonmark,parse,118.09469458438288,118.01916540785498,1.0034529404235366,0.9941981183497329,1.0099722432689278,3,[1.0034529404235366]
scan-short-link,commonmark,render,34.22722190785631,34.1172375363901,1.0026931633792255,1.0020816209179169,1.0214552450695493,3,[1.0026931633792255]
scan-short-title,commonmark,fresh,553.0982827240566,532.7873579545454,1.0397926460164215,1.0367034620494928,1.0488352886457086,3,[1.0397926460164215]
scan-short-title,commonmark,reuse,167.7851310844667,162.99222009735743,1.0366612904855124,1.0228214721716495,1.046994024738345,3,[1.0366612904855124]
scan-short-title,commonmark,parse,123.91441151202748,123.28055153825927,1.0051416055968203,0.9977628930259267,1.0164573994099502,3,[1.0051416055968203]
scan-short-title,commonmark,render,38.88127281021898,38.58756328202173,1.0063275008038501,1.000678299414018,1.007611507522531,3,[1.0063275008038501]
scan-short-entity,commonmark,fresh,568.100862590799,555.4897437796209,1.0223166088367241,1.0216612057804693,1.0434653454349074,3,[1.0223166088367241]
scan-short-entity,commonmark,reuse,235.69475867269986,235.16905403711132,1.0026699922829518,0.996943927290879,1.0123386100220861,3,[1.0026699922829518]
scan-short-entity,commonmark,parse,193.55525175402394,190.6202362804878,1.0171211072936153,1.0074826533666565,1.0189737005456085,3,[1.0171211072936153]
scan-short-entity,commonmark,render,42.738557622173595,42.56499137383093,1.0017309533407375,0.9908787242514941,1.0066993174116827,3,[1.0017309533407375]
scan-short-reference,commonmark,fresh,834.8508674377224,821.0855407180385,1.0203232814883985,1.0074376263140428,1.0221647738148936,3,[1.0203232814883985]
scan-short-reference,commonmark,reuse,498.7921210106383,485.22062435367116,1.0279697440211755,1.0226488625390429,1.0331585663993907,3,[1.0279697440211755]
scan-short-reference,commonmark,parse,435.051629174397,423.5899390243902,1.0288197523521112,1.0182163820116912,1.0289646764896228,3,[1.0288197523521112]
