case,profile,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,fresh,401.8619584083312,396.6007059010152,1.0079165191699533,0.9978327956986766,1.0241781020797336,9,"[1.007652751860196, 1.006500517968568, 1.0226089381634673]"
comment-ack,gfm,reuse,76.9433920745519,76.7657286293294,1.0019521170423153,0.993389621915322,1.0113931729330077,9,"[1.0065039097605852, 0.9966598577429777, 1.0033976790695125]"
comment-ack,gfm,parse,50.50929974139324,50.077627235433624,1.0074228567731318,1.0030510971432647,1.0137116722958976,9,"[1.0050423895918397, 1.0102380187562994, 1.0091655095298753]"
comment-ack,gfm,render,29.11270169178886,29.150963834629952,0.9975025086097953,0.9914959698291799,1.0046310493982447,9,"[0.9926171052876936, 0.9938939644964272, 0.9996017211211441]"
comment-question,gfm,fresh,424.28754581862614,411.0876825177585,1.0342005846644253,1.0163629398990683,1.0449908530709886,9,"[1.0443933987927227, 1.023420390503814, 1.0342005846644253]"
comment-question,gfm,reuse,96.20489317818003,95.54162908896362,1.003643988584333,0.9924049553073381,1.0125436383962885,9,"[0.9996811091498286, 1.0079051611306848, 1.0034812357674137]"
comment-question,gfm,parse,67.04055916677393,66.06651145828928,1.0149228163965396,1.0078020259271119,1.039567662054458,9,"[1.0103866488439512, 1.0229802953070657, 1.0112621874906857]"
comment-question,gfm,render,31.651761207106105,31.650294092327012,1.0010006163884937,0.9875303467629177,1.007283956417898,9,"[1.0010006163884937, 0.9930066679613752, 1.0012922852139579]"
comment-review,gfm,fresh,491.22802381326625,484.2938971955376,1.013001340806972,1.010028400334076,1.0200559136631866,9,"[1.0127033925096585, 1.0179063654218465, 1.013001340806972]"
comment-review,gfm,reuse,165.0754443534756,164.23672022808492,1.004319597965878,0.9983367730444603,1.0128492491343513,9,"[0.9986488578906805, 1.005106800258955, 1.0060201875911654]"
comment-review,gfm,parse,117.97720366175915,116.88564809619989,1.0086102877659258,0.9942208832696754,1.0152621459175366,9,"[1.0070953244933765, 1.0098753651456875, 1.0086102877659258]"
comment-review,gfm,render,49.684566679385675,49.67084982357429,1.0010347451556056,0.9908748113726902,1.0042778499188596,9,"[1.0004567440563032, 1.0022329286696885, 0.996315633035227]"
comment-links,gfm,fresh,804.5528017241379,785.7919023378582,1.0279927266914077,1.0120838228869895,1.0410012675271474,9,"[1.0209179384998486, 1.0368752020878376, 1.0249796307104515]"
comment-links,gfm,reuse,466.0180715031315,452.4283439490446,1.0325687483600623,1.023727803233951,1.0473209775598282,9,"[1.0310146782337632, 1.0250791604689011, 1.0472551375374093]"
comment-links,gfm,parse,347.1899230726505,334.48046206121575,1.0375400634759289,1.0321729137283047,1.0502274340250368,9,"[1.038714994649059, 1.0358681906287042, 1.0375400634759289]"
comment-links,gfm,render,113.93053454247175,112.82227662454873,1.0043593404320903,0.9963569195597192,1.0224615100064667,9,"[1.0050178194174626, 1.0034925473967509, 1.0043593404320903]"
comment-checklist,gfm,fresh,921.7444907134434,907.3261390017411,1.0156952576276213,1.0121175584677955,1.022830322456066,9,"[1.013885133347704, 1.0149414420967862, 1.018271522983494]"
comment-checklist,gfm,reuse,592.5683897421312,585.6267445672537,1.012311287919917,0.9955842961877945,1.0243994324528034,9,"[1.009206646375038, 1.0153748878322726, 1.0118533609321532]"
comment-checklist,gfm,parse,461.9162725391664,453.9829677513074,1.0104468468278573,0.6862974971422047,1.0292460095970246,9,"[1.0100020640018712, 1.0170262435307518, 0.9333540559433874]"
comment-checklist,gfm,render,124.51793220575345,124.29137418469615,1.0011140947735633,0.9944546570201663,1.0071279287060184,9,"[0.9976272939155265, 1.0027347954996022, 0.9999366840623506]"
comment-quote,gfm,fresh,558.5756008756255,548.2291520519116,1.0147508625238462,1.0066668673642551,1.027932713821252,9,"[1.0083312712430437, 1.0147508625238462, 1.0246868409025482]"
comment-quote,gfm,reuse,225.15816372478386,225.46687887750684,1.0007214039172614,0.9946689377357113,1.010647017298675,9,"[1.0006834834798026, 1.0002316066007468, 1.007475623569383]"
comment-quote,gfm,parse,166.47494606328576,164.8522094893976,1.0101021380123558,1.0060943424868385,1.0175502900835087,9,"[1.009547348121796, 1.0101021380123558, 1.010354208033019]"
comment-quote,gfm,render,61.56379895394193,61.662792275059196,1.0020369118880603,0.9959481046080472,1.0068262546309215,9,"[1.0002156141793388, 1.0020369118880603, 1.002800762425674]"
comment-unicode,gfm,fresh,728.213464002796,715.5359289148352,1.018146188151948,1.0062940397160327,1.0259488720278658,9,"[1.007563512495528, 1.013299801511278, 1.0194827222081262]"
comment-unicode,gfm,reuse,388.5307294256589,389.03313262384864,1.0010964019825623,0.989612694191736,1.0091227212929326,9,"[1.003504625660942, 1.0010964019825623, 1.0002716685404762]"
comment-unicode,gfm,parse,284.38590195632395,282.25902050216763,1.0074621746400674,0.9942989405194465,1.013868486495326,9,"[1.0027892096970186, 1.0074621746400674, 1.0125519254661006]"
comment-unicode,gfm,render,108.90182865207694,107.2605453734212,1.0140284747567951,1.0078803122800177,1.023232308833749,9,"[1.0127733269025643, 1.0140284747567951, 1.0156342393187026]"
comment-inline-code,gfm,fresh,569.2722563752277,560.7409961428059,1.0209829926127076,0.9879835676187516,1.0277938695996234,9,"[1.0222314518959494, 0.9970184107715113, 1.0238897372941416]"
comment-inline-code,gfm,reuse,232.38024241522902,235.67629619155355,0.9884908978379265,0.9731565370626788,0.9973719790139753,9,"[0.9934635485972938, 0.9884908978379265, 0.9866667806800717]"
comment-inline-code,gfm,parse,141.93134138588684,141.29906071977575,1.002926051649532,0.9999174871522137,1.013610595890947,9,"[1.0115047431054378, 1.0024688059537001, 1.002926051649532]"
comment-inline-code,gfm,render,93.496082530517,93.25963145329753,1.002242091124769,0.9910209051847519,1.0266570745082821,9,"[1.002242091124769, 0.9956390668717703, 1.0029999691859797]"
comment-reproduction,gfm,fresh,609.1973196881091,598.6669899425287,1.0139119357201887,0.8785894246702493,1.0215201337579585,9,"[1.0139119357201887, 1.0170154027067757, 1.0124076818210186]"
comment-reproduction,gfm,reuse,280.5622587522442,276.9392554935318,1.0105135241281051,1.0065339617895828,1.0216645776716784,9,"[1.0105135241281051, 1.0071645516730314, 1.0175475266701723]"
comment-reproduction,gfm,parse,183.57279429041353,181.97156675788983,1.0107424949907289,1.0078522519725615,1.0218856328013344,9,"[1.0096656455880861, 1.0087993281645704, 1.0159972080648245]"
comment-reproduction,gfm,render,97.06352497204621,95.56789946483181,1.009047680594958,1.0016424032297433,1.033660856366837,9,"[1.0053665088952564, 1.0139164550918507, 1.0214337294234808]"
comment-table,gfm,fresh,1426.7079151459855,1422.2256881255687,1.002291361431738,0.9919739394287557,1.0258216468947894,9,"[1.0188008702693774, 0.9949179076648136, 1.0016763803539221]"
comment-table,gfm,reuse,1101.6377510570824,1100.363116197183,1.0025822869505956,0.9917217676262423,1.0078642372049773,9,"[1.001549384899506, 1.0049662777856219, 1.0000849554325881]"
comment-table,gfm,parse,910.7420418123543,904.3970811631945,1.0061800072725453,0.9991608278613235,1.0121516087870277,9,"[1.00152389922996, 1.0073252714224763, 1.0061800072725453]"
comment-table,gfm,render,188.34503450458052,193.0857840108736,0.9771174873846309,0.9590458055363792,0.9851778200567204,9,"[0.9771174873846309, 0.9624587104677282, 0.979603222704985]"
comment-review-long,gfm,fresh,1157.4681712962963,1122.8813083692528,1.0291594831229056,0.9951487084218276,1.0388692802944421,9,"[1.0306098689626488, 1.0299497868977354, 1.0014188960862094]"
comment-review-long,gfm,reuse,811.2269719771666,798.1498180541369,1.0171513182695786,1.0054104137075441,1.0231525631407268,9,"[1.0144296104309194, 1.0223491498298343, 1.0171513182695786]"
comment-review-long,gfm,parse,641.109400635767,626.6367406776263,1.0210778368261229,1.012331392689442,1.0285593809034534,9,"[1.0236555135418743, 1.0197950620182819, 1.0196367955524401]"
comment-review-long,gfm,render,163.60593131609255,163.62210732984292,0.9989681208046096,0.9911773045926084,1.007151360696829,9,"[0.9989681208046096, 0.9985478516640716, 1.0070354417054925]"
comment-incident,gfm,fresh,1808.6555266203704,1806.475794797688,1.0054242811516383,0.9851964384201176,1.0124898281332917,9,"[1.0074836827613338, 0.9986270085972384, 1.0054242811516383]"
comment-incident,gfm,reuse,1445.8882400555042,1436.488712086397,1.0068773007564005,1.005231975591092,1.0098909339873374,9,"[1.0054214021029113, 1.0068773007564005, 1.0073463300812093]"
comment-incident,gfm,parse,1043.721503671562,1040.5024342543275,1.0011686666207895,0.9853431549519335,1.1652375965532218,9,"[0.9984661729883182, 1.0030937644269342, 0.9979195399572688]"
comment-incident,gfm,render,367.13059504229324,363.1859313269812,1.0121987244731554,1.0063710780757023,1.0205220770851156,9,"[1.0114496599807048, 1.0091122308252862, 1.0162600002410678]"
guard-angle-link,commonmark,fresh,545.686125174581,522.1858816404945,1.0392941271164342,1.0295582391442963,1.051458461064543,9,"[1.0392384378879096, 1.0446508241415833, 1.0371190895178866]"
guard-angle-link,commonmark,reuse,211.89348979522646,201.66244434765775,1.052359953241562,1.04059374633138,1.0660750050364023,9,"[1.052359953241562, 1.0550530698665566, 1.0501821427185651]"
guard-angle-link,commonmark,parse,173.55846662223703,164.15633535560457,1.0610357027847128,1.0545355571789974,1.0697194852804324,9,"[1.061042619369519, 1.057275470034495, 1.0683708292612044]"
guard-angle-link,commonmark,render,37.01381798692377,36.37645722749919,1.016022686990429,1.0054808325876867,1.017558623814968,9,"[1.016022686990429, 1.0168500499116018, 1.0115759775177744]"
legacy-contributing,gfm,fresh,13023.773958333333,12843.41931352459,1.0141640920946315,0.9881172381258504,1.0248082870337218,9,"[1.0141640920946315, 1.0159889904996229, 1.0085594170638665]"
legacy-contributing,gfm,reuse,12467.46875,12243.743896484375,1.016611179642162,1.0080667486861852,1.028930943223649,9,"[1.0096793371053447, 1.016611179642162, 1.0169491444955487]"
legacy-contributing,gfm,parse,8905.08114346591,8764.722939944135,1.0210574160832218,1.0119784579455606,1.2089806772308276,9,"[1.0236885040653392, 1.0149837713559897, 1.0210574160832218]"
legacy-contributing,gfm,render,3471.1636640798224,3442.894754955947,1.0082868049401805,0.9970336313470116,1.0111175977145814,9,"[1.0080045288872974, 1.0067575443186492, 1.0096619276956291]"
legacy-node-ferromark-readme,gfm,fresh,12874.818391393443,12580.65625,1.0261270568198302,1.0122454849186662,1.0371846541429668,9,"[1.0193708956611498, 1.0292198781159696, 1.0275929482370378]"
legacy-node-ferromark-readme,gfm,reuse,12381.16190944882,12040.915384615384,1.0249288165219077,1.018522079399102,1.029921300914269,9,"[1.019871478263565, 1.0294819679229883, 1.0249288165219077]"
legacy-node-ferromark-readme,gfm,parse,7973.469225888325,7680.306678921569,1.0401252036450048,1.0300285621193137,1.0500203734451399,9,"[1.0402437787504664, 1.031589332641283, 1.0417879291212269]"
legacy-node-ferromark-readme,gfm,render,4279.015795765027,4269.438780737705,1.0057893521267793,0.9978978382572968,1.010592478671405,9,"[1.0064660842633, 1.0013939822672608, 1.0069035363878465]"
legacy-docs-migration-0-2,gfm,fresh,3161.5267045454543,3124.799900199601,1.0084729791977016,0.819847774469669,1.0172155302926371,9,"[1.0135936985469207, 0.9344127271120959, 1.0084729791977016]"
legacy-docs-migration-0-2,gfm,reuse,2781.81300044484,2783.2401579181496,1.0027180810194183,0.9938107531743339,1.0147810029402082,9,"[1.008223868601644, 1.0027180810194183, 0.9996236728067437]"
legacy-docs-migration-0-2,gfm,parse,1476.1653682719548,1458.0806902985075,1.0121374698032788,0.9995279784329604,1.0273327604913833,9,"[1.000672727810789, 1.0141144762905954, 1.01619664803793]"
legacy-docs-migration-0-2,gfm,render,1262.7400292810985,1256.3837670819935,1.0050934967934457,0.9891990986562179,1.01397824148093,9,"[1.0018124649031084, 1.0055353529347906, 1.0050934967934457]"
legacy-docs-migration-0-3,gfm,fresh,3799.754171723301,3758.5135967548076,1.0093651360961278,0.9955201458971584,1.0209727329091716,9,"[1.017650251620663, 1.0055580234424843, 1.013377406977165]"
legacy-docs-migration-0-3,gfm,reuse,3434.4665521978022,3371.8851023706898,1.0189431237799693,1.0130581588773027,1.0385054522804988,9,"[1.0135671759525788, 1.0198370895239792, 1.0189431237799693]"
legacy-docs-migration-0-3,gfm,parse,1996.940174010217,1953.5612109375,1.0222050698129392,1.0152783524592006,1.031786862361589,9,"[1.0228249521812163, 1.0199281445438697, 1.0208228505968637]"
legacy-docs-migration-0-3,gfm,render,1397.350675826631,1391.6859138468387,1.0026755835772128,0.991588984653754,1.0087617706694962,9,"[1.0026755835772128, 0.9940695599004378, 1.002824585603821]"
legacy-docs-migration-0-4,gfm,fresh,9159.54696637427,9084.673049132947,1.0082417844688938,0.9971437073342826,1.1102731414850713,9,"[1.0082417844688938, 0.9981839015968436, 1.0879189618831389]"
legacy-docs-migration-0-4,gfm,reuse,8450.901013513514,8431.689684139785,1.001066046736246,0.9794089188440431,1.0105268044452236,9,"[1.0029066837023697, 1.008708932896054, 0.9996370248264149]"
legacy-docs-migration-0-4,gfm,parse,5171.763201320132,5190.6905008278145,1.001951456359177,0.9920578889658468,1.0137953645515794,9,"[1.001951456359177, 1.01041806065149, 0.9982821754554889]"
legacy-docs-migration-0-4,gfm,render,3195.895641615542,3180.0288998983738,1.004223714876168,0.9954488547121038,1.0180488770029745,9,"[1.00384017202642, 1.0105165490100645, 1.0060556488401782]"
legacy-docs-migration-0-8,gfm,fresh,3726.4322916666665,3692.8587853773583,1.0132341002815906,0.9521083241924221,1.018399898235298,9,"[1.0132341002815906, 1.0133532521120634, 1.0119322714976076]"
legacy-docs-migration-0-8,gfm,reuse,3371.652141702586,3345.2857905982905,1.009070478123583,1.001254354007686,1.0196129342609936,9,"[1.0039584860984878, 1.009070478123583, 1.0116229233199647]"
legacy-docs-migration-0-8,gfm,parse,1865.4052804295943,1844.4609375,1.0101218202824582,1.0041642490743967,1.035015264583598,9,"[1.014324498466541, 1.0043240387051608, 1.0101218202824582]"
legacy-docs-migration-0-8,gfm,render,1465.8624530956847,1452.6300824814127,1.0087208067171944,0.9985282617466825,1.0139755553326002,9,"[1.008524610606147, 1.0106691572064892, 1.0083285810773277]"
legacy-docs-releasing,gfm,fresh,6256.229125,6243.116160358566,1.0013895343366588,0.9923816667021117,1.0133767930882913,9,"[1.0013895343366588, 0.9999016729477064, 1.0088387197164201]"
legacy-docs-releasing,gfm,reuse,5754.72012867647,5781.509455719557,0.9965099275867517,0.9889780014682666,1.0058971829993657,9,"[1.002056609558962, 0.9939081250202878, 1.0040501403093602]"
legacy-docs-releasing,gfm,parse,3700.5608747044917,3698.6800384160756,1.0012428227970707,0.9946245689554216,1.009296824572375,9,"[0.9997088799228891, 1.0090416183101978, 1.0012428227970707]"
legacy-docs-releasing,gfm,render,2012.6387548262549,2015.8683150773195,0.9962401099965653,0.988007788762929,1.0106373609073052,9,"[0.9992571340566941, 0.9959880402801929, 0.9927939387573416]"
legacy-docs-readme-theme,gfm,fresh,3251.7514293139293,3178.454268292683,1.022694563493523,1.0190518222711613,1.0260923594829248,9,"[1.0192039741067012, 1.0233796414456449, 1.0259599885187332]"
legacy-docs-readme-theme,gfm,reuse,2839.536581215971,2788.7770164884137,1.017609404649527,1.0094024338780656,1.0235287133076818,9,"[1.0151772409748234, 1.0182133606861916, 1.0167941619150225]"
legacy-docs-readme-theme,gfm,parse,1953.7613671875,1901.903360705596,1.0283301930815822,1.0196160326518906,1.0364848324093214,9,"[1.0307100634475428, 1.033724212732456, 1.0280520310424393]"
legacy-docs-readme-theme,gfm,render,889.2629230659841,881.5845847433728,1.009888244635394,1.003087430803248,1.0171289612162029,9,"[1.0102136658233527, 1.0089475508398258, 1.009888244635394]"
