case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,fresh,356.84812000570776,344.4211260330579,1.0366599085781192,1.0252226271134415,1.0431654783181021,9,"[1.029450429815929, 1.0366599085781192, 1.037707012077893]"
comment-ack,gfm,comments,reuse,78.36168437382474,68.96724491062562,1.1365224606887852,1.1327108812273334,1.1390537635396452,9,"[1.1354410834222997, 1.1359002221844479, 1.138236206522709]"
comment-ack,gfm,comments,parse,51.05808676386506,44.656924227540635,1.1437482248496484,1.1391724911770744,1.1457291548727053,9,"[1.144912093766649, 1.1402636793882732, 1.1441301425780468]"
comment-ack,gfm,comments,render,28.84422375798971,27.272030834169538,1.058308079475864,1.0558549371933093,1.0643578639401556,9,"[1.0598323684781625, 1.058536394115556, 1.0562796643341192]"
comment-question,gfm,comments,fresh,371.222869655582,364.39889062955405,1.01856552795487,1.013754239768648,1.0223574870654832,9,"[1.01856552795487, 1.013920314456781, 1.0212381731250675]"
comment-question,gfm,comments,reuse,98.95781794252692,90.44156733830125,1.0941630143623031,1.0682217358387667,1.1083344054349715,9,"[1.103274512530019, 1.0920506528641116, 1.0953464097511902]"
comment-question,gfm,comments,parse,69.08899066091954,60.03527799788695,1.151589699629518,1.148067252162879,1.1585389482065875,9,"[1.151589699629518, 1.1511997876688649, 1.1525799487415835]"
comment-question,gfm,comments,render,31.005013920236117,31.61812422548747,0.9804364922973168,0.9780480807513195,0.9844413248582413,9,"[0.981655024701603, 0.9801973538122303, 0.9798910123615366]"
comment-review,gfm,comments,fresh,442.62168141592923,426.6558233788396,1.0382413304073996,1.004798465303214,1.0467667156183205,9,"[1.039729705048492, 1.0335764336431617, 1.0382413304073996]"
comment-review,gfm,comments,reuse,167.28565276291144,150.74573863636363,1.1102363518859646,1.1024400600507225,1.1111199508996363,9,"[1.1097206081987248, 1.1104276230886494, 1.1102363518859646]"
comment-review,gfm,comments,parse,120.37776814943193,101.93109712596821,1.1807731730633517,1.179288996192109,1.1879273501942926,9,"[1.1807731730633517, 1.182465687035038, 1.1795271839802515]"
comment-review,gfm,comments,render,48.6644715712228,49.88368076339838,0.9754431652410688,0.9706897053018168,0.9871791085923137,9,"[0.9749061653869145, 0.9776340683444826, 0.9754431652410688]"
comment-links,gfm,comments,fresh,765.3421243880049,659.4736286919831,1.1598551179802923,1.1301495801669192,1.1982553844427377,9,"[1.1892369154501004, 1.1619764502186292, 1.1441840060767052]"
comment-links,gfm,comments,reuse,471.461691647813,372.8179522069788,1.267340774489915,1.253352721413867,1.2807286523417478,9,"[1.2608815759941034, 1.2663658502157047, 1.2706580498798772]"
comment-links,gfm,comments,parse,331.42213589981446,275.07076457645763,1.2053939200999149,1.2027674431761233,1.2247758461193963,9,"[1.2053939200999149, 1.2030187024595855, 1.206881630214125]"
comment-links,gfm,comments,render,137.23672475301865,93.74404572210558,1.4660205049866353,1.438595831104776,1.4703151107831278,9,"[1.4660205049866353, 1.4671087992943868, 1.4612683783190696]"
comment-checklist,gfm,comments,fresh,846.095145466847,789.3962476325758,1.0719718991749874,1.055544124752428,1.085471633961923,9,"[1.0661174023722104, 1.0719718991749874, 1.0773604538645483]"
comment-checklist,gfm,comments,reuse,560.203853046595,509.5157141401793,1.101506361983938,1.0924106574346735,1.1192851613266097,9,"[1.093246026782139, 1.1025195987489138, 1.1042388381395971]"
comment-checklist,gfm,comments,parse,434.2402669270833,401.43877407704656,1.081730103351465,1.0723350528260387,1.1150688504259108,9,"[1.0750072922129146, 1.080050655661517, 1.0863740118695657]"
comment-checklist,gfm,comments,render,120.47169549922899,106.23138597348517,1.133726273448299,1.1303205750089522,1.1418398160384202,9,"[1.1370060022622228, 1.1335009599164527, 1.1332283339784548]"
comment-quote,gfm,comments,fresh,531.2843046111348,507.0262951135442,1.0489382756308332,1.0297392541604558,1.083626453917953,9,"[1.0506126215152247, 1.0591608270444477, 1.0300826785317718]"
