case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,yes,152.27717890020563,151.90719657829214,154.28582012113566,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,yes,150.08724282988197,149.79551394380542,150.47830403231941,1.0145910873504809
comment-ack,37,comments,gfm,fresh,v1,yes,yes,154.79133691907322,154.31652115930746,156.30506603504162,0.9837577601633997
comment-ack,37,comments,gfm,fresh,md4c,yes,yes,756.5232446527019,754.8138578756789,757.9802738574342,0.20128552556255122
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,yes,180.86899713599144,180.378475360205,181.09274514774046,0.8419197392116448
comment-ack,37,comments,gfm,fresh,bun,yes,yes,281.9073562570462,281.82715964608235,282.8555754536228,0.5401674540247102
comment-question,160,comments,gfm,fresh,v2,yes,yes,172.63022241860898,167.15212905149843,172.98613891345138,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,164.76160012201854,159.70128999550667,165.31000907555352,1.0477576224724883
comment-question,160,comments,gfm,fresh,v1,yes,yes,183.80098435381353,178.72037736880512,184.33920253493125,0.9392236011440448
comment-question,160,comments,gfm,fresh,md4c,yes,yes,876.6193765181936,850.0649755237351,876.6887819950912,0.19692722639131188
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,294.22061970484344,285.19664692204253,294.77434591297924,0.5867373353770662
comment-question,160,comments,gfm,fresh,bun,yes,yes,771.5530536705737,749.0649147181969,772.585913700497,0.2237438133351178
comment-review,282,comments,gfm,fresh,v2,yes,yes,222.55947201333612,216.15012388190658,226.22528661359806,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,yes,215.70061410797112,209.84544679794328,219.49050299610064,1.0317980453311633
comment-review,282,comments,gfm,fresh,v1,yes,yes,302.2761323532919,295.1892833842213,306.65434626849975,0.7362786809552493
comment-review,282,comments,gfm,fresh,md4c,yes,yes,1065.9489157075873,1036.1730012427506,1085.3356599269605,0.20878999803250325
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,yes,497.49627441850373,488.17144397872687,505.5174654783366,0.44735907273571796
comment-review,282,comments,gfm,fresh,bun,yes,yes,1322.3557743128963,1284.6090127421385,1347.1680809226277,0.1683052899504139
comment-links,278,comments,gfm,fresh,v2,yes,yes,397.4501222130931,395.8900173459186,407.25185425156474,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,462.12916524361543,459.30423079587024,473.36643880736176,0.8600412008265563
comment-links,278,comments,gfm,fresh,v1,yes,yes,683.611262915214,679.872176760908,699.4953494172346,0.581397855439353
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1403.8124473905723,1396.7222604226417,1435.1396156142036,0.28312195332922097
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,733.0203253438785,731.3188396900739,752.0318043445579,0.5422088698927129
comment-links,278,comments,gfm,fresh,bun,yes,yes,1583.1813642547095,1577.840124527112,1620.095267972798,0.2510452252576853
comment-checklist,287,comments,gfm,fresh,v2,no,no,590.9139670368454,573.6049301170925,592.1190905080733,1.0
comment-checklist,287,comments,gfm,fresh,ox-content,no,no,611.1949658653236,592.7016129776415,611.9241382392753,0.9668174642116618
comment-checklist,287,comments,gfm,fresh,v1,no,no,838.4394911133468,814.0003739199633,842.7624663072777,0.7047783093472646
comment-checklist,287,comments,gfm,fresh,md4c,no,no,1564.1121484374999,1520.3689816221142,1565.9850007822279,0.3777951393237054
comment-checklist,287,comments,gfm,fresh,pulldown-cmark,no,no,914.6706027703849,887.0994111357962,915.4362175548647,0.646040186759108
comment-checklist,287,comments,gfm,fresh,bun,no,no,1802.1293227665706,1751.1443452380952,1806.7673861342573,0.3278976483938974
comment-quote,290,comments,gfm,fresh,v2,yes,yes,286.38057024305914,285.6042404682929,286.9282204918778,1.0
