case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,yes,160.91408404410151,159.35679316471033,161.06483119211606,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,yes,157.09425519234537,155.65262832203643,157.1190129304134,1.0243155222135856
comment-ack,37,comments,gfm,fresh,v1,yes,yes,160.4643433131589,159.3021997952145,161.1577011183601,1.002802745592302
comment-ack,37,comments,gfm,fresh,md4c,yes,yes,787.0764877365027,776.000116958925,788.6404073274233,0.20444529413762935
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,yes,187.03124069792437,186.2089710596614,188.13879764457505,0.860359389392038
comment-ack,37,comments,gfm,fresh,bun,yes,yes,295.4144782516835,292.9769892455106,295.9838738143818,0.5447061531866016
comment-question,160,comments,gfm,fresh,v2,yes,yes,175.1798860387969,174.30247854787768,176.3318826855303,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,165.06427045768834,165.02399180340217,166.39866261424535,1.0612828903133313
comment-question,160,comments,gfm,fresh,v1,yes,yes,183.85169761090245,183.28410895948429,184.98832412945387,0.9528325727486168
comment-question,160,comments,gfm,fresh,md4c,yes,yes,874.4787041083916,874.1900695339966,884.9326762067458,0.2003249309740576
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,292.16707867492994,291.844372726467,296.10847373976475,0.5995880399437645
comment-question,160,comments,gfm,fresh,bun,yes,yes,772.4829992792617,772.3347074744579,782.2915653495813,0.22677506974553793
comment-review,282,comments,gfm,fresh,v2,yes,yes,228.0760397996856,227.86749176378225,230.1979756722493,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,yes,216.54402958534965,216.0178066139623,218.0563484051251,1.0532548056689353
comment-review,282,comments,gfm,fresh,v1,yes,yes,300.17396651168235,297.6226837661243,301.0460154805169,0.7598128593567064
comment-review,282,comments,gfm,fresh,md4c,yes,yes,1073.658248390558,1061.7744436116714,1079.3245051904823,0.21242889917865168
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,yes,499.1340852276112,497.9856860582829,499.8667378567841,0.45694342772780216
comment-review,282,comments,gfm,fresh,bun,yes,yes,1329.933882918664,1322.6563086743681,1340.6954883628093,0.17149426954906316
comment-links,278,comments,gfm,fresh,v2,yes,yes,415.5102297119474,414.4116026966067,416.731984375,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,480.4892409237268,479.57457225726586,481.0986315163372,0.864764898612799
comment-links,278,comments,gfm,fresh,v1,yes,yes,710.0674959720159,710.0146952896328,715.2359392877574,0.5851700466068409
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1445.9570191379853,1441.893572359093,1451.066886600928,0.28736001431056085
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,766.5295160177805,759.9733647413568,766.926167862892,0.5420668363438587
comment-links,278,comments,gfm,fresh,bun,yes,yes,1603.0887947557853,1595.4971898915815,1608.7350103069698,0.2591935213265877
comment-checklist,287,comments,gfm,fresh,v2,no,no,619.0858854456304,617.2764467241641,622.2432509668865,1.0
comment-checklist,287,comments,gfm,fresh,ox-content,no,no,619.070865338995,615.0347086191491,621.3477121205665,1.0000242623380884
comment-checklist,287,comments,gfm,fresh,v1,no,no,854.5475306745545,851.8316379712385,854.692318985819,0.7244604462866359
comment-checklist,287,comments,gfm,fresh,md4c,no,no,1576.7002226811028,1567.9553066037736,1582.8919046002097,0.3926465389805709
comment-checklist,287,comments,gfm,fresh,pulldown-cmark,no,no,922.675922777097,915.0616752428115,925.5008032852564,0.6709678557367007
comment-checklist,287,comments,gfm,fresh,bun,no,no,1822.6684144373182,1812.794935868353,1828.7099080054531,0.3396590847473211
comment-quote,290,comments,gfm,fresh,v2,yes,yes,297.66884493903666,293.9391107320087,298.46809931585176,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,279.8250414299242,278.42281099682907,282.1047086702828,1.0637677150619882
comment-quote,290,comments,gfm,fresh,v1,yes,yes,353.9625009068242,350.58852995560414,355.0320648632262,0.8409615260837869
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1167.5315816416603,1155.6703366477382,1171.9504672348219,0.2549557113654142
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,588.8408653115818,582.2970087458687,591.9218223757184,0.5055166216793172
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1451.6214315868137,1435.4720788233103,1460.015732840147,0.20505955510290677
comment-unicode,327,comments,gfm,fresh,v2,yes,yes,463.1643070681819,461.79835511880003,466.4429056925212,1.0
comment-unicode,327,comments,gfm,fresh,ox-content,yes,yes,436.91196182451085,435.18686082847023,437.1239010541667,1.0600861215473325
comment-unicode,327,comments,gfm,fresh,v1,yes,yes,710.3812317673699,709.4675096418314,711.8056404436354,0.6519940087885872
comment-unicode,327,comments,gfm,fresh,md4c,yes,yes,1360.690273162439,1357.2847741729493,1375.5851852922242,0.3403892246482528
comment-unicode,327,comments,gfm,fresh,pulldown-cmark,yes,yes,823.5422691038675,820.4856645253514,825.7717984917871,0.5624050209009567
comment-unicode,327,comments,gfm,fresh,bun,yes,yes,1668.983755087913,1666.701027261748,1681.7350895025038,0.27751277126348356
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,296.6223188831026,293.9093422088714,297.28400860021054,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,288.73057406620103,288.6902869316152,290.2933320977976,1.0273325568046427
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,615.7771139676902,613.0319985692597,616.8208949274349,0.48170403244097565
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1229.575427220223,1222.5824321847508,1230.2218610515915,0.24123962818100145
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,691.3485474163406,689.7676812989728,694.5302157356332,0.4290488784443372
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1393.4404153913265,1380.7895859285059,1394.2958962977175,0.21287047196761602
comment-reproduction,298,comments,gfm,fresh,v2,yes,yes,313.2202962376766,312.4415290495924,314.91114869294984,1.0
comment-reproduction,298,comments,gfm,fresh,ox-content,yes,yes,331.72924967280915,331.06979628068734,331.887456032652,0.9442046384110288
comment-reproduction,298,comments,gfm,fresh,v1,yes,yes,483.35368966800377,483.2238833068514,484.25384375494525,0.6480147000694565
comment-reproduction,298,comments,gfm,fresh,md4c,yes,yes,1358.6653554921695,1356.7689706934198,1363.643774943869,0.23053527858904901
comment-reproduction,298,comments,gfm,fresh,pulldown-cmark,yes,yes,602.1866091571405,597.437829735203,605.7822871245155,0.5201382619186435
comment-reproduction,298,comments,gfm,fresh,bun,yes,yes,1403.8259866494307,1400.4563878833237,1404.897854894923,0.22311903271234665
comment-table,310,comments,gfm,fresh,v2,yes,yes,1071.45893583976,1071.1565579477292,1074.2220547994493,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,1015.921959200289,1015.8968445369618,1016.6642888456972,1.0546665776209705
comment-table,310,comments,gfm,fresh,v1,yes,yes,1003.8117890200449,1003.5544828773795,1004.7528433367715,1.0673902693310213
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2204.7372020510406,2196.3747258771928,2205.933531746032,0.48598034035212656
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1250.370453125,1246.8038108295361,1260.8428307562626,0.8569131917360221
comment-table,310,comments,gfm,fresh,bun,yes,yes,2199.2739470655215,2191.436771082536,2199.4667394443413,0.48718757263932555
comment-review-long,957,comments,gfm,fresh,v2,yes,yes,732.4640700844725,724.327170548396,732.932346748639,1.0
comment-review-long,957,comments,gfm,fresh,ox-content,yes,yes,777.393037303799,768.3106923807243,778.3888921481107,0.9422055960583956
comment-review-long,957,comments,gfm,fresh,v1,yes,yes,1042.5726775709654,1037.3563571303357,1045.0679256572653,0.7025544461715624
comment-review-long,957,comments,gfm,fresh,md4c,yes,yes,2205.643050044092,2194.9344298245614,2217.7047182890483,0.33208640449316135
comment-review-long,957,comments,gfm,fresh,pulldown-cmark,yes,yes,1681.6878780241937,1656.7364150456824,1687.765350877193,0.4355529225465077
comment-review-long,957,comments,gfm,fresh,bun,yes,yes,4468.75,4418.39115262467,4486.596494175627,0.16390804365526657
comment-incident,1124,comments,gfm,fresh,v2,no,yes,1707.7956986487998,1702.9318958935755,1711.389919630643,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1353.6373535250045,1352.6060677540365,1361.2803684298883,1.261634583444031
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1540.7707552963707,1534.9805023006134,1543.3636345732293,1.108403500506668
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2869.2288401924893,2867.9669581422017,2893.9665279645183,0.5952106972876475
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,2251.0299296828243,2242.7506469036944,2252.2247410399477,0.7586730305666937
comment-incident,1124,comments,gfm,fresh,bun,no,yes,5433.7471934994355,5416.575922012614,5444.82289402174,0.3142942867662099
guard-angle-link,41,syntax-guard,commonmark,fresh,v2,no,no,282.7015835665753,281.1281221911701,284.00318952892724,1.0
guard-angle-link,41,syntax-guard,commonmark,fresh,ox-content,no,no,287.6655728121755,285.99888793322714,288.4707331925422,0.9827438883385559
guard-angle-link,41,syntax-guard,commonmark,fresh,v1,no,no,486.70695543175793,483.8665877557885,487.42132066276804,0.5808455794838409
guard-angle-link,41,syntax-guard,commonmark,fresh,md4c,no,no,993.9165707087964,991.3643732267749,994.8724642004773,0.2844319049484918
guard-angle-link,41,syntax-guard,commonmark,fresh,pulldown-cmark,no,no,359.62825135706794,356.61537431481435,362.1544009601804,0.7860939247675689
guard-angle-link,41,syntax-guard,commonmark,fresh,bun,no,no,471.88503584764226,471.7669409850856,472.806553585281,0.5990899521930407
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,9629.932932692307,9578.373330152672,9691.344907200357,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,11164.79424778761,11108.891039823007,11180.24557645583,0.8625266815463754
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,16665.158695175436,16518.27179276316,16911.553958333334,0.5778482586835595
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,23500.228877314814,23203.317997685186,23603.626179245286,0.40978038907477415
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,22819.383497362014,22781.968257913963,23026.550852272725,0.4220067090684354
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,48634.49038461538,48231.394831730766,48807.792668269234,0.1980062473470177
legacy-node-ferromark-readme,9075,readme,gfm,fresh,v2,no,yes,9025.863758992806,9003.241119604318,9165.740604020142,1.0
legacy-node-ferromark-readme,9075,readme,gfm,fresh,ox-content,no,yes,11056.120888157895,11054.45353618421,11169.414761279235,0.8163680417659255
legacy-node-ferromark-readme,9075,readme,gfm,fresh,v1,no,yes,17624.66065140845,17622.51496478873,17843.46454665493,0.5121156053731745
legacy-node-ferromark-readme,9075,readme,gfm,fresh,md4c,no,yes,25375.7421875,25291.510625000003,25571.17575892857,0.3556886609385129
legacy-node-ferromark-readme,9075,readme,gfm,fresh,pulldown-cmark,no,yes,23075.000284090907,22890.542045454546,23480.733796296296,0.3911533541872024
legacy-node-ferromark-readme,9075,readme,gfm,fresh,bun,no,yes,47505.16030092593,47220.3894675926,48131.30584490741,0.1899975434630179
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,1886.6085962524571,1879.791091784924,1902.6418850666541,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,2453.237505154446,2421.3335348162477,2462.1293676181103,0.7690281076693729
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,4234.262827280405,4184.035744147157,4245.6965042372885,0.4455577448091936
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,md4c,no,yes,5597.057689049669,5558.432242809735,5630.964480315517,0.3370714938213879
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,pulldown-cmark,no,yes,4861.80186087986,4809.517728365385,4875.679847811218,0.3880471994206341
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,bun,no,yes,8772.47235576923,8727.258933232566,8808.147618006993,0.21506007881708808
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,v2,no,yes,2559.070392382413,2550.674886837357,2566.2056654579765,1.0
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,ox-content,no,yes,3073.786154879411,3064.470042719869,3080.6383837795474,0.832546658563113
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,v1,no,yes,4495.466005824373,4465.176815304079,4509.1017785951735,0.5692558655914325
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,md4c,no,yes,6623.990740740741,6613.209872337093,6639.994626322751,0.386333630668125
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,pulldown-cmark,no,yes,5478.963350439075,5445.871117896841,5570.535277777777,0.4670720040821834
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,bun,no,yes,10693.748604546938,10573.6225052521,10733.821151129943,0.23930526955667417
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v2,no,yes,6292.301350502512,6229.13568143195,6313.783577372342,1.0
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,ox-content,no,yes,7695.751917177914,7651.335556402439,7747.75356867284,0.8176330809803368
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v1,no,yes,14483.926005747126,14371.138139204546,14519.688397988506,0.43443340900842553
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,md4c,no,yes,19409.62548076923,19221.609804778556,19445.342548076922,0.3241845834035711
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,pulldown-cmark,no,yes,17193.92725784432,16942.32136824324,17321.204409246573,0.36596068228867257
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,bun,no,yes,33390.55633223684,32978.892406798244,33558.21710526316,0.1884455379507296
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,v2,no,yes,2509.483489066486,2483.9679963990857,2526.6112089901026,1.0
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,ox-content,no,yes,3096.4039715635818,3061.7122460441237,3144.3789260272356,0.8104509334417627
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,v1,no,yes,5130.80334272541,5087.440675813008,5198.955081891357,0.489101476209276
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,md4c,no,yes,7129.690518465909,7032.178985252809,7165.673392857143,0.35197649639446765
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,pulldown-cmark,no,yes,5866.885931535475,5788.586299189815,5895.5945531186335,0.4277368809196716
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,bun,no,yes,10609.623871688505,10456.206510416667,10703.57416499167,0.2365289777861942
