case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,116.48267526548156,116.3240305514814,117.36010927319097,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,160.94502213488903,160.8914708934892,163.24230835248255,0.7237420189849469
comment-question,160,comments,gfm,fresh,v1,yes,yes,180.71588384806526,179.60911682010752,180.75183803801355,0.6445624633826487
comment-question,160,comments,gfm,fresh,md4c,yes,yes,859.3660288734058,853.8653355518217,861.8236233326779,0.13554489164318684
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,286.05956761245386,285.6596522062949,290.844349581773,0.40719727096591746
comment-question,160,comments,gfm,fresh,bun,yes,yes,798.9887297976829,796.322491955862,804.1767182475885,0.14578763244254633
comment-links,278,comments,gfm,fresh,v2,yes,yes,341.65989094099467,341.0696808472177,348.1605153330115,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,463.7843151087312,462.0716388958336,463.81439730090653,0.7366784080675405
comment-links,278,comments,gfm,fresh,v1,yes,yes,685.9938310063225,681.7214097493159,686.2214712336731,0.4980509670761832
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1396.2765590122767,1396.2351597377233,1415.584316686258,0.2446935664254682
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,744.4262842116393,742.8055831154124,752.1242759279537,0.4589573181215902
comment-links,278,comments,gfm,fresh,bun,yes,yes,1642.1208105556323,1635.8668709150327,1657.5026014127743,0.20806014316656138
comment-quote,290,comments,gfm,fresh,v2,yes,yes,227.81492491787088,226.91561542257062,231.53860175814123,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,280.862311437936,275.7700459103113,281.3261916406318,0.8111267181115279
comment-quote,290,comments,gfm,fresh,v1,yes,yes,355.9143614674582,348.9165416550377,356.0491673232068,0.6400835413849979
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1154.217984942702,1140.0736276622665,1162.0976689444715,0.19737599646671605
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,578.1979338443178,573.0844958174475,578.9897294004634,0.3940085420284656
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1498.7832102321681,1489.2601376488096,1515.8860414983103,0.15199991790846212
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,232.14239460693983,231.25771103687066,232.26944268088727,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,279.6811484979844,279.59706283000014,280.57069052579914,0.8300251763611906
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,592.8230719817643,592.2414499239283,602.3382281440752,0.39158798902833647
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1198.0682022270116,1189.5359276698273,1200.7485208335638,0.1937639227678569
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,678.7994570270548,668.1750954495924,683.0209095257078,0.34198965865950504
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1435.4644761102104,1424.6230068337131,1437.482034046055,0.16171935876532043
comment-table,310,comments,gfm,fresh,v2,yes,yes,990.7352537931474,985.1594770540438,993.0718995771997,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,981.5489707557645,980.345277464042,983.000957656306,1.0093589655850892
comment-table,310,comments,gfm,fresh,v1,yes,yes,969.6195707868008,968.8876718628969,973.1877767149432,1.0217772863115915
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2131.374730640977,2130.5831850498307,2136.3145374469823,0.4648339119114918
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1199.4524489795097,1196.7410586124402,1207.5892014031374,0.8259896043699455
comment-table,310,comments,gfm,fresh,bun,yes,yes,2181.174842211738,2179.924197919038,2200.118473946751,0.45422092471437536
comment-incident,1124,comments,gfm,fresh,v2,no,yes,1048.6857544505167,1047.2250575795647,1058.7007038526672,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1291.2320877856919,1288.6737665495239,1311.2681964098533,0.8121589947852729
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1495.5246017057034,1485.4474465558196,1507.1183170180723,0.7012159835113714
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2776.96985864745,2776.8515105321508,2814.234881677675,0.37763670757351653
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,2166.5656479474883,2153.3847353700517,2200.5664103110535,0.4840313772370557
comment-incident,1124,comments,gfm,fresh,bun,no,yes,5579.412990141369,5571.666666666667,5679.308685826238,0.18795628792912594
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,8756.683457167832,8721.322482638889,8917.036209444166,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,10886.007331100074,10781.138467525052,10999.326069078947,0.8043980856186815
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,16318.350852272728,16074.70198646949,16385.06168831169,0.5366157117493432
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,22890.340624999997,22736.243689123377,23072.919076178452,0.3825492857718378
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,22237.150219298244,22136.695997807015,22263.340734649122,0.3937862257893302
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,48666.541466346156,48387.870793269234,49068.909855769234,0.17993231475516389
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,1680.4503704129684,1674.094705239441,1689.1541426168071,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,2383.2737299046894,2372.5130560806556,2397.9168079634874,0.7051017049897043
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,4108.021670081967,4071.308598542134,4122.101431545292,0.40906560514308055
