case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,92.88827435419722,92.73020177533562,92.96716719511213,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,151.2558215421846,150.6209754879108,151.31964934873542,0.6141137141507712
comment-question,160,comments,gfm,fresh,v1,yes,yes,157.0409035543654,157.03978498675127,158.1189238928838,0.5914909571444269
comment-question,160,comments,gfm,fresh,md4c,yes,yes,849.7985494700071,848.8171949433292,851.5017554069595,0.10930622841393263
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,249.77624470398388,247.6571433925988,250.27961714691543,0.37188594321402124
comment-question,160,comments,gfm,fresh,bun,yes,yes,642.9864424907394,642.7878980557139,643.8252335616112,0.1444638148113598
comment-links,278,comments,gfm,fresh,v2,yes,yes,272.44171524297235,271.6746024949251,273.5716469702829,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,405.7506437230901,404.63822265283795,406.7111404547191,0.6714510980022099
comment-links,278,comments,gfm,fresh,v1,yes,yes,557.6525303249864,556.298014769575,558.2704949831617,0.4885510249262205
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1391.9131044453734,1384.8716085271317,1394.9725093239476,0.19573184157320686
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,633.3903174850384,632.9934731012659,638.2393844809121,0.4301324281759451
comment-links,278,comments,gfm,fresh,bun,yes,yes,1360.7896825892583,1353.9366987057479,1364.0884848691385,0.20020853973891153
comment-quote,290,comments,gfm,fresh,v2,yes,yes,185.57386970898938,184.8425439850171,186.02531299965395,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,249.80847990507965,249.22791233122388,251.15770523528,0.7428645728099477
comment-quote,290,comments,gfm,fresh,v1,yes,yes,272.98032480794586,272.0031695776339,288.54653603161785,0.6798067583791948
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1116.2399972098215,1112.944240222535,1125.597322475664,0.16624907741422454
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,470.2274339957187,469.84442974559636,474.0540262147905,0.3946470501137945
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1180.975407528249,1175.7677837171052,1182.2035948157645,0.15713609997806025
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,183.20554679156288,183.20208498144777,187.47341510007504,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,249.74562087994406,249.57441030770372,255.30063104349733,0.7335686053115308
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,466.651840016915,464.1976435427192,475.2343282479206,0.3925957878681505
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1181.535402871641,1177.7864730461392,1209.918294951059,0.15505717928239332
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,543.6818393343143,543.6114604471226,556.4075501350753,0.3369719816572875
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1176.3404280338664,1174.2896200673324,1201.3597760062933,0.1557419454653721
comment-table,310,comments,gfm,fresh,v2,yes,yes,736.1016590641555,734.4086990310698,749.5534278423675,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,784.3470804874667,782.4506414267835,801.1065622998078,0.9384897035718843
comment-table,310,comments,gfm,fresh,v1,yes,yes,991.4144537872585,989.6041132761213,1015.0467874559891,0.7424762229884849
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2130.226526737186,2117.855092005076,2157.5285290948277,0.3455508838262491
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,899.8048467275346,899.5531820106247,918.1465110663877,0.8180681197053506
comment-table,310,comments,gfm,fresh,bun,yes,yes,1695.278074186992,1692.7514807854861,1730.719050732894,0.4342070308537254
comment-incident,1124,comments,gfm,fresh,v2,no,yes,848.638777667067,848.0377548445504,849.2621858016305,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1027.3688883611237,1025.1782274590164,1030.246615012356,0.8260312213861468
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1103.72122767565,1102.1616912363456,1176.5210930150517,0.7688886979679039
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2768.793798396018,2765.294118365274,2772.734899967256,0.3065012563083208
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,1768.979667609618,1765.6041002100217,1775.8332832352444,0.479733483208325
comment-incident,1124,comments,gfm,fresh,bun,no,yes,4401.705531875463,4377.260639976465,4423.443959805654,0.19279771704889173
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,6864.701576386387,6856.934511612022,6995.391759776536,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,8591.91727311644,8578.1875,8730.78460916254,0.7989720289632676
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,12687.572443181818,12664.588541666668,12884.697671207658,0.5410571334373278
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,22593.877790178572,22542.271484375,22891.442045454547,0.303830163203345
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,17440.79144965278,17337.13249143836,17658.569762323943,0.3936003475646773
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,40175.96435546875,39746.15478515625,40588.604334677424,0.17086588179063747
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,1316.8242763157896,1302.88017578125,1317.4792050842993,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,1886.8902805567056,1867.2768889925374,1888.3215118242858,0.6978806822446907
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,3078.3964747536947,3046.905109489051,3090.694135802469,0.427763053627181
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,md4c,no,yes,5425.994831074722,5395.8446255387935,5473.819050218341,0.24268808159829508
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,pulldown-cmark,no,yes,3601.947303343105,3572.850391356329,3645.8320697854515,0.36558676888293024
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,bun,no,yes,7143.462641538149,7138.623517557959,7167.953839285714,0.18433977223575815
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v2,no,yes,4910.955392156862,4905.633386709176,4915.790992647058,1.0
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,ox-content,no,yes,6453.782860824742,6452.930331829897,6469.189594072164,0.7609421478939069
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v1,no,yes,11176.687918526786,11151.444966814159,11241.14884597209,0.43939272778801736
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,md4c,no,yes,18688.695195895525,18615.164926744954,18769.94916044776,0.2627767931725604
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,pulldown-cmark,no,yes,12867.360331632652,12748.283617424244,12975.931539948453,0.3816598949268521
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,bun,no,yes,25771.829719387755,25545.54931760204,26156.398763020836,0.19055516995219107
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v2,no,yes,3335.7112931072697,3334.9322916666665,3381.339738175676,1.0
legacy-docs-releasing,4141,technical-docs,gfm,fresh,ox-content,no,yes,4127.416893632209,4118.611636513158,4156.553635027282,0.8081837573164985
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v1,no,yes,7732.405864197532,7721.534915123457,7821.202425635676,0.43139371518924396
legacy-docs-releasing,4141,technical-docs,gfm,fresh,md4c,no,yes,10561.208902310924,10508.314964110645,10762.845741692454,0.3158455934317685
legacy-docs-releasing,4141,technical-docs,gfm,fresh,pulldown-cmark,no,yes,9152.044251824818,9069.439119356688,9192.671085028445,0.3644771814168365
legacy-docs-releasing,4141,technical-docs,gfm,fresh,bun,no,yes,17015.924197635133,16993.964738175677,17528.27517361111,0.19603468224023152
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v2,no,yes,2421.3258607771804,2418.2117686170213,2424.534671753876,1.0
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,ox-content,no,yes,3187.7870859043173,3182.8300731552163,3199.448905595892,0.7595632316486075
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v1,no,yes,5774.784562211982,5713.005398375883,5841.8621104787,0.4192928471516368
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,md4c,no,yes,9141.385378649635,9125.38639271263,9194.853214563653,0.2648751540912345
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,pulldown-cmark,no,yes,7279.751180959302,7252.547687861272,7302.215843023256,0.3326110742782429
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,bun,no,yes,15638.498637635032,15436.928285437369,15695.3044921875,0.1548310945240042
legacy-docs-readme,1825,readme,gfm,fresh,v2,no,yes,3163.8181932133402,3146.626648869347,3170.350435126582,1.0
legacy-docs-readme,1825,readme,gfm,fresh,ox-content,no,yes,3885.0749708850935,3878.152428405573,3890.0040974016083,0.814351902324439
legacy-docs-readme,1825,readme,gfm,fresh,v1,no,yes,4853.760356104651,4840.419341216217,4882.298948009455,0.6518282653230204
legacy-docs-readme,1825,readme,gfm,fresh,md4c,no,yes,8794.95640528046,8781.696131993007,8811.046654929578,0.3597309693671472
legacy-docs-readme,1825,readme,gfm,fresh,pulldown-cmark,no,yes,5005.314938247012,4996.254606573705,5011.1275625,0.6320917329372664
legacy-docs-readme,1825,readme,gfm,fresh,bun,no,yes,9756.497919127,9744.135658914729,9805.699584960938,0.3242780574995946
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v2,no,yes,357.5344871052581,357.0908901342091,358.0524844767308,1.0
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,ox-content,no,yes,671.3816398369697,669.5531117582316,673.640007568593,0.5325353955048242
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v1,no,yes,878.9180847109131,875.6714343210615,881.2887015729181,0.40678931668911505
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,md4c,no,yes,1911.616804140949,1899.005664603906,1923.7407831882442,0.18703250898965004
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,pulldown-cmark,no,yes,1022.1688014278295,1016.9472053800835,1025.4084666186839,0.3497802775880378
