case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,yes,101.40251319094517,101.31719995451576,101.74479078182915,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,yes,152.04599777544453,151.940251578661,152.06844947802932,0.6669199760240035
comment-ack,37,comments,gfm,fresh,v1,yes,yes,157.61325552758757,156.49382827315048,158.74856202788075,0.6433628494730023
comment-ack,37,comments,gfm,fresh,md4c,yes,yes,764.7867805204703,762.0169018828816,772.0087588820761,0.13258925987441414
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,yes,188.27561500480186,187.37637850038612,188.27676933667547,0.5385854837779123
comment-ack,37,comments,gfm,fresh,bun,yes,yes,298.8762627805902,297.2661996746551,299.1674920260258,0.33927924635950885
comment-question,160,comments,gfm,fresh,v2,yes,yes,117.2284866155166,116.01333026938553,118.93203555164533,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,162.38636383356504,160.7236737432502,163.63824562987884,0.7219109034036122
comment-question,160,comments,gfm,fresh,v1,yes,yes,180.4651997140768,178.68109050344987,183.16478572736008,0.6495905404546118
comment-question,160,comments,gfm,fresh,md4c,yes,yes,863.7931937312552,853.0112782585592,866.8844680823902,0.13571360305484062
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,286.95944097639165,284.91046864407554,287.98202849281995,0.40851935805506767
comment-question,160,comments,gfm,fresh,bun,yes,yes,802.2380333230133,795.3703979802799,805.6786702190155,0.14612681242490494
comment-review,282,comments,gfm,fresh,v2,yes,yes,163.82498134022958,163.82204132431923,164.61776558449202,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,yes,211.72985722090434,210.00947511022866,211.8765678605292,0.7737452973829094
comment-review,282,comments,gfm,fresh,v1,yes,yes,290.0432932134571,288.8510136774362,292.27589518750096,0.5648294071039345
comment-review,282,comments,gfm,fresh,md4c,yes,yes,1049.0730545450194,1042.241585263084,1053.7662023807409,0.15616165207034138
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,yes,487.95001054791857,485.14780024761234,492.34125625779825,0.33574132144452806
comment-review,282,comments,gfm,fresh,bun,yes,yes,1368.0805788167572,1366.4845116120218,1368.2067910240066,0.11974804984215227
comment-links,278,comments,gfm,fresh,v2,yes,yes,342.6705042980534,341.98461940614834,343.5354879431162,1.0
