case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,121.54518421409145,120.88050160584797,123.64557532084339,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,162.13386757489587,160.94909544342494,168.11111776616485,0.7496594390308061
comment-question,160,comments,gfm,fresh,v1,yes,yes,179.53971807948184,178.76820844313335,184.07350811681528,0.6769821492104808
comment-question,160,comments,gfm,fresh,md4c,yes,yes,1080.2950034254027,1075.9431094764054,1088.8602871039552,0.11251110467853281
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,288.2372120604646,285.5081430324941,295.544044382957,0.4216845678780519
comment-question,160,comments,gfm,fresh,bun,yes,yes,763.2470274703392,759.7370073370278,773.5381350280611,0.1592475042017964
comment-links,278,comments,gfm,fresh,v2,yes,yes,373.80844172987736,373.50106905437707,376.3049544078069,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,465.4667457186613,464.4541335618116,465.4686618973048,0.8030830240143851
comment-links,278,comments,gfm,fresh,v1,yes,yes,690.9363308503498,689.7723555003197,691.7517245935637,0.5410172038135894
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1620.6505680531154,1616.5709383074936,1622.6210096897921,0.23065332471942596
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,742.3827241752539,742.2401197262858,742.5237690881586,0.5035252431892968
comment-links,278,comments,gfm,fresh,bun,yes,yes,1575.4888420969774,1574.7582430843136,1578.5606316648677,0.23726505179962934
comment-quote,290,comments,gfm,fresh,v2,yes,yes,228.32483596387345,228.18894884254382,229.21710062303225,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,274.394785885522,273.4927604341162,274.64263368042566,0.8321034061453739
comment-quote,290,comments,gfm,fresh,v1,yes,yes,349.0465593584905,346.5146034720568,349.26005709604215,0.6541386237512542
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1368.01615250452,1351.9425276714223,1376.2145749246624,0.16690214917847546
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,567.7569407432875,567.3933099142246,572.7062722904768,0.4021524345699034
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1422.846007536974,1421.2935014204545,1426.2130498759634,0.16047051807041052
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,240.2252444033436,240.20615361661356,240.87250352097197,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,285.3856665678263,283.7305081210169,286.6517190301,0.8417565159890409
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,593.3358833423997,591.0505403094055,594.9914867890704,0.4048722673742546
