case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,96.13766355402859,95.9424368241582,96.32136102924814,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,150.2285985798914,149.91365805129425,150.6761558512975,0.6399424907295709
comment-question,160,comments,gfm,fresh,v1,yes,yes,157.42017037381797,156.78695826739994,157.48442241655437,0.6107074037954298
comment-question,160,comments,gfm,fresh,md4c,yes,yes,851.6216474209057,851.2022449779558,854.3753760215554,0.1128877640031542
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,247.7813804717531,247.6838740028399,248.06469838447975,0.3879938975680548
comment-question,160,comments,gfm,fresh,bun,yes,yes,645.6949771942479,643.31864030459,646.0790477482469,0.1488902143420375
comment-links,278,comments,gfm,fresh,v2,yes,yes,301.66512413931844,300.92764192892025,301.7721847155369,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,405.8369171018462,404.67721528003176,405.9783528880964,0.7433161238597091
comment-links,278,comments,gfm,fresh,v1,yes,yes,560.2566864346512,558.7772563774618,561.7650785593461,0.5384409172499985
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1400.946599299322,1399.4204101226485,1404.63519751983,0.215329495278546
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,625.9885725054825,625.426971298149,626.6398133359451,0.48190196656773066
comment-links,278,comments,gfm,fresh,bun,yes,yes,1367.7067491420644,1358.7617050107278,1372.650038181391,0.22056272247581366
comment-quote,290,comments,gfm,fresh,v2,yes,yes,186.76586903464874,185.84680281862663,186.82643677122792,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,254.18121254833807,252.95792736933527,254.28674215269507,0.7347744829847768
comment-quote,290,comments,gfm,fresh,v1,yes,yes,274.18830171271713,272.8467496418679,275.37687153449974,0.6811591445295653
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1121.9441471423984,1114.2696949771148,1125.0093721897483,0.16646628043859674
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,469.85918962148014,466.4897572321874,471.3890796161559,0.397493277049892
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1183.9599564614355,1178.8700848391245,1187.876807374451,0.15774677852521796
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,193.4827053727396,192.20838488034934,193.59381917800457,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,246.9455197798331,246.4967006389173,248.27909015443535,0.7835036065656957
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,466.0925336676113,465.6190585683918,470.0580162320886,0.41511650884053775
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1175.3093178043955,1171.6064144866864,1181.8812322778829,0.16462279541370958
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,570.7416930139435,567.6115096933466,572.2160550458716,0.3390022276995501
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1184.1362748579545,1175.2097480028197,1185.2385526763114,0.16339564075591653
comment-table,310,comments,gfm,fresh,v2,yes,yes,758.3277365069739,757.9929607533031,758.9016464306885,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,785.6296704701717,785.5797432901761,786.9667833543108,0.9652483415667606
comment-table,310,comments,gfm,fresh,v1,yes,yes,781.7653408074871,780.7610197238884,781.9110817185546,0.9700196426253632
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2143.9279157867604,2139.5677636730184,2151.27341690334,0.3537095304944939
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,911.1456126024832,910.2720065695663,912.5742944055567,0.8322794139797048
comment-table,310,comments,gfm,fresh,bun,yes,yes,1708.0442708333335,1706.9015603683492,1710.7057495486756,0.44397428653122395
comment-incident,1124,comments,gfm,fresh,v2,no,yes,870.764855233828,866.1486110281252,877.0613275771389,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1032.125309662606,1031.5993902089072,1038.869016399512,0.8436619537200134
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1117.517384383378,1112.350965313903,1122.321027827648,0.779195802590845
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2790.491463778014,2774.054331520403,2797.090206332769,0.3120471309576807
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,1783.0578590350678,1782.7774522463606,1793.0102959290327,0.4883547950065161
comment-incident,1124,comments,gfm,fresh,bun,no,yes,4397.411787280702,4375.558471254355,4409.00088028169,0.1980175833776752
