case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,yes,103.14669840413895,103.09186924466398,104.23490857236433,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,yes,154.51383713569095,153.673676963711,156.11958642161952,0.6675563840509481
comment-ack,37,comments,gfm,fresh,v1,yes,yes,157.09825004542847,156.19195721551412,157.14793473805742,0.6565744581770439
comment-ack,37,comments,gfm,fresh,md4c,yes,yes,980.9813174964786,978.4106169808754,984.9438402230971,0.10514644526296925
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,yes,181.62709956560485,181.32847111329633,182.9351837927503,0.5679036809530822
comment-ack,37,comments,gfm,fresh,bun,yes,yes,288.50069328172805,288.2426489811502,288.56084842262885,0.3575266916374917
comment-question,160,comments,gfm,fresh,v2,yes,yes,121.89078404077611,121.78561770040452,123.74113920657075,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,162.73301220680617,162.53102787720874,164.96439637742776,0.749023092412703
comment-question,160,comments,gfm,fresh,v1,yes,yes,180.13356994002623,180.0274027686902,183.08109051686836,0.6766688967601013
comment-question,160,comments,gfm,fresh,md4c,yes,yes,1080.1809385206702,1078.4488415948276,1091.3366283745713,0.11284293185890507
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,288.09618181749386,287.58668462643675,289.7652964319785,0.42309059173159314
comment-question,160,comments,gfm,fresh,bun,yes,yes,763.6681982824632,762.6980193157636,771.1859428793612,0.15961222991204294
comment-review,282,comments,gfm,fresh,v2,yes,yes,174.10811131880104,173.37365485748597,175.95785558562238,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,yes,212.4336497336618,212.2529158005977,212.52106532104133,0.819588193947092
comment-review,282,comments,gfm,fresh,v1,yes,yes,296.1796258689118,295.08142687660506,296.692986287218,0.5878463476615395
comment-review,282,comments,gfm,fresh,md4c,yes,yes,1265.9731136664914,1265.762516588726,1266.2113097000633,0.1375290750168871
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,yes,487.71415588746925,487.7125693617012,490.02365609375363,0.3569880209894362
comment-review,282,comments,gfm,fresh,bun,yes,yes,1305.9522085222438,1301.1445061937388,1306.6447690760367,0.13331889956050832
comment-links,278,comments,gfm,fresh,v2,yes,yes,373.8742295323551,373.25293540475064,379.2449531488338,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,465.93478035806186,465.5906901634761,469.7853450522598,0.8024175169860469
comment-links,278,comments,gfm,fresh,v1,yes,yes,691.673205464836,688.1414466709678,697.1653319557754,0.5405359446895077
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1626.8608582574773,1623.4187693973504,1644.5267338429403,0.2298132797495724
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,746.1699346513999,745.0834194529759,752.8471070327641,0.5010577512842619
comment-links,278,comments,gfm,fresh,bun,yes,yes,1576.45397870933,1574.1672528981117,1592.2051651057113,0.23716152490442657
comment-checklist,287,comments,gfm,fresh,v2,no,no,502.7746346190254,500.70605954290295,504.3197672612806,1.0
comment-checklist,287,comments,gfm,fresh,ox-content,no,no,603.9069900699632,601.3078779193359,608.3210777377458,0.832536537722106
comment-checklist,287,comments,gfm,fresh,v1,no,no,825.091432412785,820.6924260298981,828.8137116744376,0.6093562663095164
comment-checklist,287,comments,gfm,fresh,md4c,no,no,1760.6092567314931,1742.8830738395764,1765.2799393825826,0.28556855116870633
comment-checklist,287,comments,gfm,fresh,pulldown-cmark,no,no,897.8496201972431,897.6365205371706,906.9084369373254,0.5599764407190749
comment-checklist,287,comments,gfm,fresh,bun,no,no,1778.9560588549075,1770.120619827374,1797.7889815228161,0.2826234139491086
comment-quote,290,comments,gfm,fresh,v2,yes,yes,228.70457737945486,228.51189612127757,230.3763709809142,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,273.86383347808413,273.4561798899245,275.15754643609097,0.8351032499432126
comment-quote,290,comments,gfm,fresh,v1,yes,yes,349.37107814041315,349.22098842685637,353.2732854040279,0.6546179454715422
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1358.2953812646049,1356.8356958232314,1369.862968921139,0.1683761724688525
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,564.6601386065944,563.2928838718591,569.0266867628138,0.40503049842304545
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1427.8356385355512,1426.8774521576254,1437.1596011864779,0.16017570314607357
comment-unicode,327,comments,gfm,fresh,v2,yes,yes,401.3651990452186,398.08241319776084,401.5399668074797,1.0
comment-unicode,327,comments,gfm,fresh,ox-content,yes,yes,431.59175364497014,428.81874602910386,433.2277999889054,0.9299649394491998
comment-unicode,327,comments,gfm,fresh,v1,yes,yes,696.2547000801922,691.904068270634,698.7734593104411,0.5764631807856964
comment-unicode,327,comments,gfm,fresh,md4c,yes,yes,1550.1576246902107,1543.6371687603644,1551.1358891098284,0.25891895937061815
comment-unicode,327,comments,gfm,fresh,pulldown-cmark,yes,yes,803.9301145498392,796.6624787748171,804.7099795717194,0.49925384281687607
comment-unicode,327,comments,gfm,fresh,bun,yes,yes,1665.1693165207914,1646.5279154802458,1665.6602030625832,0.24103566830298795
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,241.31458791774816,240.2352929142168,242.97005993467877,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,285.0532655611582,284.2685198825218,286.3684221652144,0.8465596331362641
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,596.5825571835887,594.4575307078426,599.544322468679,0.4044948767140831
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1419.4574686760818,1406.5160663249346,1427.2037136130136,0.17000480341465998
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,676.645041964364,672.2374348501984,683.0891730002405,0.3566339409170712
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1366.1670658019543,1352.8193126608753,1377.0320240827773,0.17663622111699345
comment-reproduction,298,comments,gfm,fresh,v2,yes,yes,251.25857426196944,251.13890382419953,252.47452267046418,1.0
comment-reproduction,298,comments,gfm,fresh,ox-content,yes,yes,321.1133513688792,320.86010216744666,322.3878827766995,0.782460689320065
comment-reproduction,298,comments,gfm,fresh,v1,yes,yes,472.60091773240487,471.670704170574,474.54181242795124,0.5316506270608568
comment-reproduction,298,comments,gfm,fresh,md4c,yes,yes,1530.3790353427173,1527.8408324959446,1534.56370998361,0.16418061699708392
comment-reproduction,298,comments,gfm,fresh,pulldown-cmark,yes,yes,588.6871772880654,583.1947100067505,593.0096185839602,0.4268116989051042
comment-reproduction,298,comments,gfm,fresh,bun,yes,yes,1384.7686504401809,1382.5551821363308,1387.4205633261022,0.18144444141055696
comment-table,310,comments,gfm,fresh,v2,yes,yes,1001.1340670284401,996.3139655048127,1004.0102941895759,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,989.1771698495244,986.3686554608837,997.7767315920025,1.012087720525065
comment-table,310,comments,gfm,fresh,v1,yes,yes,973.7741344229107,969.4545920878363,979.5994835680751,1.0280967953844284
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2354.294587773819,2353.5344199026677,2367.112132165374,0.4252373820283449
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1205.3876497371762,1202.203241845306,1208.0193623893692,0.8305494645201719
