case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,129.8652499528922,129.44140673885906,130.75230236670086,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,166.19480047942184,165.63146559269083,168.3035390516216,0.7814038079306341
comment-question,160,comments,gfm,fresh,v1,yes,yes,182.98461866615838,182.88618407732548,185.88964534794053,0.7097058260936213
comment-question,160,comments,gfm,fresh,md4c,yes,yes,888.2233664772727,882.9192250595822,902.563625671623,0.14620787389093656
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,293.8874322692866,292.72385766880643,296.79583495349436,0.4418877287474402
comment-question,160,comments,gfm,fresh,bun,yes,yes,779.057016670526,776.0019000770045,785.6343882322722,0.16669543714258597
comment-links,278,comments,gfm,fresh,v2,yes,yes,361.12242525161565,359.96355652775094,365.33295365954825,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,479.311267312822,475.9391597280315,484.0265149225752,0.7534194371774062
comment-links,278,comments,gfm,fresh,v1,yes,yes,706.4222226216574,704.6880649834081,711.4566215999491,0.5111991294829694
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1449.5732991424657,1445.2976477083862,1461.518436320655,0.2491232595586904
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,758.6515757736651,757.1243237457433,760.2391194597242,0.4760056352395324
comment-links,278,comments,gfm,fresh,bun,yes,yes,1615.665031492248,1615.6158689753763,1625.473316802265,0.22351317767772602
comment-quote,290,comments,gfm,fresh,v2,yes,yes,324.49337389981474,316.93973581793375,328.4299565191589,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,279.8303842193032,275.0198545879907,281.1148484685196,1.1596073628856156
comment-quote,290,comments,gfm,fresh,v1,yes,yes,358.009934233723,352.1805408151663,361.46910097721576,0.9063809209494523
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1166.620017371082,1144.54631817925,1169.371456234675,0.2781482994189006
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,579.4880740766909,570.4695875126492,579.7007727548358,0.5599655772326912
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1438.3367817745327,1410.403504040683,1449.708858289192,0.2256031953097066
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,249.80848761213974,245.02633464817717,253.02146745410343,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,286.96061052752816,282.64289002325575,289.13478515097137,0.8705323255094468
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,607.8138488605305,602.1179758793652,616.7927426194651,0.410995057253888
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1218.6287567981572,1214.3141796428733,1235.569870020748,0.20499145963737977
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,682.7500834064865,673.1753977808418,684.8894801631188,0.36588569329168746
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1383.7979570387915,1364.8568187019923,1404.5507606096385,0.1805238158803966
comment-table,310,comments,gfm,fresh,v2,yes,yes,1031.2555278222553,1024.2014585569232,1034.1794676440982,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,1005.885078422084,998.7123097411935,1008.0965842777676,1.0252220158588787
comment-table,310,comments,gfm,fresh,v1,yes,yes,997.4022027538565,987.0745579957428,1000.6826394953748,1.03394149819895
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2186.854649256993,2161.914252483938,2193.148953004501,0.47157021989213377
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1223.6245413405088,1212.3866503305983,1226.8007747782558,0.8427875487790488
comment-table,310,comments,gfm,fresh,bun,yes,yes,2163.909331747405,2152.6008734395,2180.52390748232,0.4765705811663992
comment-incident,1124,comments,gfm,fresh,v2,no,yes,1393.5679761386011,1391.7183373764083,1447.3126342646362,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1332.465916936499,1330.7699553161174,1396.7992484270872,1.0458563768314488
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1534.2009930479026,1525.2739329268293,1576.735294126417,0.9083346852553429
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2851.140417444998,2837.392438946733,2939.3341619963962,0.4887756378507039
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,2225.3318673239446,2223.3526561374065,2321.451752444218,0.6262292813945208
comment-incident,1124,comments,gfm,fresh,bun,no,yes,5442.2355978260875,5426.524509457933,5745.033949554188,0.2560653523885046
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,9769.325961538461,9721.303779069767,9861.998388095166,1.0
