case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,105.21383406278932,105.18871729651201,105.23038455224865,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,147.58381702907286,147.54306101820947,147.74752356399952,0.7129090179451247
comment-question,160,comments,gfm,fresh,v1,yes,yes,154.6733364347945,154.31174966879635,155.34068745616264,0.6802325241567685
comment-question,160,comments,gfm,fresh,md4c,yes,yes,846.6766995856804,846.5450236966824,847.1245767947852,0.12426683539806341
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,242.83253571363292,242.44633493865445,242.92589210468634,0.4332773355662096
comment-question,160,comments,gfm,fresh,bun,yes,yes,642.6081389556919,642.428133949752,644.1800188684757,0.16372938293899178
comment-links,278,comments,gfm,fresh,v2,yes,yes,285.97416672622313,285.88393352542744,288.2451421266028,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,395.7498483967701,395.49823532900984,395.7925599185262,0.7226134586904799
comment-links,278,comments,gfm,fresh,v1,yes,yes,543.2072305926417,543.1176447872208,551.6401170239051,0.526455007629821
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1384.5889915559246,1384.1811532194492,1386.4293237250554,0.20654083520110986
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,621.2665076203238,621.1284080670288,621.5643785842874,0.46030835916394075
comment-links,278,comments,gfm,fresh,bun,yes,yes,1349.8263308049434,1346.8061759956943,1349.891502138567,0.21185997057539088
comment-quote,290,comments,gfm,fresh,v2,yes,yes,257.4980731533915,257.0765062577065,257.50135941826517,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,248.7506803053464,248.6569967469519,248.99059536089936,1.0351653022106613
comment-quote,290,comments,gfm,fresh,v1,yes,yes,271.9577526097908,271.25320030101875,272.26534162634516,0.9468311555098549
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1114.4912491619555,1113.1080265296669,1117.9827318572238,0.2310453970338644
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,470.30874237561795,470.2267371262171,471.22587043646604,0.5475085830910144
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1174.6948967378835,1173.7258997803633,1179.4583935054898,0.21920421538261653
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,199.77443942964547,199.69633356762316,200.22740446598397,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,244.5024714402948,244.50158243675332,244.72934686551025,0.8170651128916236
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,463.9748891880603,461.87266176662644,464.7215337092681,0.4305716625726097
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1174.684131116193,1174.6099911971833,1176.0513434854186,0.17006651757508498
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,564.2809013335516,563.1741673415925,565.3738537283366,0.35403367180693746
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1159.705323429279,1159.5043368448462,1160.2178513450835,0.17226310459531843
comment-table,310,comments,gfm,fresh,v2,yes,yes,757.1504201998789,756.2060729431612,765.1786243281626,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,775.4050810617229,774.4783639597983,783.8312776202409,0.9764579039940662
comment-table,310,comments,gfm,fresh,v1,yes,yes,772.5896940667491,770.4500913347795,780.7300158266511,0.9800162052568925
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2113.6870513091217,2108.543897554806,2150.945689331712,0.35821311377714804
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,895.7517236747851,894.9935219493053,915.3560006405564,0.8452681699497043
comment-table,310,comments,gfm,fresh,bun,yes,yes,1711.2732558139535,1709.6291837431695,1733.640066046612,0.44244857893238465
comment-incident,1124,comments,gfm,fresh,v2,no,yes,1075.604935075488,1075.4637387145315,1075.9460924053355,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1016.0018232933269,1015.6341917952388,1016.5846290650406,1.0586643748226356
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1104.8619197685957,1104.2345442545693,1105.2490863168323,0.9735197818210302
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2755.902395374449,2749.5029188807357,2764.873948519824,0.390291374934323
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,1765.5497373670742,1763.2365866611872,1766.634759695262,0.6092181445307308
comment-incident,1124,comments,gfm,fresh,bun,no,yes,4351.481119791667,4341.175184461806,4353.206000434027,0.24718134020698312
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,7471.974237351191,7464.088076636905,7496.3276571856295,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,8550.18668606141,8542.481717687075,8574.811750856165,0.8738960342856688
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,12370.449142156864,12365.425857843136,12385.810564696176,0.6040180232331004
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,22521.159040178572,22497.477120535717,22651.800603693184,0.3317757413826222
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,17289.009203767124,17227.597174657534,17382.1796875,0.43218059226454186
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,39595.703125,39547.8515625,39686.2998046875,0.18870669410170224
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,1341.0621883107585,1340.9148579849948,1342.0434717006437,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,1860.5014096689706,1860.0160751736848,1862.3417169328495,0.7208068649350644
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,2973.8473581891185,2968.9968527843603,2982.6682443495,0.4509519241523476
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,md4c,no,yes,5405.175242456897,5393.021484375,5419.1665990259735,0.2481070692725931
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,pulldown-cmark,no,yes,3550.7609773371105,3549.595938903353,3579.4898008340156,0.3776830366420459
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,bun,no,yes,7080.868997175141,7049.5413448033705,7085.838758458886,0.18939231736186124
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v2,no,yes,4988.0374128486055,4986.302228585657,5009.695092621481,1.0
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,ox-content,no,yes,6422.939983974359,6420.105528846154,6430.458733974359,0.7765972319987535
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v1,no,yes,10996.607730263158,10978.795367324561,11002.095805921053,0.4535978308220727
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,md4c,no,yes,18610.255744485294,18510.30193014706,18790.94776119403,0.2680262690278553
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,pulldown-cmark,no,yes,13071.60791015625,12954.93717783505,13081.841471354166,0.3815932551781215
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,bun,no,yes,25469.52986607143,25246.067812499998,25480.54193239796,0.195843324909318
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v2,no,yes,3910.0809570312504,3904.854604750779,3925.5221560310347,1.0
legacy-docs-releasing,4141,technical-docs,gfm,fresh,ox-content,no,yes,4098.604818252437,4098.057537769206,4100.422643442624,0.954002918168244
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v1,no,yes,7538.882153614458,7538.399755271084,7542.38045933735,0.5186552697546271
legacy-docs-releasing,4141,technical-docs,gfm,fresh,md4c,no,yes,10542.525603991597,10531.41425945378,10649.44716631356,0.37088655070952076
legacy-docs-releasing,4141,technical-docs,gfm,fresh,pulldown-cmark,no,yes,9142.259694343065,9085.031702898552,9368.956040111942,0.4276930526760995
legacy-docs-releasing,4141,technical-docs,gfm,fresh,bun,no,yes,16679.867393092107,16531.18133223684,16869.31559684685,0.23441918720832236
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v2,no,yes,2508.3343875250503,2504.8242474323647,2515.6810197909344,1.0
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,ox-content,no,yes,3163.454632859449,3161.9317787247473,3165.5277682881024,0.7929098655218473
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v1,no,yes,5763.809907834102,5761.327307516489,5770.089213709678,0.4351868690387849
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,md4c,no,yes,9101.64741847826,9073.492300724636,9126.877052919708,0.2755912498250156
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,pulldown-cmark,no,yes,7215.356411637931,7206.94522270115,7235.759844653179,0.34763832088450397
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,bun,no,yes,15197.765018917133,14975.027901785714,15260.768269725242,0.16504626729014749
legacy-docs-readme,1825,readme,gfm,fresh,v2,no,yes,3240.259731238536,3238.600024287565,3245.3837030440413,1.0
legacy-docs-readme,1825,readme,gfm,fresh,ox-content,no,yes,3831.893874235474,3829.5465405198775,3847.0490686939593,0.8456026804461074
legacy-docs-readme,1825,readme,gfm,fresh,v1,no,yes,4620.754958487085,4618.7610701107005,4633.434606481482,0.7012403298484915
legacy-docs-readme,1825,readme,gfm,fresh,md4c,no,yes,8763.890515734265,8757.958151223776,8773.510380244756,0.36972845854488146
legacy-docs-readme,1825,readme,gfm,fresh,pulldown-cmark,no,yes,5050.395287298386,5042.000063004032,5051.797127016129,0.6415853704338165
legacy-docs-readme,1825,readme,gfm,fresh,bun,no,yes,9678.062574537866,9666.746754807693,9734.308994973353,0.33480458576113936
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v2,no,yes,372.8367465658322,372.47963193725474,378.24035000487356,1.0
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,ox-content,no,yes,659.0364061676331,657.7041442004208,659.6772029787571,0.5657301221550378
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v1,no,yes,841.7750264477675,841.5887886164337,842.701854264152,0.4429173292764191
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,md4c,no,yes,1899.321675834598,1899.1579796891072,1900.0156487462004,0.19629994819176727
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,pulldown-cmark,no,yes,1018.7565709046455,1017.7137504849386,1024.2247718878261,0.3659723600454983
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,bun,no,yes,2114.743468682833,2112.0905340333875,2115.2433738267137,0.17630353377946756
