case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,yes,118.2140705531175,116.84711935335179,118.65767503524808,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,yes,156.98012013165322,155.8019397139758,159.85783531573668,0.7530512172750019
comment-ack,37,comments,gfm,fresh,v1,yes,yes,159.6379613956405,158.22928373567134,162.61796343384805,0.7405135314910489
comment-ack,37,comments,gfm,fresh,md4c,yes,yes,788.1613949637899,781.0246459137991,801.5701584576493,0.1499871362749866
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,yes,185.2177794181203,184.80334269260095,188.02061476168848,0.6382436444519447
comment-ack,37,comments,gfm,fresh,bun,yes,yes,296.26765231519755,292.26316269213686,299.03760901414375,0.3990110618872093
comment-question,160,comments,gfm,fresh,v2,yes,yes,129.59923353348682,127.46734805817849,129.70882743867992,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,166.3990037975584,163.59748867665047,166.62215544157456,0.7788462104686498
comment-question,160,comments,gfm,fresh,v1,yes,yes,183.62898183043035,180.26462950618608,183.87723728969092,0.7057667708094327
comment-question,160,comments,gfm,fresh,md4c,yes,yes,881.3502970582656,870.4426561246082,886.894844520838,0.14704622437418782
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,291.92059285381697,287.48774664336906,293.49150643648096,0.4439537213408762
comment-question,160,comments,gfm,fresh,bun,yes,yes,773.1071249495144,761.0279878400139,773.6819493586909,0.16763425061171172
comment-review,282,comments,gfm,fresh,v2,yes,yes,179.25172014039902,178.57378814061724,180.3102422965132,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,yes,215.5417769739613,213.32415546698167,215.76322760151876,0.8316333040255749
comment-review,282,comments,gfm,fresh,v1,yes,yes,297.0257115314653,295.4746872733409,297.43641424472537,0.6034889007290875
comment-review,282,comments,gfm,fresh,md4c,yes,yes,1068.0472967088801,1056.8990909698166,1068.2776141859383,0.16783125681114666
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,yes,489.81751814270615,486.39906875069244,491.5143488295919,0.36595612345611295
comment-review,282,comments,gfm,fresh,bun,yes,yes,1310.107463695767,1303.582002312929,1312.2571146628857,0.1368221501728845
comment-links,278,comments,gfm,fresh,v2,yes,yes,359.8567674216379,355.32258487638046,361.2142513908448,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,474.60756946755737,466.5096689439577,479.7540601419097,0.7582196125218702
comment-links,278,comments,gfm,fresh,v1,yes,yes,698.6473638268156,688.8189794387276,703.41316470283,0.515076397698741
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1439.0858436043354,1420.0862590983493,1454.6564118465224,0.25005927827094765
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,753.7838732759808,741.4834921558463,758.4698017128792,0.4774004594416211
comment-links,278,comments,gfm,fresh,bun,yes,yes,1598.3072307800348,1582.4458715984013,1619.1495685631985,0.22514868261342602
comment-checklist,287,comments,gfm,fresh,v2,no,no,713.7878040866733,709.5588160323193,722.2355547034164,1.0
comment-checklist,287,comments,gfm,fresh,ox-content,no,no,611.8250114623713,604.3504058138841,614.1829763138519,1.1666535213730356
comment-checklist,287,comments,gfm,fresh,v1,no,no,830.9369320968767,825.6323211426575,838.6635137019668,0.8590156202173171
comment-checklist,287,comments,gfm,fresh,md4c,no,no,1550.7513746902107,1545.5233347306153,1568.3583507336432,0.4602851338624573
comment-checklist,287,comments,gfm,fresh,pulldown-cmark,no,no,903.483503197948,897.9341186470594,910.9709165140246,0.7900396648750835
comment-checklist,287,comments,gfm,fresh,bun,no,no,1792.2897340616046,1781.473927335061,1813.6351988283798,0.3982546965044096
comment-quote,290,comments,gfm,fresh,v2,yes,yes,318.6566893759521,316.89242712294043,327.65657206650224,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,277.51515184375694,276.42401171352805,285.4324916765263,1.1482496982916384
comment-quote,290,comments,gfm,fresh,v1,yes,yes,353.34634165633565,353.27342219192104,361.78336016398333,0.9018253532277329
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1159.8417734711074,1145.494890121956,1161.9225171932899,0.274741517907477
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,570.1188043354518,569.519173442337,583.7561567848754,0.5589303263683579
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1418.2454746252456,1416.1524459196662,1466.3420302381228,0.22468373428806698
comment-unicode,327,comments,gfm,fresh,v2,yes,yes,410.8353348572812,410.36768308766807,414.6938899253731,1.0
comment-unicode,327,comments,gfm,fresh,ox-content,yes,yes,435.7097889147119,433.07484095597835,438.77548585888513,0.9429104998549855
comment-unicode,327,comments,gfm,fresh,v1,yes,yes,708.4235034041693,706.8542218042667,716.7556849538163,0.579929001343271
comment-unicode,327,comments,gfm,fresh,md4c,yes,yes,1357.7823866720955,1355.2991037776173,1369.4337535051768,0.30257818844169315
comment-unicode,327,comments,gfm,fresh,pulldown-cmark,yes,yes,805.2854229717593,802.2933651067141,813.0489063982945,0.5101735647233849
comment-unicode,327,comments,gfm,fresh,bun,yes,yes,1684.8591016091232,1668.7743078827325,1697.343368385346,0.24383957950247193
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,247.31480633831382,246.03138950107677,251.0762321514273,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,284.83767204964624,284.1827224761529,288.07986565979536,0.8682657899802231
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,603.4654740775114,601.5440781322263,611.1707783142847,0.40982428483812106
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1212.045423993437,1211.5940998760589,1231.926147095166,0.20404747333929374
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,676.6400773957257,674.2903473369558,684.2369084370689,0.36550422388544745
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1370.4924011423986,1368.1496005732934,1392.0648526860145,0.18045689719414723
comment-reproduction,298,comments,gfm,fresh,v2,yes,yes,258.76167645417064,257.7680647679774,260.6982359483561,1.0
comment-reproduction,298,comments,gfm,fresh,ox-content,yes,yes,324.16793135634157,323.66784981465776,327.4903971070489,0.7982334198558552
comment-reproduction,298,comments,gfm,fresh,v1,yes,yes,475.4562793347128,474.7592110809989,480.3172727820146,0.5442386349723799
comment-reproduction,298,comments,gfm,fresh,md4c,yes,yes,1338.8548259312483,1338.6828456936692,1345.1246378551136,0.19327089946005718
comment-reproduction,298,comments,gfm,fresh,pulldown-cmark,yes,yes,591.427305978619,590.9901439765979,593.9756967800141,0.4375206789378867
comment-reproduction,298,comments,gfm,fresh,bun,yes,yes,1383.519994088153,1379.1560605016539,1398.2486728100066,0.18703139640906646
comment-table,310,comments,gfm,fresh,v2,yes,yes,1015.9695362405632,1013.7911181513477,1021.7354345383987,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,993.6138891298233,989.3505096795695,995.4578909798356,1.022499330328724
comment-table,310,comments,gfm,fresh,v1,yes,yes,982.5389736979243,982.1978442131808,983.0229608190793,1.0340246681684475
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2158.3579060676107,2154.7995077601045,2160.461069778825,0.4707141171463978
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1204.5751436538812,1204.456159270623,1205.2010476878613,0.84342561906
comment-table,310,comments,gfm,fresh,bun,yes,yes,2139.149619985584,2137.115193365129,2143.1611461900684,0.4749408488067375
comment-review-long,957,comments,gfm,fresh,v2,yes,yes,835.610565166878,827.009615170112,843.7653825067476,1.0
comment-review-long,957,comments,gfm,fresh,ox-content,yes,yes,762.6664912462965,755.4883157615127,770.64767793383,1.095643475566078
comment-review-long,957,comments,gfm,fresh,v1,yes,yes,1022.6789861674665,1019.3376787768514,1034.3650822811765,0.8170800187245115
comment-review-long,957,comments,gfm,fresh,md4c,yes,yes,2181.805206464731,2140.708153730901,2197.8499858361856,0.3829904533598819
comment-review-long,957,comments,gfm,fresh,pulldown-cmark,yes,yes,1638.0260631368687,1633.9620643705716,1664.9675432756326,0.5101326431684847
