case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,119.33126751916075,119.30387705499857,119.53254287600865,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,164.21149891733455,163.22839502070622,164.3557572437195,0.7266925173080182
comment-question,160,comments,gfm,fresh,v1,yes,yes,181.80707578897614,181.51561637327896,182.84972419298606,0.6563620640247732
comment-question,160,comments,gfm,fresh,md4c,yes,yes,867.3075914528433,864.7850319847856,868.5361816882146,0.13758817367119627
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,290.786515062103,290.43507005020444,291.33000419921217,0.4103741450791667
comment-question,160,comments,gfm,fresh,bun,yes,yes,768.8050792516226,767.3466425436491,770.8509901903658,0.15521654414057892
comment-links,278,comments,gfm,fresh,v2,yes,yes,329.91532246622734,326.42126264575995,330.0691073654061,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,474.7398017694054,472.8625624220395,480.9205402384086,0.6949392514312009
comment-links,278,comments,gfm,fresh,v1,yes,yes,694.5922596156665,693.9697518182296,703.9540095835187,0.47497696367762127
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1412.2533860045146,1408.039625563063,1422.0696161886342,0.2336091566398076
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,751.1977686197869,746.5229867503041,753.4487027190698,0.4391857061455297
comment-links,278,comments,gfm,fresh,bun,yes,yes,1610.808655425722,1601.9167733674776,1633.6922179772691,0.20481347760018942
comment-quote,290,comments,gfm,fresh,v2,yes,yes,225.29785054552008,224.3121295477347,227.7716046671666,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,275.54668462688073,274.2067933847154,278.1915413950684,0.817639489477426
comment-quote,290,comments,gfm,fresh,v1,yes,yes,350.9608373604658,347.7400759323704,354.8506972083665,0.6419458428466209
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1147.5301114775782,1130.1464949993465,1156.4542776096232,0.19633284415990004
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,563.9742562722173,558.6951791239037,567.8291142309583,0.39948250835898796
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1415.015483597285,1401.6263492460039,1428.5271806710698,0.15921935353863598
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,234.90792201419083,233.5021625186776,235.35312114576246,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,285.5285247259857,282.93245118333573,286.44463524990726,0.8227126247355702
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,602.5606731379122,594.4621371315296,603.431485555562,0.3898494085099806
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1206.6608558853313,1196.3487768916252,1207.8081748771287,0.1946760109673385
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,679.7124295954516,673.9052491510363,683.3749164801229,0.34559897948902063
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1382.1492716151054,1372.2705095050806,1386.2747551631446,0.169958431291354
comment-table,310,comments,gfm,fresh,v2,yes,yes,1002.4342871970127,995.3241373589665,1004.0915316563203,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,997.9153604117264,986.4761941927287,998.1798807861134,1.0045283667979836
comment-table,310,comments,gfm,fresh,v1,yes,yes,988.4200154463522,981.7253959538258,989.3921074188128,1.0141784580761772
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2170.2375765853017,2163.1114422250857,2173.8055284288193,0.4619007144712075
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1215.4957523681576,1206.1498750632356,1219.7243432896512,0.824712291461294
comment-table,310,comments,gfm,fresh,bun,yes,yes,2160.918582685665,2158.1346230158733,2162.230812823834,0.4638926682518285
comment-incident,1124,comments,gfm,fresh,v2,no,yes,1080.6568373634877,1078.8562219097728,1082.081702467083,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1317.037841651184,1316.4469160076633,1319.2874937896613,0.8205207194416351
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1515.864109848485,1510.221541941101,1516.5673672603393,0.7128982277121809
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2824.188700649179,2822.6657967310566,2828.069347258894,0.3826432834020913
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,2196.384757904758,2192.089234894921,2198.693568760984,0.49201617953057586
comment-incident,1124,comments,gfm,fresh,bun,no,yes,5362.857024171435,5354.464342948718,5373.34244216033,0.20150767258809216
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,8908.881870567377,8752.062390734267,8909.28823138298,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,10955.265081521738,10825.318830818966,10974.797834429824,0.8132055047754162
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,16289.55275974026,16072.09875801282,16354.377840909092,0.5469077022535412
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,22998.792613636364,22612.851004464286,23212.999131944445,0.38736302466961475
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,22286.161458333336,22013.603344298244,22459.879743303572,0.39974949868435644
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,46572.16956018518,46148.3562541336,46578.55902777778,0.19129196588220856
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,1720.8733174377705,1716.7263501378807,1722.4750387870356,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,2456.5491222336186,2444.8205338426924,2469.057657712967,0.7005246920823084
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,4169.472604166667,4156.096501245847,4170.499114583334,0.4127316523720662
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,md4c,no,yes,5524.455671806168,5507.4493174704385,5527.088582377392,0.3115009730678403
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,pulldown-cmark,no,yes,4744.917436079546,4737.509351325758,4753.327239016231,0.3626771889332662
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,bun,no,yes,8775.226835664336,8755.795673076924,8784.38054869866,0.19610584998712347
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v2,no,yes,5878.569982394366,5820.875726744186,5921.266373904587,1.0
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,ox-content,no,yes,7636.893387957317,7563.672722138554,7673.139081321076,0.7697593358661172
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v1,no,yes,14140.515273876405,14015.509375,14172.489466292134,0.4157253019806573
