case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,95.45572204582976,94.83004939548042,95.46524674278146,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,150.83777855825446,149.92268454665387,151.6133107574684,0.6328369653691511
comment-question,160,comments,gfm,fresh,v1,yes,yes,156.74868796555026,156.64517493614176,158.38608325105145,0.6089730209850861
comment-question,160,comments,gfm,fresh,md4c,yes,yes,860.8286026558242,850.0324927770224,863.3334016747237,0.11088818581460959
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,248.7750192331995,247.62641253456323,249.35053553725356,0.38370300338053803
comment-question,160,comments,gfm,fresh,bun,yes,yes,647.6372855457922,643.9618900457417,648.9782169118637,0.14739071417944236
comment-links,278,comments,gfm,fresh,v2,yes,yes,263.350006457462,260.58482591409546,263.8348930909384,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,404.650715598004,402.7429282584175,405.2551813209076,0.6508082064510279
comment-links,278,comments,gfm,fresh,v1,yes,yes,547.7253130382878,544.7538556623531,548.2624776892156,0.48080671129956143
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1401.7766430773543,1397.3963238773122,1406.5191665889902,0.187868736262664
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,630.6329641023816,629.1701691930283,636.1805486756953,0.4175963221844962
comment-links,278,comments,gfm,fresh,bun,yes,yes,1368.6534121991247,1356.718825589228,1370.5255548209584,0.19241540927028158
comment-quote,290,comments,gfm,fresh,v2,yes,yes,185.1816202777031,185.1532027032533,186.79548604568748,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,250.7782871270793,248.22510480800076,251.15028652729012,0.7384276461855895
comment-quote,290,comments,gfm,fresh,v1,yes,yes,274.4220327830925,269.56449546941485,274.6656376605619,0.6748059490692337
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1139.343895106168,1118.1002657060076,1142.7001256855576,0.16253356082664333
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,474.04557537955367,472.12716023066974,474.7297194853222,0.3906409634335979
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1190.6387658761228,1189.204398844701,1192.9489508364927,0.15553132115720975
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,189.72969570484972,187.55458191766888,189.88082351722767,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,250.99084810369263,246.79498449806096,251.0482164420016,0.7559227642693414
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,466.8847947265109,458.8392435245554,469.14801101259377,0.4063736875731592
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1188.6523140446768,1167.7467325136874,1190.7794086414299,0.15961748735359677
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,570.9360661397743,562.9937017537445,571.7385611302939,0.33231338315628645
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1189.9474458848715,1171.836689022864,1190.4992864067763,0.15944376061395088
comment-table,310,comments,gfm,fresh,v2,yes,yes,747.3026878393264,739.7875,751.0826931987576,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,785.568740763576,776.2564273986445,789.983697616725,0.9512887275949208
comment-table,310,comments,gfm,fresh,v1,yes,yes,776.6639945652174,769.7633136663983,782.4995391070969,0.9621956123480042
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2125.9609318154253,2107.660605714608,2130.971385221465,0.3515128978410629
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,904.2657944685466,893.834034163433,910.1684412864994,0.8264192811567419
comment-table,310,comments,gfm,fresh,bun,yes,yes,1706.3224761255117,1692.7594299729365,1718.3422046703297,0.4379609940649678
comment-incident,1124,comments,gfm,fresh,v2,no,yes,871.2947324270319,868.2915549320891,872.0744094316597,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1033.363258582429,1033.3390207148427,1038.8418633946017,0.8431640327741833
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1121.9698038579875,1118.9697633749238,1122.0396252269325,0.7765759198072995
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2807.07153867713,2792.4354422433034,2809.643441023868,0.3103927778191365
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,1794.7453595767574,1791.945558739255,1797.1180939896576,0.4854698343571722
comment-incident,1124,comments,gfm,fresh,bun,no,yes,4429.306055526421,4417.967034344983,4455.085075622776,0.19671134067150817
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,7024.127589781715,6919.677227209944,7062.798497706786,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,8665.671422264128,8512.152921895111,9202.143821785101,0.8105693428134254
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,12514.830781249999,12276.533088235294,12580.481718750001,0.5612642881520556
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,22927.46193181818,22593.638418222403,22952.793181818182,0.30636306847526806
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,17580.575303819445,17235.213398972603,17775.20752640845,0.39953912021614546
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,40076.26047442036,40054.82958984375,40249.44313886089,0.1752690372462529
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,1342.2444148669792,1340.7508875937835,1342.7170494757934,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,1888.6055018224374,1885.952818627451,1888.6082989580914,0.7107066105503563
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,3001.86728117506,2995.6934434808613,3010.7512921578136,0.44713649510233083
