case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,yes,103.47474774628252,102.36065025304978,106.65319453564271,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,yes,154.65708856385365,152.61975095466198,157.10257802549467,0.6690591986901437
comment-ack,37,comments,gfm,fresh,v1,yes,yes,158.62683775608258,155.99295033975042,160.48682092589064,0.652315517411963
comment-ack,37,comments,gfm,fresh,md4c,yes,yes,771.5412818005846,761.5177375152252,775.4304721704679,0.13411433734925798
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,yes,189.0108787053154,184.27446146315623,191.824988892217,0.5474539267531197
comment-ack,37,comments,gfm,fresh,bun,yes,yes,293.7586551199049,288.37521391760674,298.1177857034387,0.35224408180942524
comment-question,160,comments,gfm,fresh,v2,yes,yes,118.59580705618396,117.98015512154997,119.91200093249644,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,162.65630366117745,161.76001422761283,164.32368860906345,0.7291190343488066
comment-question,160,comments,gfm,fresh,v1,yes,yes,180.06599541848345,179.62202834022162,183.6719969213587,0.6586241160112473
comment-question,160,comments,gfm,fresh,md4c,yes,yes,863.8611228398224,855.9281848904859,871.5853642818875,0.13728573253339246
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,288.14056209350684,286.6605411840395,291.7947009041311,0.4115901148887794
comment-question,160,comments,gfm,fresh,bun,yes,yes,763.2314942002442,759.5952909585533,771.4260683065412,0.1553864167783788
comment-review,282,comments,gfm,fresh,v2,yes,yes,169.43831927216368,168.12068406039955,169.54086198047258,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,yes,211.05332409288414,210.4423653135017,212.39980300842154,0.8028223199061969
comment-review,282,comments,gfm,fresh,v1,yes,yes,291.455775197358,291.2753067804691,294.9396454577278,0.5813517304895718
comment-review,282,comments,gfm,fresh,md4c,yes,yes,1041.8556212439998,1040.1665753591271,1052.1328827326297,0.16263128577244743
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,yes,487.6116846488078,485.4516285528773,490.1074934316375,0.3474861751809703
comment-review,282,comments,gfm,fresh,bun,yes,yes,1299.840724784139,1298.4808329280363,1308.2462421985442,0.13035313945891475
comment-links,278,comments,gfm,fresh,v2,yes,yes,327.48780985067725,327.1918430662515,329.7085236846919,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,472.2749884518738,471.28639222670597,475.8259509903054,0.6934261137228299
comment-links,278,comments,gfm,fresh,v1,yes,yes,693.6490723916852,689.297189392608,702.159838366893,0.4721231857508397
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1411.274220321515,1404.062458943732,1416.7537574725402,0.2320511528766318
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,749.0090237914587,747.9402237517118,751.0483198850143,0.4372281233581738
comment-links,278,comments,gfm,fresh,bun,yes,yes,1608.730221827523,1603.4822315705128,1623.6104385117153,0.20356912887398235
comment-checklist,287,comments,gfm,fresh,v2,no,no,493.5444126009883,489.8059149703719,499.180517499611,1.0
comment-checklist,287,comments,gfm,fresh,ox-content,no,no,608.8027152863947,605.7327806608989,616.6329767869948,0.8106803734750325
comment-checklist,287,comments,gfm,fresh,v1,no,no,826.2612700060506,815.3352989966734,832.9704691999573,0.5973224578193943
comment-checklist,287,comments,gfm,fresh,md4c,no,no,1541.671221249499,1527.3859712303952,1554.7477210705015,0.32013597049634146
comment-checklist,287,comments,gfm,fresh,pulldown-cmark,no,no,909.1580926681422,897.161498043911,910.9217962008107,0.542858735550122
comment-checklist,287,comments,gfm,fresh,bun,no,no,1789.4816255364808,1777.297518643466,1812.5848958333333,0.2758030066126135
comment-quote,290,comments,gfm,fresh,v2,yes,yes,224.3032309677968,224.05160776353296,225.8831928709036,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,274.0801649979484,272.69368007718094,274.50490206827146,0.8183854930526469
comment-quote,290,comments,gfm,fresh,v1,yes,yes,349.2052178889061,347.00674779921553,349.28342475090244,0.6423249696090028
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1139.3954683608345,1131.047566544789,1139.728701996746,0.19686161407196534
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,561.1151396202242,559.4581605243193,562.5642033459419,0.39974546243683684
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1414.5976211842012,1406.752390326209,1415.6936390076764,0.15856327453740943
comment-unicode,327,comments,gfm,fresh,v2,yes,yes,399.3005323727766,395.54111419557864,404.2166518245163,1.0
comment-unicode,327,comments,gfm,fresh,ox-content,yes,yes,424.9785274037317,424.1478667578256,430.7646180362831,0.9395781354229202
comment-unicode,327,comments,gfm,fresh,v1,yes,yes,698.7364142389362,696.917259478599,708.2500659189635,0.5714608888785263
comment-unicode,327,comments,gfm,fresh,md4c,yes,yes,1322.176169397463,1320.0361447150333,1348.7452918993008,0.3020025179812039
comment-unicode,327,comments,gfm,fresh,pulldown-cmark,yes,yes,799.1700778753993,795.9512651177595,809.2283122849569,0.49964399747588223
comment-unicode,327,comments,gfm,fresh,bun,yes,yes,1668.630117953246,1655.3001405423279,1703.350269958607,0.2392984089622939
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,233.8778351683586,233.2768220126855,236.0093694964621,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,285.16202970415907,283.2683503903131,285.6293060651966,0.820157702661167
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,597.8025978036104,596.3979867496548,603.32698974627,0.391229205138369
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1205.146646131287,1194.6210452483285,1207.9923366592525,0.19406587233109243
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,680.447861175862,671.9951103273619,680.8729969595124,0.34371161776333775
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1385.44003284276,1370.1267969605697,1386.5604001923907,0.16881122937415685
comment-reproduction,298,comments,gfm,fresh,v2,yes,yes,247.6930438733679,247.15680913898774,250.69214882963686,1.0
comment-reproduction,298,comments,gfm,fresh,ox-content,yes,yes,322.6027016848659,321.86025109379415,327.2222377517353,0.767795937788911
comment-reproduction,298,comments,gfm,fresh,v1,yes,yes,470.8227826345907,468.6341458065623,476.75912279619115,0.5260855103216288
comment-reproduction,298,comments,gfm,fresh,md4c,yes,yes,1310.2982321782356,1309.5369263171801,1330.536753363528,0.18903562394463724
comment-reproduction,298,comments,gfm,fresh,pulldown-cmark,yes,yes,584.4881004558205,583.9554895492761,591.9121611624053,0.42377773590292317
comment-reproduction,298,comments,gfm,fresh,bun,yes,yes,1370.19670728368,1362.899682349615,1398.0350159983013,0.180771886661735
comment-table,310,comments,gfm,fresh,v2,yes,yes,998.5863247196346,990.9898238704629,999.5867805755395,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,988.3296586121871,985.6572603912641,989.8275808556639,1.0103777783233276
comment-table,310,comments,gfm,fresh,v1,yes,yes,982.0858699921446,979.9830280172414,984.7389763779527,1.0168014378698087
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2153.4116555507744,2147.700790179071,2154.948232276396,0.46372291249822734
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1204.3793386116445,1204.1958461204035,1205.904329581827,0.8291294052509743
comment-table,310,comments,gfm,fresh,bun,yes,yes,2136.6492246525045,2135.7466136945395,2138.495598825623,0.46736090940806646
comment-review-long,957,comments,gfm,fresh,v2,yes,yes,592.1103596667776,589.52555935655,601.1697419173095,1.0
comment-review-long,957,comments,gfm,fresh,ox-content,yes,yes,762.2825896611696,757.8598484848485,772.8017319455156,0.7767596527817425
comment-review-long,957,comments,gfm,fresh,v1,yes,yes,1010.4973728152402,1004.5394428901296,1034.2815206734663,0.585959326165452
comment-review-long,957,comments,gfm,fresh,md4c,yes,yes,2132.802304835355,2132.0696895567935,2168.114303509532,0.27762083636368096
comment-review-long,957,comments,gfm,fresh,pulldown-cmark,yes,yes,1619.5229572947214,1611.7073332796392,1647.062804102729,0.3656078828643768
comment-review-long,957,comments,gfm,fresh,bun,yes,yes,4358.726208623693,4334.6511678200695,4451.054901638336,0.13584481596831974
comment-incident,1124,comments,gfm,fresh,v2,no,yes,1069.8922747400406,1066.5164402822252,1077.6204349698537,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1307.1157657816443,1305.2890170564383,1312.3401304409342,0.8185137864206343
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1502.1522914631037,1493.8942934129805,1510.0431951992755,0.7122395517554084
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2813.2724367977526,2791.4642123560684,2821.610184403153,0.380301694477148
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,2168.623185658579,2163.5176898288564,2192.820864922266,0.4933509342772843
comment-incident,1124,comments,gfm,fresh,bun,no,yes,5307.057203389831,5283.63060030183,5362.36030982906,0.20159802951749936
guard-angle-link,41,syntax-guard,commonmark,fresh,v2,no,no,188.32729083758468,186.3292799734935,189.04473363519685,1.0
guard-angle-link,41,syntax-guard,commonmark,fresh,ox-content,no,no,281.6182347525846,280.9049193180756,282.0010583566164,0.6687325875863096
guard-angle-link,41,syntax-guard,commonmark,fresh,v1,no,no,469.7058779644262,468.23654084768214,474.9267204962446,0.40094727290563714
guard-angle-link,41,syntax-guard,commonmark,fresh,md4c,no,no,958.9639091257668,956.2019041329298,971.4483183757338,0.1963862133344226
guard-angle-link,41,syntax-guard,commonmark,fresh,pulldown-cmark,no,no,351.8237174683543,349.1994432611076,352.9155486120485,0.5352887866478879
guard-angle-link,41,syntax-guard,commonmark,fresh,bun,no,no,465.1516549836907,462.95647352709864,468.9900482933233,0.40487288139217276
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,8806.19346729415,8788.989619755244,8817.836707746479,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,10904.840353260868,10876.438043478262,10945.543960955378,0.8075490499648479
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,16163.269431089742,16122.6796875,16172.16686698718,0.5448274870896852
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,23063.96789772727,22904.23778409091,23077.66351536195,0.381816065056261
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,22298.177083333332,22036.38980263158,22325.608425360275,0.3949288515551479
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,46354.118634259255,45685.68638392857,46415.147569444445,0.18997650536247487
legacy-node-ferromark-readme,9075,readme,gfm,fresh,v2,no,yes,8443.011929898648,8410.327472035795,8473.553526182433,1.0
legacy-node-ferromark-readme,9075,readme,gfm,fresh,ox-content,no,yes,10844.047413793103,10763.143295940172,10992.969709429824,0.7785849330720876
legacy-node-ferromark-readme,9075,readme,gfm,fresh,v1,no,yes,17182.40774828767,17026.771748310814,17355.49736313261,0.4913753679684411
legacy-node-ferromark-readme,9075,readme,gfm,fresh,md4c,no,yes,24807.215073529413,24508.458038744342,25158.4375,0.340345012726067
legacy-node-ferromark-readme,9075,readme,gfm,fresh,pulldown-cmark,no,yes,22396.47265625,22335.98196174029,22532.808035714286,0.37697953867492284
legacy-node-ferromark-readme,9075,readme,gfm,fresh,bun,no,yes,45477.02734375,45436.5703125,46388.59953703704,0.18565443748290616
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,1703.9571244118383,1697.2479647218454,1721.2092772284534,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,2444.446563720703,2432.983250243191,2457.043736854169,0.6970727647317589
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,4132.408570544554,4116.251644736842,4167.06614808278,0.41233994541524654
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,md4c,no,yes,5489.141485374531,5463.524211185209,5516.46248623348,0.3104232472330917
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,pulldown-cmark,no,yes,4698.0263927902615,4673.64354011194,4757.599569164931,0.3626963711882897
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,bun,no,yes,8625.205866202174,8614.034781678081,8750.80583479021,0.1975555309455031
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,v2,no,yes,2323.5870701672866,2321.230490491651,2337.2356535004055,1.0
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,ox-content,no,yes,3029.8147334222317,3012.1226405019115,3043.776682235195,0.766907311042993
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,v1,no,yes,4372.384506118881,4368.995426829268,4423.540636042402,0.531423315336419
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,md4c,no,yes,6439.578032893867,6429.423798076923,6527.635335286458,0.3608290882256916
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,pulldown-cmark,no,yes,5369.322290772532,5276.744726015406,5421.598823051948,0.43275239300879653
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,bun,no,yes,10482.622526041667,10471.902213541667,10617.490863347459,0.2216608548476174
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v2,no,yes,5818.962063953489,5806.263888888889,5842.505248519344,1.0
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,ox-content,no,yes,7558.813253012047,7537.066265060241,7573.823989138372,0.7698248215928261
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v1,no,yes,13988.643055555556,13917.259722222221,14006.416493055556,0.41597759274031243
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,md4c,no,yes,18949.741714015152,18819.583722014926,18956.686079545456,0.3070734235733571
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,pulldown-cmark,no,yes,16426.10247564935,16330.551542207791,16477.504934210527,0.3542509291281805
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,bun,no,yes,31988.922275641024,31856.73828125,32029.684865785253,0.18190553635451862
