case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,233.28554268528987,230.43098982790573,233.8286922399002,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,305.15815342056874,302.0883322030147,311.3014941998308,0.7644742244975375
comment-question,160,comments,gfm,fresh,v1,yes,yes,329.10356473291733,326.7556602848928,331.0427937262699,0.7088514610123163
comment-question,160,comments,gfm,fresh,md4c,yes,yes,1389.9282466513846,1389.228672655383,1400.8367861142217,0.16783998976013434
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,452.7352556515683,448.47578332283484,453.8393552092691,0.5152802653938439
comment-question,160,comments,gfm,fresh,bun,yes,yes,932.8640514795168,928.2511251855976,938.8611814939941,0.2500745337064928
comment-links,278,comments,gfm,fresh,v2,yes,yes,674.2468752044462,673.2613540470475,676.9847004154883,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,915.5917767088494,912.9222549152219,919.3075951868486,0.7364055601592095
comment-links,278,comments,gfm,fresh,v1,yes,yes,1350.3770079643627,1350.2481438984883,1362.035685530711,0.49930269193552496
comment-links,278,comments,gfm,fresh,md4c,yes,yes,2261.6554023508133,2254.961295868296,2269.9024217332126,0.29812095799546623
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,1288.884902557545,1277.5659963612177,1306.8629133532531,0.5231241935308052
comment-links,278,comments,gfm,fresh,bun,yes,yes,2432.9822193390883,2421.5364180367505,2489.219381773501,0.2771277446440209
comment-quote,290,comments,gfm,fresh,v2,yes,yes,406.00263609285537,403.25076607214373,410.39069139955416,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,541.9240088316535,540.8405806348629,546.7732489389751,0.7491873943141324
comment-quote,290,comments,gfm,fresh,v1,yes,yes,673.0093370672605,670.2487258321623,690.3414549972391,0.6032644923799616
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1803.0272244691148,1797.5296336206898,1854.2837550142872,0.22517831710078542
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,889.7585270617852,869.7652600245306,890.3762395000051,0.4563065413192296
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1777.907038934447,1768.8675624264774,1782.8724157415536,0.22835987889230977
