case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,170.88942166244522,168.6770084394484,171.19504035042576,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,279.00001833916895,272.65214955372943,282.75168900315913,0.6125068474178447
comment-question,160,comments,gfm,fresh,v1,yes,yes,260.260294493793,260.15778728922,261.9841509397205,0.6566096530199722
comment-question,160,comments,gfm,fresh,md4c,yes,yes,1366.6407896811368,1359.3704603820124,1373.5097767871666,0.12504340786017148
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,338.3072766660388,336.1495083345835,347.52630504727824,0.5051307892237249
comment-question,160,comments,gfm,fresh,bun,yes,yes,1041.5316887330973,1032.5808861478117,1045.3259981034491,0.16407510545388437
comment-links,278,comments,gfm,fresh,v2,yes,yes,486.38638270768223,485.29690356271783,491.65664741636886,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,719.8241285782822,713.5087440050993,724.8512137681159,0.6757016935071896
comment-links,278,comments,gfm,fresh,v1,yes,yes,1022.6796044562551,1015.350687398539,1047.9318419949707,0.47559996365263124
comment-links,278,comments,gfm,fresh,md4c,yes,yes,2262.783566907776,2259.153261042084,2263.9023225587707,0.2149504662402853
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,979.9808973354232,977.3138780313941,1000.0397563158353,0.4963223099860121
comment-links,278,comments,gfm,fresh,bun,yes,yes,2241.2242943548385,2229.6016942768692,2277.586648660418,0.21701816455085945
comment-quote,290,comments,gfm,fresh,v2,yes,yes,326.96628777620947,326.9599754315435,329.73515129407576,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,459.18267421414816,457.8638871648003,460.65724768633163,0.7120614651582494
comment-quote,290,comments,gfm,fresh,v1,yes,yes,483.314277695366,479.4021353373738,502.4623379722669,0.6765086463725307
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1754.2709063814866,1752.0945838523328,1787.3536120158901,0.1863830076568042
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,682.2337584563907,678.0542878239537,693.5718755020766,0.47925844144094726
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1936.8789667182664,1927.9882270801231,1948.1816152366366,0.1688109032079593
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,339.3715051654987,337.95898838899404,340.2889380934786,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,462.14070275104336,460.477673521974,471.8750250873487,0.7343467111753608
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,849.8796843133923,845.3000629302975,865.4875188515553,0.39931711679833
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1846.4114810046058,1827.8782277793784,1854.917325049456,0.18380058218704945
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,862.0647904073219,854.845480177717,912.2327733998156,0.39367285259979956
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1810.476801959458,1800.9569346000144,1836.4610298160687,0.1874486902003941
comment-table,310,comments,gfm,fresh,v2,yes,yes,1217.843856499513,1204.296433725011,1299.6013941238111,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,1554.002930900621,1517.4938444211534,1566.8062137837626,0.7836818272882617
comment-table,310,comments,gfm,fresh,v1,yes,yes,1369.5504595215953,1361.3453142002177,1384.48489410299,0.8892289057570938
comment-table,310,comments,gfm,fresh,md4c,yes,yes,3256.288320883218,3249.443935678958,3282.1087534010803,0.37399755073567675
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1503.445539023371,1478.7208981796175,1520.616725059534,0.8100352323308079
comment-table,310,comments,gfm,fresh,bun,yes,yes,2607.485319010417,2607.0369720310327,2671.0873564725593,0.46705684117205487
comment-incident,1124,comments,gfm,fresh,v2,no,yes,1603.0907538018,1572.1792522212081,1622.4380222877835,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,2283.237853558394,2277.8512352003645,2297.4031583920223,0.7021129013358839
comment-incident,1124,comments,gfm,fresh,v1,no,yes,2001.3524499999999,1984.882566370777,2024.3621814320388,0.8010037181615862
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,4204.285654362417,4190.643133361204,4208.096671412108,0.38129919933922996
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,2720.770210597826,2707.2568407676736,2734.24324426617,0.5892047581076529
comment-incident,1124,comments,gfm,fresh,bun,no,yes,6985.280100190099,6967.0719618055555,7128.045720880682,0.2294955579173086
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,11623.346064814814,11501.061926605504,11750.296004342268,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,14964.468936011905,14900.548363095237,15416.788194444445,0.7767296062771263
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,20575.18545081967,20540.739754098362,20651.0837602459,0.5649205978044667
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,34747.43962321697,34516.34501689189,34911.50390625,0.3345094254670931
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,26449.658133865247,26268.561197916664,26899.14228723404,0.4394516558961749
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,57076.72230113637,56734.90760869565,57109.52059659091,0.20364424578359852
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,2157.750641862416,2146.2761310034302,2162.4615995485747,1.0
