case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,yes,211.7573699709028,209.8448564032639,212.95791987493425,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,yes,289.0863789268151,284.21656899578846,291.9564469440252,0.7325055257083253
comment-ack,37,comments,gfm,fresh,v1,yes,yes,273.876445916839,272.49777899752746,274.48605006339346,0.7731857672609119
comment-ack,37,comments,gfm,fresh,md4c,yes,yes,1257.4404122757903,1243.7780775391184,1267.090188069909,0.168403502785195
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,yes,319.534306142299,316.8922343514345,321.183390021132,0.6627062130743494
comment-ack,37,comments,gfm,fresh,bun,yes,yes,426.789312284154,423.1271056222189,429.7649330913182,0.4961637132794832
comment-question,160,comments,gfm,fresh,v2,yes,yes,231.0190295525394,230.7138511233896,232.26055034716097,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,304.13642974762354,300.95042052840637,305.2737866300366,0.7595901278391479
comment-question,160,comments,gfm,fresh,v1,yes,yes,328.75378965241754,328.65725184283895,330.4859362588295,0.7027113810514232
comment-question,160,comments,gfm,fresh,md4c,yes,yes,1394.2483897438256,1388.8756126680232,1398.0089117381845,0.1656943133317773
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,452.7249560029306,444.24024881268394,453.9544443404495,0.5102856082690612
comment-question,160,comments,gfm,fresh,bun,yes,yes,944.167407758518,935.6168921331328,951.6049199616876,0.2446801569871868
comment-review,282,comments,gfm,fresh,v2,yes,yes,300.10396789716845,296.55176629977564,304.95862092237695,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,yes,408.21705059470685,403.01762505082905,424.15936813293615,0.7351578466895614
comment-review,282,comments,gfm,fresh,v1,yes,yes,520.0001440015947,519.2529018638154,533.1321793944095,0.5771228553664557
comment-review,282,comments,gfm,fresh,md4c,yes,yes,1651.372516500568,1649.726871701847,1651.9720525099074,0.1817300245090189
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,yes,734.7930679288243,729.7266981665532,738.7347887668369,0.40841970480624895
comment-review,282,comments,gfm,fresh,bun,yes,yes,1586.687078546303,1578.270319809284,1591.0393569570003,0.18913872303801632
comment-links,278,comments,gfm,fresh,v2,yes,yes,673.6854114866601,668.3578830527844,674.2141884660762,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,915.995293452582,908.9272120276163,916.6156195243068,0.7354682019679335
comment-links,278,comments,gfm,fresh,v1,yes,yes,1359.8686141304347,1359.5459578804348,1364.713043076138,0.49540477990768755
comment-links,278,comments,gfm,fresh,md4c,yes,yes,2259.0209561625625,2251.8780023616246,2261.494405515371,0.2982200805392532
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,1288.4635428223905,1286.6751460557666,1302.3327311197918,0.5228595059903258
comment-links,278,comments,gfm,fresh,bun,yes,yes,2412.933401751772,2384.096820247183,2415.9591879826257,0.27919768154295904
comment-checklist,287,comments,gfm,fresh,v2,no,no,801.349977151142,799.3628716432225,817.968882106453,1.0
comment-checklist,287,comments,gfm,fresh,ox-content,no,no,1240.5558345734125,1223.1832857576858,1241.4958154101187,0.6459604274294519
comment-checklist,287,comments,gfm,fresh,v1,no,no,1549.4093681477716,1534.530383998847,1565.278583617246,0.5171970646525192
comment-checklist,287,comments,gfm,fresh,md4c,no,no,2434.7412147373543,2428.7796546198697,2438.7667824074074,0.3291314790666929
comment-checklist,287,comments,gfm,fresh,pulldown-cmark,no,no,1477.1796640154,1467.8320128731043,1478.1748116134752,0.5424864670644339
comment-checklist,287,comments,gfm,fresh,bun,no,no,2610.0883089297054,2608.804752502723,2622.1032411153656,0.30702025460577004
comment-quote,290,comments,gfm,fresh,v2,yes,yes,405.90246819265883,404.2824761668803,412.3342704867115,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,546.0859907795447,546.0090232522546,556.5130818874045,0.7432940508384548
comment-quote,290,comments,gfm,fresh,v1,yes,yes,670.4423631050645,665.6091960286687,687.9443234860966,0.6054248516051038
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1810.0538363517844,1802.3876011852856,1818.2780231308361,0.2242488372670544
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,881.1318224469348,874.5207108879138,886.491116052131,0.46066032102376353
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1758.587552742616,1756.00971287028,1790.9974446607912,0.23081163491668705
comment-unicode,327,comments,gfm,fresh,v2,yes,yes,720.046556516365,710.0942387047245,736.4668019084465,1.0
comment-unicode,327,comments,gfm,fresh,ox-content,yes,yes,799.1108784652513,786.1677181072814,801.2502746867763,0.9010596350524787
comment-unicode,327,comments,gfm,fresh,v1,yes,yes,1286.6940586419755,1259.23860775428,1302.8951022387448,0.559609762460805
comment-unicode,327,comments,gfm,fresh,md4c,yes,yes,2140.282363608257,2139.4963408119656,2150.6713836324225,0.3364259635828861
comment-unicode,327,comments,gfm,fresh,pulldown-cmark,yes,yes,1330.3701462765957,1325.0601496292372,1354.7333138774638,0.5412377589286801
comment-unicode,327,comments,gfm,fresh,bun,yes,yes,2051.5308364626235,2042.007564478177,2056.0031982822766,0.3509801284575931
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,430.2625863658136,428.74951676007913,432.24673654124786,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,540.5429679439192,537.185055332326,542.6981829147901,0.7959822102624281
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,1146.2036835472045,1136.4750126047602,1173.935603086546,0.3753805650268563
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1892.5254075402818,1887.0485684505907,1902.3165941413604,0.2273483804505571
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,1142.0190229980801,1140.9542812800737,1148.3659585407686,0.3767560589632463
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1690.7964949324323,1675.0094423437718,1707.3948195613898,0.25447331340902013
comment-reproduction,298,comments,gfm,fresh,v2,yes,yes,475.518186483489,470.7072570544097,476.25134574700974,1.0
comment-reproduction,298,comments,gfm,fresh,ox-content,yes,yes,629.5372372230614,628.4935847844517,631.6635177372193,0.7553456068477178
comment-reproduction,298,comments,gfm,fresh,v1,yes,yes,896.260976702509,879.0339241565753,904.9610736843186,0.530557726872142
comment-reproduction,298,comments,gfm,fresh,md4c,yes,yes,2109.94764105335,2107.7738924429086,2145.3132504288164,0.2253696618964895
comment-reproduction,298,comments,gfm,fresh,pulldown-cmark,yes,yes,968.6456811408009,947.1971126074383,977.882429017772,0.49091034600335803
comment-reproduction,298,comments,gfm,fresh,bun,yes,yes,1917.6059892946312,1917.560791641809,1927.6515162037037,0.24797491723438075
comment-table,310,comments,gfm,fresh,v2,yes,yes,1547.6315890748724,1544.9216677142094,1548.2291801656766,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,1936.9286474458204,1925.492829908439,1971.6872960829292,0.7990132166797655
comment-table,310,comments,gfm,fresh,v1,yes,yes,1766.58088365113,1751.2440609941527,1781.3587886976045,0.8760604189694738
comment-table,310,comments,gfm,fresh,md4c,yes,yes,3336.9515416666663,3319.4186991468778,3346.309366644385,0.46378605435243925
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1906.7057688643292,1889.862860223951,1908.0635071084876,0.8116782433593158
comment-table,310,comments,gfm,fresh,bun,yes,yes,2806.1109865470853,2763.2788342435633,2814.5129252233273,0.5515218736872665
comment-review-long,957,comments,gfm,fresh,v2,yes,yes,1050.6990573553649,1045.4303276546823,1054.136230687262,1.0
comment-review-long,957,comments,gfm,fresh,ox-content,yes,yes,1590.1975701584429,1589.8305635408888,1601.0396416111466,0.660734915631066
comment-review-long,957,comments,gfm,fresh,v1,yes,yes,2073.8901326699834,2030.862799310065,2087.581429243311,0.506631976691391
comment-review-long,957,comments,gfm,fresh,md4c,yes,yes,3450.0221676997244,3429.878381849315,3468.1708795013847,0.3045484945553003
comment-review-long,957,comments,gfm,fresh,pulldown-cmark,yes,yes,2554.8463647959184,2523.053364415323,2601.9472134876382,0.4112572371604407
comment-review-long,957,comments,gfm,fresh,bun,yes,yes,5187.140461039573,5168.53125,5204.7817038381745,0.20255843566356607
comment-incident,1124,comments,gfm,fresh,v2,no,yes,2000.681275,1977.803317535545,2015.4419362373967,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,2867.8849627293575,2853.6392199997917,2879.374197355527,0.6976155951164643
comment-incident,1124,comments,gfm,fresh,v1,no,yes,2874.178651517848,2872.9086980484817,2915.2148659938057,0.6960880020257072
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,4368.9937427283085,4300.72626718213,4429.564057096271,0.4579272465953758
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,3585.6099570200577,3558.548828125,3606.0437680115274,0.5579751559655791
comment-incident,1124,comments,gfm,fresh,bun,no,yes,6537.921142578125,6512.551537284785,6570.265625,0.3060118394470361
guard-angle-link,41,syntax-guard,commonmark,fresh,v2,no,no,435.68002265874327,430.34688293041944,442.6147959154895,1.0
guard-angle-link,41,syntax-guard,commonmark,fresh,ox-content,no,no,547.3552701418852,547.3187228842207,562.0380885906684,0.7959730113602569
guard-angle-link,41,syntax-guard,commonmark,fresh,v1,no,no,998.932607827476,980.898560121409,1027.491025575185,0.4361455610166535
guard-angle-link,41,syntax-guard,commonmark,fresh,md4c,no,no,1647.940752635046,1642.616783402385,1658.060815517691,0.26437845047650765
guard-angle-link,41,syntax-guard,commonmark,fresh,pulldown-cmark,no,no,683.009699001225,667.8169466190625,693.9306451702,0.637882629332855
guard-angle-link,41,syntax-guard,commonmark,fresh,bun,no,no,843.603945259784,814.4822408517823,862.1220489185689,0.5164509069769435
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,14070.296127887017,14041.206985408862,14246.74520596591,1.0
