case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,120.65544932966367,118.87281467570284,120.98417815222295,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,165.18547265959413,162.4331225402959,165.92441447286825,0.7304240947283804
comment-question,160,comments,gfm,fresh,v1,yes,yes,180.4983731294128,176.71044164054203,180.6881361996182,0.668457267718179
comment-question,160,comments,gfm,fresh,md4c,yes,yes,877.2608195647938,858.4281549921379,877.5278618421053,0.13753657594046026
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,290.02038964211135,285.3553112061624,290.1158333636844,0.41602402327144633
comment-question,160,comments,gfm,fresh,bun,yes,yes,769.7874105958697,755.4854955532014,770.893938810111,0.15673866273841483
comment-links,278,comments,gfm,fresh,v2,yes,yes,323.52324581408885,323.36543779298916,323.8183706363794,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,479.40416080963024,474.7988746210161,481.68417901138923,0.6748444679072337
comment-links,278,comments,gfm,fresh,v1,yes,yes,701.9165367972964,696.8431788205291,702.3139622822914,0.46091412419240063
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1429.7013525661982,1421.1005887792153,1430.079423259235,0.22628729086210264
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,756.6057198248477,753.7904363388616,760.6262837728339,0.42759820252083697
comment-links,278,comments,gfm,fresh,bun,yes,yes,1617.8166437580853,1616.4185736865168,1628.57420775618,0.19997522405417026
comment-quote,290,comments,gfm,fresh,v2,yes,yes,228.9770176697608,228.96520606034818,229.25934299013022,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,281.31558112462733,280.7473686953357,282.27580799295015,0.8139507124147536
comment-quote,290,comments,gfm,fresh,v1,yes,yes,349.2696382628218,347.35404244837315,351.17214846516276,0.6555880975186797
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1150.3796178735256,1144.6683415723687,1153.1005687151508,0.19904474497994354
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,573.3881524169853,572.6193267969065,575.6518859393941,0.39934033639265315
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1434.0709373931454,1431.9936783335038,1435.4052344550273,0.1596692406904189
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,238.2635588266177,236.60366784596974,239.46187150952332,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,286.76068076003435,285.7856635921394,287.074415183347,0.8308794573758187
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,608.1885306366983,608.1077522537739,609.1323643669963,0.3917593752996052
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1213.2032165192013,1211.3525747213912,1218.7240958896382,0.19639212588820787
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,688.5321276156387,684.6672976889707,690.4989816675188,0.3460456662374138
comment-inline-code,285,comments,gfm,fresh,bun,yes,yes,1384.5725325266258,1382.0366513984939,1385.7080901452846,0.17208456272913664
comment-table,310,comments,gfm,fresh,v2,yes,yes,799.3141856395091,795.7566447466721,801.5630953252924,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,yes,999.2540991482787,993.8978809250661,999.7887579872204,0.7999108398162291
comment-table,310,comments,gfm,fresh,v1,yes,yes,995.1148443715194,988.1060449663282,1001.7006824597654,0.8032381289059441
comment-table,310,comments,gfm,fresh,md4c,yes,yes,2169.230328032761,2164.9737510813147,2179.6262521777007,0.36847824562935827
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,yes,1227.8576471314427,1220.4361713011044,1240.4945697674304,0.6509827808678722
comment-table,310,comments,gfm,fresh,bun,yes,yes,2169.5292190207974,2140.3614444876594,2191.8847834046437,0.3684274812395817
comment-incident,1124,comments,gfm,fresh,v2,no,yes,1041.398368297686,1031.4984327448806,1043.0083296814134,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,yes,1317.1730937425127,1292.2425154946825,1321.5225191107838,0.7906313705047967
comment-incident,1124,comments,gfm,fresh,v1,no,yes,1525.4295160060974,1507.0716116801375,1537.915731412072,0.6826918958696242
comment-incident,1124,comments,gfm,fresh,md4c,no,yes,2832.210007640877,2789.413982021229,2857.325521919308,0.3676981457900896
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,yes,2190.7312554728546,2189.156493553091,2200.8170183087764,0.4753656413565465
comment-incident,1124,comments,gfm,fresh,bun,no,yes,5384.316094073738,5327.02332255229,5386.004726001739,0.193413304513066
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,yes,8761.787041083917,8745.052817083091,8830.261443661971,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,yes,10972.87703804348,10949.554910373761,11009.582922149122,0.7984949626890367
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,yes,16509.592519117396,16493.875,16572.00863486842,0.5307088609811627
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,23247.15480324074,23179.675347222223,23312.716724537036,0.37689717796616085
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,22595.238002232145,22334.394653626252,22647.693359375,0.38777139856718285
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,47795.95891203704,47432.1707175926,47924.61720975784,0.1833164819898054
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,1686.7062800852414,1673.9955369063769,1691.247623926138,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,2425.3673994670544,2385.3493772151032,2438.3898384302042,0.6954436183383494
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,4143.936270230914,4138.411765469269,4168.324857592746,0.40702997587152867
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,md4c,no,yes,5539.932452986726,5525.492304548013,5549.673323237885,0.30446332954400784
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,pulldown-cmark,no,yes,4805.66481084581,4803.028432362008,4809.362439903845,0.3509829225456064
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,bun,no,yes,8735.421312736742,8715.114908854166,8792.426901223776,0.1930881430556678
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v2,no,yes,5933.085815942726,5913.991941940334,6058.302881880922,1.0
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,ox-content,no,yes,7614.421496212121,7573.313392775648,7909.088091148945,0.7791906212302807
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v1,no,yes,14257.383345170456,14198.380141167647,14638.096656976744,0.41614128429481406
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,md4c,no,yes,19192.905776515152,19081.794744318184,19889.564911813446,0.3091291066099317
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,pulldown-cmark,no,yes,16667.67132675439,16611.636513157893,16744.968249911093,0.3559636916057455
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,bun,no,yes,33128.46052631579,32724.24198717949,33677.99164295875,0.17909331498304137
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v2,no,yes,4220.350220959596,4146.777437515126,4239.973993644067,1.0
legacy-docs-releasing,4141,technical-docs,gfm,fresh,ox-content,no,yes,5179.216843933029,5074.276758603239,5203.587178801436,0.8148626226961986
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v1,no,yes,9912.941627413762,9723.186046511628,9960.105654761905,0.4257414579430612
legacy-docs-releasing,4141,technical-docs,gfm,fresh,md4c,no,yes,10848.189520474138,10578.22899159664,10894.429685157422,0.3890372870970214
legacy-docs-releasing,4141,technical-docs,gfm,fresh,pulldown-cmark,no,yes,11821.1171875,11673.484519675927,11845.309994103773,0.35701788198346596
legacy-docs-releasing,4141,technical-docs,gfm,fresh,bun,no,yes,20822.826387465848,20234.889616935485,21008.571875,0.20267902840989954
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v2,no,yes,3111.902335744797,3081.486496534413,3128.0289843749997,1.0
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,ox-content,no,yes,4027.9696675971877,3977.001099010464,4035.920665322581,0.7725734284392329
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v1,no,yes,7518.4265712403185,7468.470982142857,7536.535582073804,0.41390340202942555
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,md4c,no,yes,9351.513875932837,9319.740456571311,9390.248553403097,0.33276989982912014
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,pulldown-cmark,no,yes,9425.832661974218,9402.593280075187,9470.282741655275,0.3301461470135007
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,bun,no,yes,18740.046024473224,18584.320261056848,18778.89855410448,0.16605628031440609
legacy-docs-readme,1825,readme,gfm,fresh,v2,no,yes,3431.113479767236,3392.011771680217,3440.2150592692806,1.0
legacy-docs-readme,1825,readme,gfm,fresh,ox-content,no,yes,4499.645287399113,4442.448455167399,4533.446105072464,0.7625297685966019
legacy-docs-readme,1825,readme,gfm,fresh,v1,no,yes,5816.709011627907,5736.1593405046915,5855.359228971963,0.5898719487098736
legacy-docs-readme,1825,readme,gfm,fresh,md4c,no,yes,8996.946661420863,8881.32114361702,9026.299348021583,0.381364212647824
legacy-docs-readme,1825,readme,gfm,fresh,pulldown-cmark,no,yes,6503.656654792746,6379.94921875,6512.301035510443,0.5275668230792507
legacy-docs-readme,1825,readme,gfm,fresh,bun,no,yes,12307.202359068626,12153.48786407767,12389.426051980197,0.2787890683571155
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v2,no,yes,447.71563158289086,443.50440787770515,451.7239895341513,1.0
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,ox-content,no,yes,797.4465360903678,794.4797445877925,814.22455462066,0.5614365494367827
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v1,no,yes,1053.7989681108252,1049.358656595153,1082.98914833991,0.42485867336302596
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,md4c,no,yes,1939.3694077231503,1933.3834524729523,1993.8908971400924,0.23085629266912897
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,pulldown-cmark,no,yes,1289.4264572678594,1275.743222015488,1323.7263118068495,0.34722075777128597
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,bun,no,yes,2572.8434241325695,2553.633567960533,2612.7063217640916,0.17401588739658247
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,v2,no,yes,12313.004289215685,12180.964350728154,12318.384957107843,1.0
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,ox-content,no,yes,13430.837267287234,13312.679690999441,13452.869519989705,0.916771162078317
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,v1,no,yes,17003.721494932433,17001.099873310814,17136.602739726026,0.724135848313282
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,md4c,no,yes,24122.322427204283,23978.58932783019,24183.681490384617,0.5104402499541058
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,pulldown-cmark,no,yes,25874.867346938776,25869.446428571428,26074.015299479164,0.4758673396898563
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,bun,no,yes,59091.61931818182,58915.86789772727,59374.11221590909,0.20837141427645922
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,v2,no,yes,3909.78193359375,3905.424872681805,3918.9974606313676,1.0
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,ox-content,no,yes,6406.386980393119,6380.009088010204,6423.549116954474,0.610294374279874
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,v1,no,yes,7355.880419031648,7347.684574410905,7377.7880514705885,0.5315178756139223
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,md4c,no,yes,12921.68717783505,12829.832270408164,12935.451837983905,0.302575188501724
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,pulldown-cmark,no,yes,11456.449913990826,11441.986363636363,11539.153509121219,0.3412734278896513
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,bun,no,yes,31816.390234375,31483.321160442072,31860.676953125,0.12288578008983406
vue-docs-slots,24211,technical-docs,gfm,fresh,v2,no,yes,19139.0859375,18988.448863636364,19180.602057837998,1.0
vue-docs-slots,24211,technical-docs,gfm,fresh,ox-content,no,yes,36142.26160714286,35906.73348214285,36171.40982142858,0.5295486526420778
vue-docs-slots,24211,technical-docs,gfm,fresh,v1,no,yes,67108.38157894736,66803.28207236843,67624.34950657895,0.2851966548319226
vue-docs-slots,24211,technical-docs,gfm,fresh,md4c,no,yes,83014.974609375,82677.6123046875,83331.26692708334,0.23054980173828296
vue-docs-slots,24211,technical-docs,gfm,fresh,pulldown-cmark,no,yes,63094.2703125,63031.315625,63226.953125,0.30334110914835694
vue-docs-slots,24211,technical-docs,gfm,fresh,bun,no,yes,146276.8385416667,146261.140625,146450.01388888888,0.13084153395924172
vite-docs-philosophy,3575,technical-docs,gfm,fresh,v2,no,yes,2473.0743885869565,2470.5498848629077,2485.0944530609004,1.0
vite-docs-philosophy,3575,technical-docs,gfm,fresh,ox-content,no,yes,3949.867705047319,3947.698784618561,3960.2372854701816,0.6261157520356316
vite-docs-philosophy,3575,technical-docs,gfm,fresh,v1,no,yes,4616.423604704797,4604.347662638715,4620.952029520295,0.5357121876914717
vite-docs-philosophy,3575,technical-docs,gfm,fresh,md4c,no,yes,8332.943478200883,8331.090174530906,8340.35118308499,0.2967828109066814
vite-docs-philosophy,3575,technical-docs,gfm,fresh,pulldown-cmark,no,yes,7404.148342325096,7347.549272230823,7409.899761790811,0.33401199898303857
vite-docs-philosophy,3575,technical-docs,gfm,fresh,bun,no,yes,18640.815404823312,18569.66130514706,18703.51989135206,0.13266986099476358
vite-docs-api-plugin,31890,reference,gfm,fresh,v2,no,yes,54297.430508378624,53774.251302083336,54657.04279891304,1.0
vite-docs-api-plugin,31890,reference,gfm,fresh,ox-content,no,yes,73986.32143586602,73788.23759191176,75026.99908088235,0.7338847161829173
vite-docs-api-plugin,31890,reference,gfm,fresh,v1,no,yes,83214.4765625,81126.9130859375,83404.104296875,0.6524998143513814
vite-docs-api-plugin,31890,reference,gfm,fresh,md4c,no,yes,118055.57670454546,117723.72301136365,119293.56107954546,0.45993109367689894
vite-docs-api-plugin,31890,reference,gfm,fresh,pulldown-cmark,no,yes,92909.64508928571,92795.61830357143,93809.75558035714,0.5844111282117057
vite-docs-api-plugin,31890,reference,gfm,fresh,bun,no,yes,191612.1674107143,190880.765625,192932.94419642858,0.2833715167575653
typescript-handbook-the-handbook,5337,technical-docs,gfm,fresh,v2,no,yes,3841.281633435583,3815.653312587723,3841.6251437883434,1.0
typescript-handbook-the-handbook,5337,technical-docs,gfm,fresh,ox-content,no,yes,5792.858836298856,5635.478251689189,5807.133643567142,0.6631063766590651
typescript-handbook-the-handbook,5337,technical-docs,gfm,fresh,v1,no,yes,5882.1033597417845,5769.141273041474,5927.50185025541,0.6530455856532602
typescript-handbook-the-handbook,5337,technical-docs,gfm,fresh,md4c,no,yes,10669.0390625,10505.405330882353,10710.885253694047,0.36004007586185394
typescript-handbook-the-handbook,5337,technical-docs,gfm,fresh,pulldown-cmark,no,yes,9462.381578947368,9281.08599537037,9511.580610795456,0.4059529412745266
typescript-handbook-the-handbook,5337,technical-docs,gfm,fresh,bun,no,yes,26604.660938885194,26312.8525390625,26909.130984042553,0.14438378456540266
typescript-handbook-compiler-options,54026,reference,gfm,fresh,v2,no,yes,20886.924739583334,20785.113473360656,20913.270039275958,1.0
typescript-handbook-compiler-options,54026,reference,gfm,fresh,ox-content,no,yes,25370.338750000003,25279.231874999998,25407.942812499998,0.8232812713067669
typescript-handbook-compiler-options,54026,reference,gfm,fresh,v1,no,yes,65856.7326069079,65780.02105263158,65882.29851973685,0.3171570151263843
typescript-handbook-compiler-options,54026,reference,gfm,fresh,md4c,no,yes,100069.51081730769,100027.59375,100091.99759615384,0.2087241615252385
typescript-handbook-compiler-options,54026,reference,gfm,fresh,pulldown-cmark,no,yes,51942.083750000005,51898.203125,51995.729374999995,0.4021194998666824
typescript-handbook-compiler-options,54026,reference,gfm,fresh,bun,no,yes,147449.72569444444,147267.72222222222,148176.43402777778,0.14165455134766863
wiki-rainbow-first-paragraph,859,encyclopedia,commonmark,fresh,v2,no,yes,889.0170850730952,875.1280287788663,910.7681129574908,1.0
wiki-rainbow-first-paragraph,859,encyclopedia,commonmark,fresh,ox-content,no,yes,1595.3181092187892,1567.4864309210525,1644.5819659522183,0.5572663407603626
wiki-rainbow-first-paragraph,859,encyclopedia,commonmark,fresh,v1,no,yes,2140.2942773734776,2106.3543507996633,2198.3161511808958,0.41537142554250883
wiki-rainbow-first-paragraph,859,encyclopedia,commonmark,fresh,md4c,no,yes,3701.2769102920965,3610.6039265129684,3758.197682057057,0.24019199498449198
wiki-rainbow-first-paragraph,859,encyclopedia,commonmark,fresh,pulldown-cmark,no,yes,2733.2216591954766,2705.267562767057,2786.1100719349743,0.32526344216618613
wiki-rainbow-first-paragraph,859,encyclopedia,commonmark,fresh,bun,no,yes,5192.973029045643,5114.113010204082,5256.855134401483,0.17119616837996124
wiki-rainbow-article-body,48422,encyclopedia,commonmark,fresh,v2,no,no,30864.185975609755,30804.128584131824,31626.448828125,1.0
wiki-rainbow-article-body,48422,encyclopedia,commonmark,fresh,ox-content,no,no,51513.359375,51009.21875,51909.74,0.599149159559345
wiki-rainbow-article-body,48422,encyclopedia,commonmark,fresh,v1,no,no,77044.72977941178,76436.8106617647,78458.455078125,0.4006008725577673
wiki-rainbow-article-body,48422,encyclopedia,commonmark,fresh,md4c,no,no,113182.88849431818,113020.69614109848,114394.23579545454,0.2726930403190686
wiki-rainbow-article-body,48422,encyclopedia,commonmark,fresh,pulldown-cmark,no,no,103421.50651041666,102966.94711538461,104631.45572916667,0.29843102287918327
wiki-rainbow-article-body,48422,encyclopedia,commonmark,fresh,bun,no,no,284490.75625,284488.671875,285090.884375,0.10848924015122462
wiki-tea-first-paragraph,1126,encyclopedia,commonmark,fresh,v2,no,yes,1575.1751680401753,1570.346515980399,1576.8201283162016,1.0
wiki-tea-first-paragraph,1126,encyclopedia,commonmark,fresh,ox-content,no,yes,2960.9048856375975,2939.3431482949272,2978.25265845389,0.5319911408437489
wiki-tea-first-paragraph,1126,encyclopedia,commonmark,fresh,v1,no,yes,5475.575974327803,5464.3392143891215,5503.118962354606,0.2876729636161332
wiki-tea-first-paragraph,1126,encyclopedia,commonmark,fresh,md4c,no,yes,6210.1450686070875,6192.32756143918,6220.6746350241365,0.25364547053865866
wiki-tea-first-paragraph,1126,encyclopedia,commonmark,fresh,pulldown-cmark,no,yes,4838.409105767936,4778.383928862983,4863.315509103901,0.32555642435493654
wiki-tea-first-paragraph,1126,encyclopedia,commonmark,fresh,bun,no,yes,8127.585735232509,8119.510193888773,8304.88003700658,0.1938060353164781
wiki-tea-article-body,58814,encyclopedia,commonmark,fresh,v2,no,no,53623.236328125,53053.928385416664,54558.87635869565,1.0
wiki-tea-article-body,58814,encyclopedia,commonmark,fresh,ox-content,no,no,92468.51785714286,91548.87388392857,94192.15066964287,0.5799080332505059
