case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-question,160,comments,gfm,fresh,v2,yes,yes,94.9450436566901,93.66633410037258,95.54157136170886,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,154.89093437015555,152.91788383701095,155.0201958305278,0.6129799916487827
comment-question,160,comments,gfm,fresh,v1,yes,yes,160.27453743632634,157.51372420064232,161.63668613908254,0.5923900650432995
comment-question,160,comments,gfm,fresh,md4c,yes,yes,878.8375764069064,863.5989777613788,879.061850978859,0.10803480211311545
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,256.3076090954319,251.34488992854932,256.74782504951855,0.3704339640628417
comment-question,160,comments,gfm,fresh,bun,yes,yes,667.1797138749125,653.2995244224938,672.6588530266847,0.14230804936387959
comment-links,278,comments,gfm,fresh,v2,yes,yes,257.8130813097757,251.98630421282888,259.8801912507168,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,421.14178160902827,402.41224768606446,422.8052132651336,0.6121764511817529
comment-links,278,comments,gfm,fresh,v1,yes,yes,569.9375075112389,559.6748134159576,572.4194105538133,0.45235324559630213
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1441.078952162331,1411.623060417582,1441.296825704153,0.1789028150906851
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,647.1568396163261,635.6885189909965,648.3875588825034,0.39837805231668877
comment-links,278,comments,gfm,fresh,bun,yes,yes,1399.3123457936886,1387.337109247147,1400.440929451288,0.18424269755409353
comment-quote,290,comments,gfm,fresh,v2,yes,yes,185.65644423500476,183.23890411937379,188.07961074808918,1.0
comment-quote,290,comments,gfm,fresh,ox-content,yes,yes,257.56575363233225,253.08406311719608,258.06105190715635,0.7208118378191847
comment-quote,290,comments,gfm,fresh,v1,yes,yes,284.35932897899374,277.9029300939635,285.3637547510748,0.6528938048264968
comment-quote,290,comments,gfm,fresh,md4c,yes,yes,1161.1293930629172,1143.1756313788032,1163.6472958194463,0.15989298466148186
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,yes,491.04593507215276,484.1653478090409,492.9742466253256,0.3780836597450399
comment-quote,290,comments,gfm,fresh,bun,yes,yes,1216.7483945823078,1194.8701462517274,1216.867376990717,0.15258408810043092
comment-inline-code,285,comments,gfm,fresh,v2,yes,yes,195.2354637744961,192.18679861644887,195.7123833567401,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,yes,254.7472829543142,250.76203381510916,256.84498082136594,0.7663887972045975
comment-inline-code,285,comments,gfm,fresh,v1,yes,yes,479.34431581020567,475.5249642785162,482.23137479469244,0.407296920679036
comment-inline-code,285,comments,gfm,fresh,md4c,yes,yes,1216.5490873218646,1203.5146098994687,1225.140758203077,0.16048301364007542
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,yes,579.00347287111,572.8738331561958,581.6571798888243,0.33719221545663647
