case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-ack,37,comments,gfm,fresh,v2,yes,yes,105.52164605709234,103.0019062486931,106.20138655123893,1.0
comment-ack,37,comments,gfm,fresh,ox-content,yes,yes,159.75281204015897,155.98971120649736,160.13161248066012,0.660530758172608
comment-ack,37,comments,gfm,fresh,v1,yes,yes,160.87673847423991,158.4540242860952,163.09922323832294,0.6559161197439914
comment-ack,37,comments,gfm,fresh,md4c,yes,yes,791.8027969698574,773.5925958627431,793.9766128403187,0.13326758437948455
comment-ack,37,comments,gfm,fresh,pulldown-cmark,yes,yes,189.82090066952267,185.50595528994847,190.85701884143668,0.555901092476666
comment-ack,37,comments,gfm,fresh,bun,yes,yes,297.05768832804245,288.8491333280067,300.1188932809024,0.35522274023947903
comment-question,160,comments,gfm,fresh,v2,yes,yes,121.4765486013266,120.49882718631942,121.96203024151346,1.0
comment-question,160,comments,gfm,fresh,ox-content,yes,yes,166.46576972806417,164.24938310644848,166.6683220594324,0.7297389054805006
comment-question,160,comments,gfm,fresh,v1,yes,yes,181.17914289040908,178.75427582233095,181.45787783010522,0.6704775542227002
comment-question,160,comments,gfm,fresh,md4c,yes,yes,886.4583241523113,871.1739194622543,888.9091487323896,0.13703582592841046
comment-question,160,comments,gfm,fresh,pulldown-cmark,yes,yes,292.0068099524383,287.9308239319139,294.73336875863384,0.4160058754147294
comment-question,160,comments,gfm,fresh,bun,yes,yes,766.3243144914215,765.9547186614698,775.2192758543472,0.15851845792201658
comment-review,282,comments,gfm,fresh,v2,yes,yes,166.75971985625054,165.40189050581122,172.11436508529405,1.0
comment-review,282,comments,gfm,fresh,ox-content,yes,yes,216.2411328791693,212.48591298675734,219.819579159113,0.7711748344818011
comment-review,282,comments,gfm,fresh,v1,yes,yes,295.5417439797057,289.2813863930845,300.8839491408896,0.5642509840088837
comment-review,282,comments,gfm,fresh,md4c,yes,yes,1054.1523530731897,1046.5496475542027,1069.0180631530964,0.15819318656368112
comment-review,282,comments,gfm,fresh,pulldown-cmark,yes,yes,492.08501800055853,486.5522643805293,498.19609002077055,0.3388839606087362
comment-review,282,comments,gfm,fresh,bun,yes,yes,1317.8596693523762,1298.0437957005406,1334.2641654730853,0.1265382982227537
comment-links,278,comments,gfm,fresh,v2,yes,yes,322.5956885439266,320.51344318267564,323.85711662895613,1.0
comment-links,278,comments,gfm,fresh,ox-content,yes,yes,477.39826631947506,472.16180230171756,478.5702241008705,0.6757370340512411
comment-links,278,comments,gfm,fresh,v1,yes,yes,699.6606413973057,691.0090662235808,700.9555466183101,0.46107451163704816
comment-links,278,comments,gfm,fresh,md4c,yes,yes,1436.9194253181465,1426.395348449803,1438.8558841421022,0.22450506469595613
comment-links,278,comments,gfm,fresh,pulldown-cmark,yes,yes,752.3489217310951,747.4856410277264,759.4468218408263,0.42878467586776037
comment-links,278,comments,gfm,fresh,bun,yes,yes,1620.0699075099456,1605.3445321872446,1643.2079111570872,0.19912454829789264
comment-checklist,287,comments,gfm,fresh,v2,no,no,436.74074927966177,435.37242759113985,450.7945597386738,1.0
comment-checklist,287,comments,gfm,fresh,ox-content,no,no,606.679539665211,602.1890805635837,624.6870716109053,0.719887058529569
comment-checklist,287,comments,gfm,fresh,v1,no,no,827.0032223145599,825.0982547380786,856.5784631122642,0.5281004202829364
comment-checklist,287,comments,gfm,fresh,md4c,no,no,1529.0581066625916,1526.8334424291102,1582.8852035584268,0.28562730701772787
comment-checklist,287,comments,gfm,fresh,pulldown-cmark,no,no,893.1504018783937,889.6348293235524,919.9447638862662,0.4889890306953318
comment-checklist,287,comments,gfm,fresh,bun,no,no,1784.52310999186,1778.0774771549372,1825.3193282722855,0.24473807418591173
comment-quote,290,comments,gfm,fresh,v2,yes,yes,226.95088300390805,223.7911027054247,226.9652171509557,1.0
