case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,fresh,142.1484392767796,140.73083065968703,1.0011690130856727,0.9915676217104632,1.030636125851402,9,"[1.0193713604023884, 0.9962869145151656, 1.0011690130856727]"
comment-ack,gfm,comments,reuse,64.68372736093144,63.58543319853502,1.0087670702182074,0.9978815391543642,1.0299734225460226,9,"[1.0087670702182074, 1.0081936032212644, 1.0185123528032822]"
comment-ack,gfm,comments,parse,51.84313567932979,50.87249969477454,1.0124445201641288,0.998933417027852,1.022083939307745,9,"[1.0144733731508337, 1.0049021838803498, 1.0124445201641288]"
comment-ack,gfm,comments,render,14.930683087277982,14.94022620925813,1.0015264893118971,0.9868399074140358,1.020313355227281,9,"[1.0038546651531064, 0.9932610423045912, 1.0015264893118971]"
comment-question,gfm,comments,fresh,161.49601149722258,160.9938425627817,1.0003927501546794,0.981993748348311,1.0191343169546423,9,"[0.9947227315812405, 1.0047249100143838, 1.0003927501546794]"
comment-question,gfm,comments,reuse,84.91837128931458,84.72543462789751,1.0040061006680019,0.99817941303565,1.0137509755597498,9,"[1.0052735703694113, 1.0040061006680019, 0.9995976691073932]"
comment-question,gfm,comments,parse,66.72694032240845,66.22262231140073,1.0131374619418667,0.935791098890144,1.0849324052320202,9,"[0.9969733325797265, 1.0140059482745598, 1.0178358773467622]"
comment-question,gfm,comments,render,20.718454245603567,20.78548394136916,1.0010707550116418,0.9852635444923223,1.0046115821965096,9,"[0.9923487286253366, 1.003245525450631, 1.002147872115745]"
comment-review,gfm,comments,fresh,222.1740103518749,220.36239643927377,1.0064850486667019,0.9933028069441282,1.0166109666946075,9,"[0.9994499000748119, 1.0148023945218545, 1.0064850486667019]"
comment-review,gfm,comments,reuse,143.60864804709936,143.4810068009642,1.00215651005712,0.9902791807889927,1.013185362275804,9,"[0.9974878855233125, 0.9955101931195742, 1.0045495796713104]"
comment-review,gfm,comments,parse,110.73994784284196,109.87006174195817,1.0033132245211778,0.9918013035101922,1.0200472469278832,9,"[0.9977410710763421, 1.0177383164075082, 1.0033132245211778]"
comment-review,gfm,comments,render,35.155847465969174,34.8468452065678,1.0104895948995218,0.9966963079121166,1.016142025457947,9,"[1.0104895948995218, 1.0088674385749885, 1.011225392578898]"
comment-links,gfm,comments,fresh,412.4334996700759,412.253400098912,0.9904001614437966,0.9819075186824595,1.0240677678573615,9,"[1.0132512535539757, 1.0093521318405048, 0.9872960857973954]"
comment-links,gfm,comments,reuse,328.97170230263157,325.13613459037714,1.0008629643930573,0.9932272168684748,1.0272433108861665,9,"[0.9992935741475617, 1.0008629643930573, 1.0072933765619312]"
comment-links,gfm,comments,parse,243.11784689809411,244.89011998041136,0.9937963389010394,0.9785831065142865,1.0104087624232896,9,"[0.9890995052700564, 1.0039155524183236, 0.984831785011123]"
comment-links,gfm,comments,render,82.03808574522544,83.0746805841696,0.9899583622769499,0.9794429451817748,1.0034970982023355,9,"[0.9946527575798308, 0.9899583622769499, 0.9828568943938802]"
comment-checklist,gfm,comments,fresh,510.78739021650324,511.81840974212037,0.9996632831926031,0.9776211706144348,1.0277029418671983,9,"[0.9804228267624311, 0.997592435093985, 1.0171739207519102]"
comment-checklist,gfm,comments,reuse,428.15933219178083,429.6288874570447,0.9972258110445473,0.9740699840471789,1.0163633285146898,9,"[0.9967836235306408, 0.9925668944140745, 1.0023045211713508]"
comment-checklist,gfm,comments,parse,351.74642128587504,351.56396758998875,1.0038384096683581,0.9717799498221311,1.0193242689100879,9,"[1.0038384096683581, 0.9971106843534233, 1.0059289951229367]"
comment-checklist,gfm,comments,render,75.0355325949937,74.65788491399904,1.0084798356918752,0.9930969240645622,1.0137384997710495,9,"[1.0134719833900756, 1.0084798356918752, 1.005785539293612]"
comment-quote,gfm,comments,fresh,281.3024443069307,280.25205951580364,1.0085687052084478,0.9860351266131585,1.0161774789706606,9,"[1.013566756361496, 1.0085687052084478, 1.0073599449145896]"
comment-quote,gfm,comments,reuse,202.42335755343265,199.39028110047846,1.0162153663859452,1.0005791860280828,1.024382512366847,9,"[1.0040393834774248, 1.0183510067111323, 1.017056961012539]"
