case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-ack,gfm,comments,fresh,142.41080328662565,142.08425920663788,1.00117001640402,0.9851262777918763,1.0088669359773623,9,"[1.0000145743773097, 1.00117001640402, 1.0023852546482919]"
comment-ack,gfm,comments,reuse,64.56180114399339,64.05476076095312,1.006107188253008,0.9929080273462225,1.0146138772076057,9,"[1.0043149925657733, 1.0066939236756485, 1.006107188253008]"
comment-ack,gfm,comments,parse,51.82722516480783,51.28037439489662,1.0099299390570449,0.9929701095555843,1.0329176094782113,9,"[1.023901229849382, 1.0034349990035911, 1.0099299390570449]"
comment-ack,gfm,comments,render,15.179087457954367,15.001836580697038,1.007175899701201,0.9914581839831837,1.0233159271739911,9,"[0.9988738994707135, 1.0130852290067247, 0.9960840413975054]"
comment-question,gfm,comments,fresh,161.4161286157025,160.84615848558929,1.0034054316510024,0.9965734061351477,1.023940542642961,9,"[1.0031858871256654, 1.0027812765169835, 1.005594859818499]"
comment-question,gfm,comments,reuse,85.16332904687287,85.08235349169617,0.997749717506248,0.9762253280273946,1.0103819911069774,9,"[0.9880501897016553, 0.9974000542061082, 1.0013057497167526]"
comment-question,gfm,comments,parse,66.20942134533898,66.50115044953982,0.9979104298434205,0.9796654150153007,1.0102011571281877,9,"[0.9989777574437795, 0.9876873895316437, 0.99628248227226]"
comment-question,gfm,comments,render,20.814470069103322,20.73419798215204,1.0037247991955076,0.9963850426636562,1.0087533672337157,9,"[1.0066934942097117, 0.9980785952871586, 1.0072874746237186]"
comment-review,gfm,comments,fresh,223.15923442520528,221.3454098796034,1.0008558055811776,0.9981879002883087,1.028636680163131,9,"[0.9990938276904439, 1.0077797997940081, 1.0008558055811776]"
comment-review,gfm,comments,reuse,144.2906423130194,143.43774024670108,1.006190825195939,0.978059817470622,1.0144707728743962,9,"[0.9983499625558921, 1.006190825195939, 1.0071818260368044]"
comment-review,gfm,comments,parse,111.0261096678213,110.23731261022928,1.0067704917477946,0.9896940447051819,1.0212261614408031,9,"[1.0106095116470164, 0.9997650103187707, 1.0027169033208625]"
comment-review,gfm,comments,render,34.97199189351761,35.01179260146206,0.9974401956990598,0.9792985360721556,1.012777596750018,9,"[0.9916866619066894, 0.9988632199328523, 1.0076465176818945]"
comment-links,gfm,comments,fresh,411.6546962462957,409.61613286369595,1.0054447501163701,0.9949057634302378,1.1077140071006237,9,"[1.0694184427915492, 1.0046461642791196, 1.0054447501163701]"
comment-links,gfm,comments,reuse,328.37946545836616,327.5566790018339,0.9980847047967085,0.9861680980201136,1.0100849623116024,9,"[0.9876411538764072, 0.9951215436939301, 0.998189215972946]"
comment-links,gfm,comments,parse,244.67162727539636,247.5061621461097,0.9890004262777071,0.9753740800516696,1.0112671564563838,9,"[0.9890004262777071, 0.9885476189920475, 0.9968033199386203]"
comment-links,gfm,comments,render,81.96047649488591,82.25883250526455,0.9972190156671222,0.9887890918381712,1.0338898701455341,9,"[0.9969482043351285, 1.015170315651623, 0.992902541308181]"
comment-checklist,gfm,comments,fresh,513.8899506781751,517.4983573054636,1.0007881515733645,0.9784839999591872,1.0134325019540917,9,"[0.9814930556774653, 1.0088084293598572, 1.0021900390626122]"
comment-checklist,gfm,comments,reuse,439.94518604855733,483.0683925811437,0.9842050253794011,0.7798186143732483,2.10889760128302,9,"[0.8873745823902507, 0.967941431362917, 1.000391714403592]"
comment-checklist,gfm,comments,parse,353.9469493204983,357.14163810339903,0.9934165213197463,0.987477339189605,1.0114317310047254,9,"[0.991345367614043, 0.9943843162312808, 0.9910548408752725]"
comment-checklist,gfm,comments,render,74.67964036083399,74.49912651230704,1.0013630814387515,0.9835184967782051,1.0364026975770517,9,"[1.0006595636006757, 1.00044216947856, 1.0077361840351675]"
comment-quote,gfm,comments,fresh,281.8650718714769,285.1749615077555,0.9915059223900994,0.9724101006366582,1.0132023155945802,9,"[0.9804034001545301, 0.9974106189526171, 0.9942622942580992]"
comment-quote,gfm,comments,reuse,202.39480633802816,201.40483526663445,1.0036890631885196,0.9945281038288019,1.0333026260735216,9,"[0.9966802377499395, 1.0036890631885196, 1.0178142570574131]"
comment-quote,gfm,comments,parse,163.9390368852459,164.3991484744871,1.003058999634463,0.9907691195586134,1.010055240214934,9,"[1.003058999634463, 0.994476929463474, 1.005485772578552]"
comment-quote,gfm,comments,render,40.3572270291212,40.344831238098315,1.0062717198237277,0.9904285727312808,1.017144551847812,9,"[1.0062717198237277, 0.994854315922929, 1.0072350764845714]"
comment-unicode,gfm,comments,fresh,451.9937974511931,449.2744228350701,1.0129080517808153,0.9940659989300733,1.0182304222495044,9,"[0.9988783857216516, 1.0140608380940253, 1.016268118671122]"
comment-unicode,gfm,comments,reuse,370.68996442336197,367.6312297853572,1.0084773197374446,1.000904763270917,1.0210739856042632,9,"[1.0115187468472826, 1.015818963176683, 1.0058417342048032]"
comment-unicode,gfm,comments,parse,281.87476042841035,278.54225852272725,1.0117750976017306,0.9977774900912075,1.0476972530138748,9,"[1.0117750976017306, 1.009209175025439, 1.013197729246891]"
comment-unicode,gfm,comments,render,90.57342991449894,91.05260306650156,0.9963677332067549,0.979285524832843,1.0128579167428717,9,"[1.0075698241231568, 0.9870667515975291, 0.9970851995582858]"
comment-inline-code,gfm,comments,fresh,291.2801724137931,293.56216247945525,0.9929425526192002,0.9491231651320525,1.028465843601782,9,"[0.9943481259908294, 0.9902513314988259, 0.981529812396083]"
comment-inline-code,gfm,comments,reuse,210.62267270429655,207.87758251579646,1.009792917433653,0.9953924194520527,1.0272147981750688,9,"[1.009494036276267, 0.9976195184189203, 1.0180593879123132]"
comment-inline-code,gfm,comments,parse,136.82635658384413,132.75110836784538,1.0287519372000307,1.0090533983478998,1.044475207231155,9,"[1.0287519372000307, 1.0432116629880048, 1.0202624958935116]"
comment-inline-code,gfm,comments,render,75.89222535061623,75.97786497903118,1.0028901440162883,0.9876143357773588,1.026410944984573,9,"[1.0227463954286484, 1.0004556150509678, 1.0062995978510332]"
comment-reproduction,gfm,comments,fresh,301.08136891859345,299.6776575982742,1.0071006123766275,0.9986821248515575,1.0170426280853604,9,"[1.0086683679930248, 1.0071006123766275, 1.003551861233575]"
comment-reproduction,gfm,comments,reuse,219.44137813761628,217.7575008709284,1.0117234520421794,0.988398761148781,1.0312295935175215,9,"[1.0117234520421794, 1.011392187340121, 1.0138427052662136]"
comment-reproduction,gfm,comments,parse,165.2016279569182,163.2539057398459,1.0105376338650018,1.0058421175708812,1.0188628079035886,9,"[1.0094530594900448, 1.017280028264949, 1.0088274044795784]"
comment-reproduction,gfm,comments,render,56.75288579406156,56.75709453323647,0.9979321455442879,0.9845160865262801,1.0051540607645872,9,"[0.9984083278629465, 0.9881189949112976, 0.9979321455442879]"
comment-table,gfm,comments,fresh,931.0176842889055,938.9330658783783,0.9852313758645362,0.9792775917482179,1.0126666038803047,9,"[0.9822676249074883, 0.9894576699344292, 1.0013545623741642]"
comment-table,gfm,comments,reuse,851.2726557181757,854.6873077580315,0.9936663990072064,0.985861594426253,1.0265907950693707,9,"[1.0005648232181699, 0.9936663990072064, 0.9896078961371493]"
comment-table,gfm,comments,parse,673.6134496228449,675.9367905405405,0.9962745797231211,0.9772254313626211,1.0082294255409516,9,"[0.9977845723193061, 0.9983676801790852, 0.9932001198307431]"
comment-table,gfm,comments,render,175.13148816195013,176.24678820668265,1.0047243311844454,0.9790673526627586,1.0235662343985814,9,"[1.0130521191652637, 0.9889067396077652, 1.0047243311844454]"
comment-review-long,gfm,comments,fresh,656.883588413032,649.388538961039,1.011782613894351,0.9876366609928101,1.0230551611634529,9,"[1.010184223401631, 1.011782613894351, 1.0130557431462954]"
comment-review-long,gfm,comments,reuse,570.2720973996351,566.0572940244455,1.0080758106776142,0.9832462538758432,1.0351137454526493,9,"[1.0080758106776142, 1.0103662826931192, 1.0053561004577818]"
comment-review-long,gfm,comments,parse,442.78718130311614,441.518427789548,0.9993607886997694,0.9910041446134631,1.02393191371282,9,"[0.9981229861786944, 1.001543682920398, 0.9993607886997694]"
comment-review-long,gfm,comments,render,128.58575267434685,129.01389462276808,0.9938600077351327,0.9827441878359434,1.0110577704901205,9,"[0.9857881900497153, 0.9966533970851408, 1.0068935118861422]"
comment-incident,gfm,comments,fresh,1303.5115559895833,1311.4053983228512,0.9948472876211499,0.9757876780162249,1.0296161199231502,9,"[0.9948472876211499, 1.0054327928719757, 0.9912792184433844]"
comment-incident,gfm,comments,reuse,1128.1999661552347,1131.2547228506787,0.9881877132186531,0.9750382602907626,1.0111146032187242,9,"[0.9912107934477827, 0.981137095011427, 0.9881877132186531]"
comment-incident,gfm,comments,parse,900.0479886609071,902.4912292568542,0.9949141003767492,0.9859821042134455,1.0070326065885142,9,"[0.9921678449878562, 0.9987368230022554, 0.9949141003767492]"
comment-incident,gfm,comments,render,226.6505506707759,226.20552275606224,1.0049086249592416,0.9899320825764258,1.0111903782786757,9,"[0.9984190506577951, 1.0000974080411125, 1.0049112415411972]"
guard-angle-link,commonmark,syntax-guard,fresh,221.25438053097346,220.6514185492411,1.0025365085457765,0.9921008285989017,1.01271447048783,9,"[1.0025365085457765, 1.0114978094213136, 0.9953329597197228]"
guard-angle-link,commonmark,syntax-guard,reuse,138.73907463928967,139.5406584896182,0.9957100877045613,0.9899987241817881,1.003981944613267,9,"[0.9959869181871067, 0.9920154914156567, 0.9957100877045613]"
guard-angle-link,commonmark,syntax-guard,parse,112.64423098585203,113.27216326114534,1.0000051996967276,0.9855516086041302,1.0074054105430807,9,"[1.0043441262265267, 0.9964884440858187, 1.0010173701802747]"
guard-angle-link,commonmark,syntax-guard,render,28.500128248974008,28.406627096400328,1.0014058864335214,0.9860516821350689,1.0245472725758697,9,"[1.003580781943256, 1.0014058864335214, 0.9959903775229721]"
legacy-contributing,gfm,technical-docs,fresh,10473.404947916666,10374.537190082645,1.0084818590351006,0.9969926157651365,1.0409819926469142,9,"[1.0107023516802218, 1.0078582216069318, 1.0084818590351006]"
legacy-contributing,gfm,technical-docs,reuse,9894.582431102363,9742.621608527132,1.0142845885241254,0.9954466314573337,1.0281866521317755,9,"[1.0142845885241254, 1.0196420498264671, 1.0042468008269874]"
legacy-contributing,gfm,technical-docs,parse,7207.5625,7153.868928571429,1.0092118210761982,0.9988321350872009,1.0220808494303564,9,"[1.0092118210761982, 1.0067602701287635, 1.0179084780694236]"
legacy-contributing,gfm,technical-docs,render,2460.5307588408646,2428.9416262135924,0.9969827494507038,0.9841361941617246,1.023947595143813,9,"[0.991988184691265, 1.0165287503600815, 0.9969827494507038]"
legacy-node-ferromark-readme,gfm,readme,fresh,9955.160962301587,9888.061761811023,1.0088963224621206,0.9887436886472968,1.0272599090445027,9,"[0.9906901422750932, 1.0002811777617004, 1.0099713139665552]"
legacy-node-ferromark-readme,gfm,readme,reuse,9390.401585820895,9265.644212962963,1.0142696502960227,0.9945320745962345,1.022554806428448,9,"[0.994880292136896, 1.0142696502960227, 1.0168491804217414]"
legacy-node-ferromark-readme,gfm,readme,parse,5936.117742890995,5808.931278935185,1.0264453233773634,0.9894741082673761,1.0512955629703653,9,"[1.0236700540445438, 1.0129171945854243, 1.0276956698815145]"
legacy-node-ferromark-readme,gfm,readme,render,3309.8924437830688,3322.5781664456235,0.9967729085274415,0.972894137590542,1.017100274245631,9,"[0.9900388478217641, 0.9904808096229698, 1.0006342242723096]"
legacy-docs-migration-0-2,gfm,technical-docs,fresh,2384.1095833333334,2365.2823724007562,1.0096649621635156,0.9948085199617186,1.021390644853191,9,"[1.0014283403545827, 1.0018668946519314, 1.0138803274678132]"
legacy-docs-migration-0-2,gfm,technical-docs,reuse,2076.3413660862357,2064.2833642739274,1.001830124740641,0.9893772528096111,1.018471003230422,9,"[1.016727323380969, 1.0151050575956329, 1.0001134223998]"
legacy-docs-migration-0-2,gfm,technical-docs,parse,1324.268405720339,1307.4345284743993,1.0141597502106854,1.0015320671253924,1.0384247727425933,9,"[1.0383822631029584, 1.005283669677386, 1.0120928300122374]"
legacy-docs-migration-0-2,gfm,technical-docs,render,740.1214291000592,738.3173701298701,0.9998729541278938,0.9826364848855382,1.0161907619213244,9,"[1.0012285829590923, 0.9996573798123998, 0.999671958089489]"
legacy-docs-migration-0-3,gfm,technical-docs,fresh,2864.5684353546912,2839.486465419501,1.0133039780520314,0.9801951815842433,1.0300728111547988,9,"[0.9904928711478684, 1.0137228815980384, 1.0133039780520314]"
legacy-docs-migration-0-3,gfm,technical-docs,reuse,2568.8178901437373,2588.8698992768595,0.9895650732190188,0.9710660283607513,0.9969564815240046,9,"[0.9889081972749144, 0.9941741079991828, 0.9895650732190188]"
legacy-docs-migration-0-3,gfm,technical-docs,parse,1652.9233817701454,1661.890645750332,0.9931730570372138,0.9842555357525518,1.0317627493566002,9,"[1.0156037191472942, 0.9931730570372138, 0.990199811576492]"
legacy-docs-migration-0-3,gfm,technical-docs,render,919.4738051470588,916.3251831501832,1.0079490720657927,0.9832604492454771,1.0469022206703884,9,"[1.0373927335096307, 1.0079490720657927, 0.9861469611028313]"
legacy-docs-migration-0-4,gfm,technical-docs,fresh,7106.060546875,7034.285814606742,1.0096790312036954,0.9968820656712281,1.0280352962683872,9,"[1.000914588901917, 1.017112121556347, 1.0096790312036954]"
legacy-docs-migration-0-4,gfm,technical-docs,reuse,6657.406582446809,6610.807236842105,1.007827767761783,0.9945411698163752,1.0289055287601083,9,"[1.009100328244665, 1.0028994997181733, 1.0093846963776918]"
legacy-docs-migration-0-4,gfm,technical-docs,parse,4303.371993127148,4291.74689640411,1.0033385786706743,0.9755223071725946,1.0233250723907952,9,"[1.0057405772770254, 1.0033385786706743, 0.994433570440286]"
legacy-docs-migration-0-4,gfm,technical-docs,render,2307.4790129151293,2314.3748844731977,0.997020417217482,0.9763342544474873,1.056538502510498,9,"[0.997020417217482, 0.9953334240143821, 1.0004226537091834]"
legacy-docs-migration-0-8,gfm,technical-docs,fresh,2783.7789583333333,2769.3785259955753,1.0004577880489527,0.9947000254552134,1.0169546956846989,9,"[1.0004577880489527, 1.014750639324484, 1.0003051901423585]"
legacy-docs-migration-0-8,gfm,technical-docs,reuse,2541.49993648374,2539.8020410750505,0.9987572350276422,0.9861145153243456,1.0206463969327504,9,"[0.9987572350276422, 1.012458413693277, 0.9942280502107527]"
legacy-docs-migration-0-8,gfm,technical-docs,parse,1533.3260186887255,1517.9589654126214,1.0068028066049672,0.9967003523463986,1.0216258422885067,9,"[1.011100545075881, 1.0085890632159138, 0.9997627103513413]"
legacy-docs-migration-0-8,gfm,technical-docs,render,987.9243680884676,993.8973817567568,0.9993826081636373,0.9814057869046701,1.011588063119593,9,"[1.004189086469561, 0.9934895482636827, 1.0004269977020255]"
legacy-docs-releasing,gfm,technical-docs,fresh,5206.355938796681,5193.8105549792535,1.0020126721428577,0.9871093260233397,1.0314827980387278,9,"[1.0124596931949257, 0.9971741474185765, 0.9915327787465483]"
legacy-docs-releasing,gfm,technical-docs,reuse,4828.260738416989,4798.810704022989,1.0061369443827637,0.9899557193424537,1.0280943689561752,9,"[1.0133270836045971, 1.0026147763199782, 1.0061369443827637]"
legacy-docs-releasing,gfm,technical-docs,parse,3308.1838624338625,3288.7822342519685,1.0026038537409843,0.9883788837117999,1.0117305406859494,9,"[1.0068330141816015, 1.0026038537409843, 1.0015889873924622]"
legacy-docs-releasing,gfm,technical-docs,render,1445.220700867052,1443.1829224336793,0.9967778827053648,0.991386408906777,1.013897226909739,9,"[1.007649574940422, 0.9967778827053648, 0.9964464239041321]"
legacy-docs-readme-theme,gfm,technical-docs,fresh,2430.276577669903,2405.591466346154,1.013281891452637,0.9958621775497682,1.040269839588633,9,"[1.030825496762987, 1.0050891884228785, 1.013281891452637]"
legacy-docs-readme-theme,gfm,technical-docs,reuse,2238.6888975849733,2214.1500553097344,1.0122727667829787,0.9990063259649851,1.0206050265534794,9,"[1.0141367268487838, 1.0187839378563683, 1.0121915824108156]"
legacy-docs-readme-theme,gfm,technical-docs,parse,1565.0748200876096,1517.154619235437,1.0291359828495346,0.9976285594583768,1.0399038839556949,9,"[1.0284935357013527, 1.0182387194854832, 1.039223421883863]"
legacy-docs-readme-theme,gfm,technical-docs,render,672.1585181451613,670.6120238733905,1.0030833927981426,0.9928342308517815,1.0150554668096439,9,"[1.0030833927981426, 0.9989405693522289, 1.0031236055046175]"
legacy-docs-markdown-extensions,gfm,technical-docs,fresh,3838.925134202454,3753.828078078078,1.0215169652371183,1.0074599020859079,1.0310078045979987,9,"[1.0215169652371183, 1.027770275148552, 1.0163317949541488]"
legacy-docs-markdown-extensions,gfm,technical-docs,reuse,3537.9627471751414,3490.631528551532,1.0089046403665338,0.9803416862865646,1.0345788983477322,9,"[1.0089046403665338, 0.9934916090960498, 1.0141274575091737]"
legacy-docs-markdown-extensions,gfm,technical-docs,parse,2418.8376450676983,2383.239107142857,1.019943006667413,0.9925436440877571,1.0326914890937098,9,"[1.019943006667413, 1.020766366915722, 1.0134316052019858]"
legacy-docs-markdown-extensions,gfm,technical-docs,render,1090.048087401918,1094.857103765324,1.0001062107232745,0.9743611516554327,1.0065707206197376,9,"[1.0023628591222944, 0.9994965868667075, 1.0001062107232745]"
legacy-docs-mdx,gfm,technical-docs,fresh,7408.5613905325445,7370.7568014705885,1.0053558098129705,0.9741808188094302,1.0155022955568602,9,"[1.003388770000828, 1.0035542664214885, 1.0108765245120228]"
legacy-docs-mdx,gfm,technical-docs,reuse,6999.505237430168,6916.040745856353,1.0092588754240392,0.9978561186034198,1.0260547678485719,9,"[1.0075853002598503, 1.0092588754240392, 1.0140251093626147]"
legacy-docs-mdx,gfm,technical-docs,parse,4609.949448529412,4541.591145833333,1.0114344429216942,1.003040315913847,1.0223040431285353,9,"[1.010659259563628, 1.019932252433659, 1.0114344429216942]"
legacy-docs-mdx,gfm,technical-docs,render,2285.5109689213896,2302.1840469613257,0.9971202164618201,0.9808251303289112,1.0073298785810207,9,"[0.9948411151324372, 0.9975115976938752, 0.9971202164618201]"
legacy-docs-readme,gfm,readme,fresh,4101.827151639344,4127.127165841584,0.996943270107605,0.9632896637307347,1.0259704802251635,9,"[0.996943270107605, 1.0091601418362242, 0.9831165285210318]"
legacy-docs-readme,gfm,readme,reuse,3886.8926630434785,3916.44697265625,0.9994186797716459,0.9745400491578948,1.0099050489809074,9,"[0.9870024594908161, 0.9994186797716459, 1.0001101374943313]"
legacy-docs-readme,gfm,readme,parse,2864.70852402746,2888.162168013857,0.9931590387141256,0.9367784983105526,1.0173841941161026,9,"[0.9469757558881572, 1.00752521044654, 0.9877035629696104]"
legacy-docs-readme,gfm,readme,render,1017.6655309194467,1019.4834963325184,1.0024332498644366,0.9819548462574201,1.0087684538948354,9,"[1.0032640788548328, 0.9934959349593496, 1.0024332498644366]"
legacy-docs-adr-readme-theme-composition,gfm,technical-docs,fresh,1621.269146696891,1593.617316878981,1.0186288017463687,0.9995429515276054,1.0238450762381979,9,"[1.0186288017463687, 1.0228542179129263, 1.0166550429903223]"
legacy-docs-adr-readme-theme-composition,gfm,technical-docs,reuse,1360.274721164309,1343.4422999462943,1.0152108906216601,0.995912863181061,1.1081196670883813,9,"[1.0152108906216601, 1.019954382352586, 1.0066797156455067]"
legacy-docs-adr-readme-theme-composition,gfm,technical-docs,parse,898.4833423132184,875.4768688725491,1.0275350160281265,1.0120124762894205,1.040679758785649,9,"[1.0377354733138509, 1.0275350160281265, 1.0165240557826303]"
legacy-docs-adr-readme-theme-composition,gfm,technical-docs,render,460.6707465917465,459.5023888276369,1.006762296747205,0.992212405445073,1.0306665441168397,9,"[1.0005872580392903, 1.007104157511211, 1.006762296747205]"
rust-book-ch03-04-comments,gfm,technical-docs,fresh,635.0066658202134,629.287635254152,1.0059125136097276,0.9958628009348145,1.018534031644725,9,"[1.0076524798731874, 1.005520028998207, 1.0089751161089653]"
rust-book-ch03-04-comments,gfm,technical-docs,reuse,464.58440170940173,463.6735209569733,0.99932964651834,0.9868677526687973,1.0217742769841052,9,"[0.99932964651834, 1.0038327852488391, 0.9930196204951327]"
rust-book-ch03-04-comments,gfm,technical-docs,parse,318.2632462449084,313.87269332161685,1.0115290790774343,1.007208046464434,1.0289522465288201,9,"[1.008613503463157, 1.0246501047446936, 1.0115290790774343]"
rust-book-ch03-04-comments,gfm,technical-docs,render,142.349941641995,143.03176844965674,0.9935819013180301,0.9888269530457913,1.0061121778468345,9,"[0.9928749129870847, 1.0049403578105696, 0.9928174873095396]"
rust-book-appendix-02-operators,gfm,reference,fresh,43386.94396551724,42805.55625,1.0091558392933038,0.9797223059442651,1.0449773739829016,9,"[1.0020410609662385, 1.0160566653322027, 1.0091558392933038]"
rust-book-appendix-02-operators,gfm,reference,reuse,42839.93020833333,42616.015625,1.0039011725712146,0.9655688843563281,1.0225689681349726,9,"[1.0039011725712146, 1.0139513753535472, 1.0032226199259742]"
rust-book-appendix-02-operators,gfm,reference,parse,34659.55827702703,34566.47719594595,1.0022999181677705,0.991260515721894,1.012854565353778,9,"[1.0085053745582384, 1.001497655518322, 1.0022999181677705]"
rust-book-appendix-02-operators,gfm,reference,render,7307.518895348837,7364.989338235294,0.9928459274023432,0.9761306104105174,1.0071360291917224,9,"[0.9878452453410176, 0.9952707585048391, 1.004373180099476]"
rust-book-ch00-00-introduction,gfm,technical-docs,fresh,14306.596235795454,14234.74502840909,1.006853963146118,0.9841929430836832,1.0208654957625807,9,"[0.9868229197417288, 1.0185786034778253, 1.006853963146118]"
rust-book-ch00-00-introduction,gfm,technical-docs,reuse,13726.166100543478,13594.755095108696,1.0096746220088324,1.0039620114407635,1.0412189902470779,9,"[1.0069752449276184, 1.0088678409216654, 1.0129340472148323]"
rust-book-ch00-00-introduction,gfm,technical-docs,parse,11449.869886363636,11370.348011363636,1.0076457522479327,0.9929434378970323,1.0169638016574947,9,"[1.014097288906067, 0.99698925085998, 1.0076457522479327]"
rust-book-ch00-00-introduction,gfm,technical-docs,render,2119.7806144067795,2118.687870135364,1.001932492612601,0.9803198520951867,1.0148791362065415,9,"[0.9945221759222364, 1.0036820348660545, 0.9881105362363561]"
rust-book-ch17-00-async-await,gfm,technical-docs,fresh,7979.805334394904,7864.616155660377,1.010267869940811,0.9967778221003484,1.0546797274746391,9,"[1.0175993092373072, 1.0025945669079055, 1.010267869940811]"
rust-book-ch17-00-async-await,gfm,technical-docs,reuse,7669.446702453988,7584.114583333333,1.0120259553452275,0.9965237339045132,1.0302870721217572,9,"[1.0166960269460916, 1.0085870339164942, 1.0157219831569975]"
rust-book-ch17-00-async-await,gfm,technical-docs,parse,6319.21433080808,6309.123743718593,1.0113035897886913,0.9871320265271439,1.0583618005457662,9,"[1.0167439857526102, 1.0148286438847463, 1.0050157320972173]"
rust-book-ch17-00-async-await,gfm,technical-docs,render,1295.1564117494825,1286.814654063786,1.0110932210738548,0.9891748733415857,1.033930610728235,9,"[1.0282468587637283, 0.9907947450769836, 1.0110932210738548]"
vue-docs-ways-of-using-vue,gfm,technical-docs,fresh,5288.068169831224,5237.513075313807,1.0066115756362222,0.9961760719589104,1.021167589336383,9,"[1.003541840714174, 1.0066115756362222, 1.015526582518544]"
vue-docs-ways-of-using-vue,gfm,technical-docs,reuse,4873.287572957199,4837.128981660232,1.011427120925521,0.9928561520453191,1.0315143398764821,9,"[1.0013457161679995, 1.0036632568961135, 1.0122497429619512]"
vue-docs-ways-of-using-vue,gfm,technical-docs,parse,3238.969397668394,3220.6478952442158,1.00581775484287,0.997446959748981,1.0221613733609698,9,"[1.0113508852953017, 1.0056887629508438, 1.0025863255491594]"
vue-docs-ways-of-using-vue,gfm,technical-docs,render,1616.85776001292,1624.9137581168832,0.9976908424221653,0.9824914786046955,1.0096344228982619,9,"[0.9999791761713404, 0.9924314106899293, 1.00862815844526]"
vue-docs-suspense,gfm,technical-docs,fresh,9259.775275735294,9196.844209558823,1.0071037418086157,0.9960799483358463,1.0200955484078658,9,"[1.00728681954569, 1.0071037418086157, 0.9997666175100838]"
vue-docs-suspense,gfm,technical-docs,reuse,8551.640306122448,8543.951955782313,1.0034494786710022,0.9949229592442018,1.0183852161247424,9,"[1.0071155247861532, 1.0003139182457816, 1.0077649192611475]"
vue-docs-suspense,gfm,technical-docs,parse,4774.0985209923665,4735.361505681818,1.0042343623998893,0.9944771188254727,1.014857155845511,9,"[0.9978515854365482, 1.0042343623998893, 1.010835865032856]"
vue-docs-suspense,gfm,technical-docs,render,3727.8064546130954,3711.814540059347,1.0069302829257851,0.9871823471356455,1.0149327810124498,9,"[1.001493368910026, 1.0094002089887635, 1.0094890051122436]"
vue-docs-slots,gfm,technical-docs,fresh,22261.878837719298,22195.266995614034,0.9988072483311855,0.9932770185358738,1.0149563474495387,9,"[0.9985562832019392, 0.9966856397302754, 1.004234587974905]"
vue-docs-slots,gfm,technical-docs,reuse,21237.243644067796,21145.616666666665,1.0110283688236974,0.9977946504105775,1.0250794179227447,9,"[1.0001977842945105, 1.0082079504214243, 1.0112503129057318]"
vue-docs-slots,gfm,technical-docs,parse,12294.14338235294,12195.375606796117,1.0042649879872607,0.9745292968643906,1.0367512855723735,9,"[1.0042895977255155, 1.0028641845426949, 1.003087017353613]"
vue-docs-slots,gfm,technical-docs,render,8708.423828125,8709.545138888889,0.9998712549569458,0.9715847058700571,1.011849496134037,9,"[1.0049741527529144, 0.9933689364651801, 0.9998712549569458]"
vue-docs-reactivity-in-depth,gfm,technical-docs,fresh,21122.8296875,20885.655208333334,1.0083139046737246,0.9754248828233737,1.0406122633480581,9,"[1.0113558553371136, 0.9900298672906982, 1.0083139046737246]"
vue-docs-reactivity-in-depth,gfm,technical-docs,reuse,19947.193452380954,19807.373046875,1.0048026636194252,0.9690316170840048,1.0224345699766328,9,"[1.0027871297715247, 1.0067024951854366, 1.0037466960807302]"
vue-docs-reactivity-in-depth,gfm,technical-docs,parse,13173.327960526316,13057.7392578125,1.006842342648325,0.9947139196106356,1.0232139313807882,9,"[1.0124022539621043, 1.009409284687726, 0.9966020594842784]"
vue-docs-reactivity-in-depth,gfm,technical-docs,render,6467.065238402062,6470.709729381443,0.9958291211123459,0.9895050332705105,1.0102290976861616,9,"[0.9960548414632036, 0.9958291211123459, 0.9907190485018914]"
vite-docs-philosophy,gfm,technical-docs,fresh,3268.8275130548304,3275.7860765706805,0.9978757576492495,0.9893553911178087,1.0103965291012882,9,"[0.9998396651883316, 0.9929996145469508, 0.9977551078491309]"
