case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
container-quote-4096,commonmark,container-diagnostic,fresh,19844.659226190477,22946.638636363637,0.8590864199337951,0.8357886166324847,0.892410619872176,9,"[0.8641580390735245, 0.8590864199337951, 0.8459386210719835]"
container-quote-4096,commonmark,container-diagnostic,reuse,19306.991346153845,22547.037946428572,0.8508291500693071,0.825244399554614,0.8824126254116822,9,"[0.8507373461482416, 0.869611222243419, 0.8508291500693071]"
container-quote-4096,commonmark,container-diagnostic,parse,16763.246666666666,20166.98135080645,0.8427195819216607,0.7959818140305006,0.8758204184470151,9,"[0.8625274659369905, 0.824318877888744, 0.820536160095493]"
container-quote-4096,commonmark,container-diagnostic,render,2456.130771119843,2415.922598938224,1.0056965455779696,0.9948241548847656,1.025027680972984,9,"[0.9966461792861478, 1.0056965455779696, 1.007769072833708]"
container-nested-quote-4096,commonmark,container-diagnostic,fresh,29928.106398809523,37248.58272058824,0.8069695373710207,0.7948109450744753,0.8468117077595997,9,"[0.8098630562404877, 0.8069695373710207, 0.8004077575340356]"
container-nested-quote-4096,commonmark,container-diagnostic,reuse,30621.09375,36714.323214285716,0.8259578167586834,0.7448524323047566,0.9406884518417722,9,"[0.8230103730147076, 0.8259578167586834, 0.8372887251673465]"
container-nested-quote-4096,commonmark,container-diagnostic,parse,28227.430555555555,35450.881944444445,0.7980230726021081,0.7456633462730495,0.8717744388664251,9,"[0.8168245264908693, 0.7817826361208312, 0.7980230726021081]"
container-nested-quote-4096,commonmark,container-diagnostic,render,1299.68762993763,1301.3706425598334,0.9999562384938604,0.9740728421375081,1.0354773153639865,9,"[0.9884968033658896, 1.0107179370501607, 1.0025017091747102]"
container-quote-lazy-4096,commonmark,container-diagnostic,fresh,17777.985915492958,18868.314832089553,0.9464819620502071,0.9025572015179278,0.9703130433402444,9,"[0.9103293250111233, 0.9464819620502071, 0.9693566495467366]"
container-quote-lazy-4096,commonmark,container-diagnostic,reuse,17128.466638513513,18326.879528985508,0.93063954589735,0.903044481904543,0.9636464981520014,9,"[0.9349329875017517, 0.9354213465715874, 0.9296327675172747]"
container-quote-lazy-4096,commonmark,container-diagnostic,parse,15776.773828125,17243.16823630137,0.9139370281551371,0.8958369786784424,0.9427536826292169,9,"[0.92345997781841, 0.9139370281551371, 0.9123290294898181]"
container-quote-lazy-4096,commonmark,container-diagnostic,render,1142.8244972577697,1136.3742897727273,1.0134332861786137,0.9773349460910008,1.0298615636690038,9,"[0.9971341746623451, 1.020323254482318, 1.0208854291991012]"
